ID	CAS	SMILES	STATUS	EXP VALUE
41	80563-77-5	Oc1c2C(=O)NS(=O)(=O)c2ccc1   	Training	-1
42	1897-45-6	Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl   	Training	-0,77815125
43	153719-23-4	CN1COCN(Cc2cnc(Cl)s2)C1=N[N+]([O-])=O   	Training	0
44	1912-24-9	CCNc1nc(NC(C)C)nc(Cl)n1   	Training	-1,326335861
45	13194-48-4	CCCSP(=O)(OCC)SCCC   	Training	1,698970004
46	2795-39-3	[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F   	Training	-1,955605453
47	330-54-1	CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1 CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1  	Test	-1
48	138261-41-3	[O-][N+](=O)N=C1NCCN1Cc2cnc(Cl)cc2 [O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)nc2  	Training	-0,096910013
49	57018-04-9	COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl   	Training	-1,041392685
51	133-06-2	ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O   	Training	0
52	10605-21-7	COC(=O)Nc1nc2ccccc2[nH]1   	Test	-1
53	1066-51-9	NCP(O)(O)=O   	Test	-2,498310554
54	120068-37-3	Nc1c(c(nn1-c2c(Cl)cc(cc2Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F   	Training	1,22184875
55	28686-90-0	COc1cccc2c1C(=O)NS2(=O)=O	Training	-1
56	27177-05-5	CCCCCCCCCc1ccc(cc1)OCCOCCOCCOCCOCCOCCOCCOCCO	Training	-2,337221183
57	63-25-2	C/N=C(\O)/Oc1cccc2c1cccc2	Training	0
