rule,O_Inact,O_Act,nN,,,,,,,,Gnar,,,,,,,,X2v,,,,,,,,EEig10r,,,,,,,,GGI8,,,,,,,,nCconj,,,,,,,,O-058,,,,,,,
1,0.865,0.135,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.316,1.330,1.337,1.348,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,0.000,0.500,0.725,1.125,1.000,1.000,1.000,0.000
2,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,0.238,0.635,0.778,1.032,0.000,1.000,1.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
3,1.000,0.000,0.000,1.167,1.692,2.625,1.000,1.000,1.000,0.000,1.483,1.502,1.523,1.543,0.000,1.000,1.000,0.000,0.272,2.077,2.889,4.333,1.000,1.000,1.000,0.000,-1.011,-0.414,-0.146,0.331,1.000,1.000,1.000,0.000,0.000,0.106,0.154,0.238,1.000,1.000,1.000,0.000,0.000,1.667,2.417,3.750,1.000,1.000,1.000,0.000,0.000,0.208,0.302,0.469,1.000,1.000,1.000,0.000
4,0.500,0.500,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.316,1.402,1.441,1.510,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,0.958,1.092,1.242,1.375,0.000,1.000,1.000,0.000
5,0.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.316,1.402,1.441,1.510,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.125,2.167,2.542,3.208,0.000,1.000,1.000,1.000
6,0.568,0.432,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.327,1.384,1.449,1.507,0.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,0.000,0.500,0.725,1.125,1.000,1.000,1.000,0.000
7,0.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.381,1.920,2.115,2.460,0.000,1.000,1.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.405,2.211,2.501,3.016,0.000,1.000,1.000,1.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
8,0.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.381,1.920,2.115,2.460,0.000,1.000,1.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-1.011,0.278,0.858,1.889,1.000,1.000,1.000,0.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,3.750,5.000,5.450,6.250,0.000,1.000,1.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
9,0.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.381,1.920,2.115,2.460,0.000,1.000,1.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-1.011,0.278,0.858,1.889,1.000,1.000,1.000,0.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,3.250,3.517,3.817,4.083,0.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
10,0.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.381,1.920,2.115,2.460,0.000,1.000,1.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.083,1.255,1.448,1.620,0.000,1.000,1.000,0.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,0.000,1.667,2.417,3.750,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
11,0.465,0.535,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.381,1.920,2.115,2.460,0.000,1.000,1.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,0.734,0.877,1.038,1.182,0.000,1.000,1.000,0.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,0.000,1.667,2.417,3.750,1.000,1.000,1.000,0.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
12,0.437,0.563,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.381,1.920,2.115,2.460,0.000,1.000,1.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-1.011,-0.116,0.287,1.003,1.000,1.000,1.000,0.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,0.000,1.667,2.417,3.750,1.000,1.000,1.000,0.000,2.438,2.750,2.862,3.062,0.000,1.000,1.000,1.000
13,0.542,0.458,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.381,1.920,2.115,2.460,0.000,1.000,1.000,1.000,6.364,8.395,9.126,10.425,0.000,1.000,1.000,1.000,-1.011,-0.116,0.287,1.003,1.000,1.000,1.000,0.000,0.000,0.159,0.230,0.357,1.000,1.000,1.000,0.000,0.000,1.667,2.417,3.750,1.000,1.000,1.000,0.000,0.000,1.250,1.812,2.812,1.000,1.000,1.000,0.000
14,0.494,0.506,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.381,1.920,2.115,2.460,0.000,1.000,1.000,1.000,0.272,3.521,4.983,7.582,1.000,1.000,1.000,0.000,-1.011,-0.116,0.287,1.003,1.000,1.000,1.000,0.000,0.199,0.241,0.289,0.331,0.000,1.000,1.000,0.000,0.000,1.667,2.417,3.750,1.000,1.000,1.000,0.000,0.000,1.250,1.812,2.812,1.000,1.000,1.000,0.000
15,0.000,1.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,1.381,1.920,2.115,2.460,0.000,1.000,1.000,1.000,4.333,5.200,6.174,7.041,0.000,1.000,1.000,0.000,-1.011,-0.116,0.287,1.003,1.000,1.000,1.000,0.000,0.000,0.106,0.154,0.238,1.000,1.000,1.000,0.000,0.000,1.667,2.417,3.750,1.000,1.000,1.000,0.000,0.000,1.250,1.812,2.812,1.000,1.000,1.000,0.000
