Id	CAS	SMILES	Set	Log SF
305	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Test	-1.96
306	96-18-4	C(C(CCl)Cl)Cl	Training	1.48
307	1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	-2.11
308	512-56-1	O=P(OC)(OC)OC	Training	-1.7
309	118-96-7	O=[N+]([O-])c1cc(c(c(c1)[N+](=O)[O-])C)[N+](=O)[O-]	Training	-1.52
310	52-24-4	N1(CC1)P(N2CC2)(N3CC3)=S	Training	1.08
311	126-72-7	O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br	Training	0.36
312	115-96-8	O=P(OCCCl)(OCCCl)OCCCl	Test	-1.7
313	78-42-2	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	-2.49
314	62450-06-0	n2c(N)c(c3[nH]c1ccccc1c3(c2C))C	Test	1.41
315	62450-07-1	n2c(N)cc3[nH]c1ccccc1c3(c2C)	Training	0.51
316	51-79-6	O=C(OCC)N	Test	0
317	75-01-4	C=CCl	Training	-0.14
