	PW5	D/Dr06	MATS2p	EEig10x	ESpm11x	ESpm09d	GGI2	JGI6	nRNNOx	nPO4	N-067	N-078
stdev	0.036917	97.287709	0.298862	0.914118	1.663181	1.727672	1.686584	0.012373	0.343937	0.156237	0.226373	0.435351
average	0.069065	57.036966	0.020191	0.456011	15.928242	11.739227	1.897759	0.012731	0.124224	0.021739	0.040373	0.172360
