35	35	14	2	0
-0.05635	-0.58218	-1.09336	-1.33851	-0.89844	-0.93949	-0.61499	-0.22779	2.54633	-0.13914	-0.17835	1.90109	0.99999	0.00001	65	32	32	32	32
-0.07162	-0.56915	-1.07687	-1.31480	-0.87483	-0.89119	-0.67082	-0.69271	2.54633	-0.13914	-0.17835	1.90109	0.99535	0.00465	65	32	32	32	32
-0.01414	-0.48924	-0.86909	-1.16468	-0.76247	-0.72270	-0.58981	-0.86351	2.54749	-0.13914	-0.17835	1.90201	0.97633	0.02367	32	32	32	32	32
0.04067	-0.45424	-0.65929	-1.20115	-0.63772	-0.52019	-0.52928	-0.91206	2.67906	-0.13914	-0.17835	2.00594	0.93725	0.06275	32	32	32	32	32
0.14074	-0.41950	-0.30923	-1.32996	-0.56052	-0.43037	-0.49594	-0.75129	3.26829	-0.13914	-0.17835	2.47145	0.91955	0.08045	32	32	32	32	32
0.14446	-0.45257	0.00568	-1.45742	-0.67253	-0.54802	-0.58987	-0.33661	4.26220	-0.13914	-0.17835	3.25666	0.93928	0.06072	32	32	32	32	32
0.17887	-0.44519	0.19678	-1.50870	-0.76081	-0.73622	-0.64839	-0.11672	5.05545	-0.13914	-0.17835	3.88335	0.97766	0.02234	65	32	32	32	32
0.05379	-0.49398	0.27075	-1.47376	-0.76837	-0.67677	-0.62913	0.52060	3.94322	-0.13914	-0.17835	3.00466	0.93191	0.06809	32	32	32	32	32
-0.01402	-0.54086	0.40527	-1.41736	-0.83093	-0.72516	-0.64635	1.40392	2.86406	-0.13914	-0.17835	2.15210	0.88442	0.11558	65	32	32	32	32
0.00192	-0.45280	0.42959	-1.09901	-0.49068	-0.28790	-0.38140	1.08046	2.90479	-0.13914	-0.17835	2.18428	0.71533	0.28467	32	32	32	32	32
0.12110	-0.26583	0.50038	-0.59156	-0.10168	0.03966	-0.04104	0.85294	3.35522	-0.13914	-0.17835	2.54013	0.53701	0.46299	32	32	32	32	32
