43	43	29	3	0	0
1.436628	-0.240408	-0.230244	2.517954	0.845278	-2.112889	0.866512	5.338911	-0.686578	1.624748	-0.851654	0.755193	-0.144902	-0.273596	-0.422607	-0.342549	1.331919	-0.181722	-0.041008	-0.313913	-0.15324	2.497818	0.775415	-0.078027	-0.078299	-0.108422	0.669028	0.256248	0.074724	40	40	40	40	40
1.443697	-0.240408	-0.230244	2.519501	0.852947	-2.058637	-0.083698	5.339018	-0.739629	1.549517	-0.217066	1.342249	-0.341647	-0.273596	-0.422607	-0.342549	1.288427	-0.181722	-0.041008	-0.313913	-0.15324	2.503628	0.869986	-0.078027	-0.078299	-0.108422	0.684657	0.315343	0	40	40	40	40	40
0.809441	-0.240408	-0.230244	2.427623	0.623039	-1.069578	0.373108	2.933554	0.507812	1.769526	0.011909	2.744177	-0.341646	-0.273596	-0.422607	-0.342547	-0.124168	-0.181722	-0.041008	2.933072	-0.15324	3.079967	0.353857	-0.078027	-0.078299	-0.108422	2E-06	0.999998	0	40	40	40	40	40
0.65492	-0.240408	-0.230244	3.173811	1.011598	-0.030657	-0.191666	4.133577	0.354074	0.945995	1.188383	2.975596	0.816188	-0.273596	-0.422607	1.051069	2.774814	-0.181722	-0.041008	1.850743	-0.15324	5.248548	1.137627	-0.078027	-0.078299	-0.108422	0	1	0	40	40	40	40	40
0.459104	-0.240408	-0.230244	3.75825	0.632555	-2.218052	0.422064	5.545212	0.314133	1.022588	2.437787	5.345813	-0.341647	-0.273596	-0.422607	4.676304	-0.248526	-0.181722	-0.041008	-0.313913	-0.15324	6.896957	1.137628	-0.078027	-0.078299	-0.108422	0	1	0	40	40	40	40	40
0.3328	-0.240408	-0.230244	3.324948	0.178847	-1.61922	0.124694	4.589463	0.304853	0.703766	2.295011	4.681413	-0.083643	-0.273596	0.080943	4.599893	-0.288807	-0.181722	-0.041008	-0.31391	-0.15324	5.501178	2.258592	-0.078027	-0.078299	-0.108422	3E-06	0.999996	1E-06	40	40	40	40	40
-0.152008	-0.240408	-0.230244	2.271327	-1.416911	0.256424	-0.853266	2.377792	0.261831	-0.309894	2.493945	3.233662	0.816197	-0.273596	1.837201	5.23187	-0.432582	-0.181722	-0.041008	-0.313913	-0.15324	2.212536	6.493419	-0.078027	-0.078299	-0.108422	0	0.999999	1E-06	40	40	40	40	40
0.280577	-0.240408	-0.230244	2.640351	-0.348368	-0.270914	-0.157244	3.208947	0.59539	-0.097884	3.025861	4.301391	1.974035	-0.273596	1.837201	6.625469	-0.432582	-0.181722	-0.041008	-0.313913	-0.15324	3.079965	7.225103	-0.078027	-0.078299	-0.108422	0	0.601258	0.398742	40	40	40	40	40
0.311546	-0.240408	-0.230244	2.427622	-0.542648	-0.454419	-0.498262	2.65506	0.892168	0.291283	5.54793	6.567611	-0.341642	-0.273591	1.837198	6.625467	-0.432581	-0.181722	-0.041008	-0.31391	-0.15324	2.863107	6.75467	-0.078027	-0.078299	-0.108422	1E-06	0.999998	2E-06	40	40	40	40	40
-0.255019	-0.240408	-0.230244	2.916675	0.283043	1.14498	0.066516	3.338375	0.484756	0.237754	5.771758	9.087182	-0.341647	4.952508	-0.422602	6.625465	-0.432581	-0.181722	-0.041008	2.933073	-0.15324	1.887249	3.619584	-0.078027	-0.078299	-0.108422	1E-06	2E-06	0.999997	40	40	40	40	40
