ID	CAS	SMILES	STATUS	EXP_VALUE
62	N.A.	CC(=O)C1C(C#N)CC2C3CC=C4CC(O)CCC4(C)C3CCC21C	TRAINING	0
63	N.A.	CC(=O)C1CCC2C3=CC=C4CC(=O)CCC4(C)C3CCC12C	TRAINING	1
64	N.A.	CC(=O)C1CCC2C3CC(C)=C4CC(=O)CCC4(C)C3C(O)CC12C	TRAINING	0
65	N.A.	CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C	TRAINING	1
66	N.A.	CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O	TRAINING	1
67	N.A.	CC(=O)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C	TRAINING	1
68	N.A.	CC(=O)N(C)C	TRAINING	1
69	N.A.	CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I	TRAINING	0
70	N.A.	CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	TRAINING	0
71	N.A.	CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I	TRAINING	0
72	N.A.	CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	TRAINING	1
73	N.A.	CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1	TRAINING	1
74	N.A.	CC(=O)NC(C=O)C(O)C(O)C(O)CO	TRAINING	0
75	N.A.	CC(=O)NC(CCC(N)=O)C(=O)O	TRAINING	0
76	N.A.	CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO	TRAINING	1
77	N.A.	CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	TRAINING	0
78	N.A.	CC(=O)NS(=O)(=O)c1ccc(N)cc1	TRAINING	0
79	N.A.	CC(=O)Nc1c(I)c(C(=O)NC2C(O)OC(CO)C(O)C2O)c(I)c(N(C)C(C)=O)c1I	TRAINING	0
80	N.A.	CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I	TRAINING	0
81	N.A.	CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I	TRAINING	0
82	N.A.	CC(=O)Nc1cc([As](=O)(O)O)ccc1O	TRAINING	1
83	N.A.	CC(=O)Nc1ccc(C=NNC(N)=S)cc1	TRAINING	1
84	N.A.	CC(=O)Nc1ccc(CC(=O)O)cc1	TRAINING	0
85	N.A.	CC(=O)Nc1ccc(O)cc1	TRAINING	1
86	N.A.	CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1	TRAINING	1
87	N.A.	CC(=O)Nc1cccc(O)c1	TRAINING	0
88	N.A.	CC(=O)OC1(C(C)=O)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C	TRAINING	1
