Id	CAS	SMILES	Set	Log SF
71	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	-0.47
72	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	-0.47
73	4342-03-4	O=C(N)C1=NC=NC1(=NNN(C)C)	Training	1.69
74	1596-84-5	O=C(O)CCC(=O)NN(C)C	Training	-1.75
75	117-10-2	O=C1c3cccc(O)c3(C(=O)c2c(O)cccc12)	Training	-1.11
76	615-05-4	O(c1ccc(N)cc1(N))C	Training	-1.64
77	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	-0.85
78	226-36-8	n3c5ccc1ccccc1c5(cc4ccc2ccccc2c34)	Training	-0.41
79	224-42-0	n2c5ccc1ccccc1c5(cc4c2ccc3ccccc34)	Training	-0.41
80	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	0.62
81	192-65-4	c1ccc3c(c1)cc4c2ccccc2c6cccc5ccc3c4c56	Training	0.59
82	189-64-0	c1ccc2c(c1)cc3ccc5c6ccccc6(cc4ccc2c3c45)	Training	1.59
83	189-55-9	c1ccc3c(c1)cc4ccc5cc2ccccc2c6ccc3c4c56	Training	1.59
84	191-30-0	c1ccc3c(c1)cc4ccc5cccc6c2ccccc2c3c4c56	Test	1.59
85	194-59-2	c1ccc5c(c1)ccc4[nH]c3ccc2ccccc2c3c45	Training	0.59
86	96-12-8	C(C(CBr)Br)Cl	Training	1.32
87	106-93-4	C(CBr)Br	Training	0.32
88	764-41-0	C(=CCCl)CCl	Training	1.17
89	106-46-7	c1cc(ccc1Cl)Cl	Training	-1.41
90	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	0.08
91	75-34-3	CC(Cl)Cl	Training	-2.25
92	107-06-2	C(CCl)Cl	Training	-1.04
93	78-87-5	CC(CCl)Cl	Training	-1.46
94	542-75-6	C(=CCl)CCl	Test	-1.85
95	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	-0.54
96	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	1.21
97	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	2.54
98	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Test	0.23
99	94-58-6	O1c2ccc(cc2(OC1))CCC	Training	-1.34
100	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	0.66
101	57-97-6	c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C	Training	2.40
102	79-44-7	O=C(N(C)C)Cl	Training	1.11
103	57-14-7	NN(C)C	Training	1.23
104	540-73-8	N(NC)C	Training	2.75
105	513-37-1	C(=C(C)C)Cl	Training	-1.34
106	42397-64-8	O=[N+](O)c3ccc1ccc4c2c(ccc3(c12))ccc4[N+](=O)O	Training	1.59
107	42397-65-9	O=[N+](O)c4ccc1ccc2ccc(c3ccc4(c1c23))[N+](=O)O	Training	0.59
108	121-14-2	O=[N+](O)c1ccc(c(c1)[N+](=O)O)C	Training	-0.51
109	123-91-1	O1CCOCC1	Training	-1.76
110	122-66-7	c1ccc(cc1)NNc2ccccc2	Training	-0.11
111	1937-37-7	O=C5C(=NNc1ccccc1)C(=Cc6cc(c(N=Nc2ccc(cc2)c4ccc(N=Nc3ccc(N)cc3(N))cc4)c(N)c56)S(=O)(=O)O)S(=O)(=O)O	Training	2.69
112	2602-46-2	O=C5C(=NNc1ccc(cc1)c2ccc(cc2)NN=C3C(=O)c4c(N)cc(cc4(C=C3S(=O)(=O)O))S(=O)(=O)O)C(=Cc6cc(cc(N)c56)S(=O)(=O)O)S(=O)(=O)O	Training	2.69
113	16071-86-6	O=C(O)c5cc(N=Nc1ccc(cc1)c2ccc(cc2)NN=C4C(=O)C=CC(=NNc3cc(ccc3(O))S(=O)(=O)O)C4(=O))ccc5(O)	Training	2.69
114	2475-45-8	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Training	-2.34
115	106-89-8	O1CC1CCl	Training	-2.38
116	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	1.59
117	100-41-4	c1ccc(cc1)CC	Training	-2.06
118	75-21-8	O1CC1	Training	-0.51
119	96-45-7	N1C(NCC1)=S	Training	-1.34
120	151-56-4	N1CC1	Training	1.82
121	50-00-0	O=C	Training	-1.34
122	531-82-8	O=C(Nc1nc(cs1)c2oc(cc2)[N+](=O)O)C	Training	0.18
123	60568-05-0	O=C(c1cc(oc1C)C)N(OC)C2CCCCC2	Training	-1.52
124	67730-11-4	n1c(N)ccc2nc3c(cccn3(c12))C	Training	0.69
125	67730-10-3	n2c(N)ccc3nc1ccccn1c23	Training	0.15
126	16568-02-8	O=CN(N=CC)C	Training	1.01
127	2784-94-3	O=[N+](O)c1cc(ccc1(NC))N(CCO)CCO	Test	-1.28
128	35822-46-9	O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl	Training	3.12
129	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	0.66
130	1024-57-3	O1C2C1C(C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	0.96
131	35065-30-6	c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	1.12
132	35065-29-3	c2c(c1cc(c(c(c1Cl)Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	Training	0.12
133	39635-31-9	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl	Training	0.60
134	67562-39-4	o2c1c(cc(c(c1Cl)Cl)Cl)c3c2c(c(c(c3Cl)Cl)Cl)Cl	Training	3.12
135	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Training	0.21
136	52663-72-6	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	Training	0.60
137	69782-90-7	c1cc(c(c(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl)Cl	Training	0.60
138	38380-08-4	c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	0.60
139	32774-16-6	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2)Cl)Cl)Cl	Training	3.60
140	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	-1.11
141	319-84-6	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	0.80
142	39227-28-6	O1c3cc(c(cc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl	Training	4.12
143	70648-26-9	o2c1cc(c(cc1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	4.12
144	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Test	-1.41
145	55673-89-7	o2c1cc(c(c(c1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	3.12
146	57653-85-7	O1c3cc(c(c(c3(Oc2cc(c(c(c12)Cl)Cl)Cl))Cl)Cl)Cl	Training	4.12
