id	CAS	SMILES	status	Exp -log10(mg/L)	LOO Prediction
346	001643-20-5	O=N(CCCCCCCCCCCC)(C)C	Training	-1.4744	0.8031906646
347	025377-73-5	O=C1OC(=O)CC1C=CCCCCCCCCCC	Training	-0.5777	-0.4871661715
348	000113-48-4	CCCCC(CC)CN3C(=O)C2C1CC(C=C1)C2C3(=O)	Training	-0.2992	-0.2690922279
349	000075-08-1	SCC	Training	-0.3405	-0.9727335596
350	000110-66-7	SCCCCC	Training	-0.1116	-0.2402287607
351	000111-88-6	SCCCCCCCC	Training	0.4840	0.0368827964
352	025103-58-6	SC(CCC)(CCCC)CCCC	Training	0.4228	0.2098953857
353	000060-24-2	OCCS	Training	-1.4607	-3.5384066274
354	000068-11-1	O=C(O)CS	Training	-1.6009	-2.2028688305
355	000111-47-7	S(CCC)CCC	Training	-1.3324	-0.5773527583
356	000544-40-1	S(CCCC)CCCC	Training	-0.5517	-0.567764144
357	000107-47-1	S(C(C)(C)C)C(C)(C)C	Training	-1.4627	-0.9086410695
358	050512-35-1	CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1	Training	-0.9671	-0.4404186516
359	005395-75-5	S(CC)CCSCC	Training	-1.7766	-1.0781129424
360	056348-40-4	CSCCCCCCSC	Training	-1.0022	-0.6649658945
361	022037-97-4	CCCSCCSCCC	Training	-0.8717	-1.1031488868
362	054576-32-8	S(CC)CCCCSCC	Training	-0.7797	-0.7119522601
363	NA	CCCSCCCCSCCC	Training	-0.4736	-0.7948372264
364	000624-92-0	S(SC)C	Training	-0.0401	-1.0776
365	000110-81-6	S(SCC)CC	Training	-1.0776	-0.4114273522
366	004253-89-8	S(SC(C)C)C(C)C	Training	-0.9166	-0.6708277355
367	000629-19-6	S(SCCC)CCC	Training	-0.4156	-0.8748610143
368	000110-06-5	S(SC(C)(C)C)C(C)(C)C	Training	-0.1367	-0.9740799452
369	000067-68-5	O=S(C)C	Training	-4.5306	-4.5298
370	000116-06-3	O=C(ON=CC(SC)(C)C)NC	Training	0.0660	-999
371	016752-77-5	CNC(=O)ON=C(C)SC	Training	-0.3230	-999
372	023135-22-0	CNC(=O)ON=C(SC)C(=O)N(C)C	Training	-0.9179	-0.7151833421
373	000556-61-6	N(=C=S)C	Training	0.9213	-999
374	014802-03-0	O=P(OCC(CC)CCCC)(CC(CC)CCCC)O	Training	-1.9888	-0.7045165249
375	000126-73-8	O=P(OCCCC)(OCCCC)OCCCC	Training	-1.0747	-1.0778717063
376	000078-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	-1.1827	-1.2368617874
377	000126-72-7	O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr	Training	-0.2781	-1.0747
378	000298-04-4	CCOP(=S)(OCC)SCCSCC	Training	-0.5979	-999
379	000298-06-6	O(P(OCC)(S)=S)CC	Training	-1.8183	-999
380	000121-75-5	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC	Training	-1.1476	-1.1479
381	013071-79-9	CCOP(=S)(OCC)SCSC(C)(C)C	Training	1.8775	-0.7916233017
382	008065-48-3	CCOP(=S)(OCC)OCCSCC	Training	-1.2026	-999
383	000577-11-7	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O	Training	-1.8305	-0.5791947764
384	004016-24-4	S(=O)(=O)(O)C(CCCCCCCCCCCCCC)C(=O)OC	Training	-0.1740	-0.9752570626
385	000071-43-2	c(cccc1)c1	Training	-1.4828	-1.1417452377
386	000108-88-3	c(cccc1)(c1)C	Training	-1.3677	-1.0051973656
387	000100-41-4	c(cccc1)(c1)CC	Training	-0.8526	-1.0951200307
388	000106-42-3	c(ccc(c1)C)(c1)C	Training	-0.9871	-1.1091329078
389	000108-38-3	c(cccc1C)(c1)C	Training	-1.2574	-1.0367383516
390	000095-47-6	c(c(ccc1)C)(c1)C	Training	-0.9188	-1.1240012162
391	000095-63-6	c(ccc(c1C)C)(c1)C	Training	-0.8868	-0.8808731986
392	000098-82-8	c(cccc1)(c1)C(C)C	Training	-0.7988	-0.5043693193
393	000141-93-5	c(cccc1CC)(c1)CC	Training	-0.6157	-0.5410150198
394	000104-51-8	c(cccc1)(c1)CCCC	Training	-0.5164	-0.6065725155
395	000099-87-6	c(ccc(c1)C)(c1)C(C)C	Training	-0.2989	-0.3902523192
396	000538-68-1	c(cccc1)(c1)CCCCC	Training	-0.2298	-0.4874332636
397	000098-51-1	c(ccc(c1)C)(c1)C(C)(C)C	Training	-0.2283	-0.1722795632
398	025321-09-9	c(ccc1C(C)C)cc1C(C)C	Training	0.1020	-0.4749087615
399	000827-52-1	c(cccc1)(c1)C(CCCC2)C2	Training	-0.0772	-0.5618029483
400	000119-64-2	c(c(ccc1)CCC2)(c1)C2 	Training	-0.7763	-0.3456354047
401	030030-25-2	C=Cc1ccc(cc1)CCl	Training	0.5096	-0.3353545486
402	000098-83-9	c(C(=C)C)(cccc1)c1	Training	-0.8616	-0.4971215447
403	001321-74-0	C=Cc1ccccc1C=C	Training	-0.6217	-0.6162651851
404	001746-23-2	c(ccc(c1)C=C)(c1)C(C)(C)C	Training	0.3122	-0.3261465142
405	000098-81-7	BrC(c1ccccc1)=C	Training	0.8248	-0.4938334841
406	000127-66-2	OC(C#C)(c(cccc1)c1)C	Training	-2.0524	-1.6149702193
407	000098-87-3	c(cccc1)(c1)C(Cl)Cl	Training	-1.3609	0.2915242263
408	000623-25-6	c(ccc(c1)CCl)(c1)CCl	Training	1.4089	-0.1838691827
409	000095-52-3	Fc(c(ccc1)C)c1	Training	-1.2875	-0.7542825547
410	000098-08-8	FC(F)(F)c(cccc1)c1	Training	-1.2779	-1.1740826606
411	000108-90-7	c(cccc1)(c1)Cl	Training	-1.0000	-0.8653914649
412	000095-49-8	c(c(ccc1)Cl)(c1)C	Training	-0.8853	-0.8658807535
413	000108-41-8	c(cccc1Cl)(c1)C	Training	-1.2612	-0.8101675006
414	000106-43-4	c(ccc(c1)Cl)(c1)C	Training	-0.7762	-0.9677691502
415	000095-50-1	c(c(ccc1)Cl)(c1)Cl	Training	-0.6941	-0.5135611403
416	000541-73-1	c(cccc1Cl)(c1)Cl	Training	-0.8486	-0.5055817785
417	000106-46-7	c(ccc(c1)Cl)(c1)Cl	Training	-0.5379	-0.6216400674
418	000095-73-8	c(ccc(c1Cl)C)(c1)Cl	Training	-0.6660	-0.2628737853
419	000095-75-0	c(ccc(c1Cl)Cl)(c1)C	Training	-0.5690	-0.4729031786
420	000118-69-4	c(c(c(cc1)Cl)C)(c1)Cl	Training	-0.3609	-0.3433633477
421	000611-19-8	c(c(ccc1)Cl)(c1)CCl	Training	0.5695	-0.7443637651
422	019398-61-9	c(ccc(c1C)Cl)(c1)Cl	Training	-0.6012	-0.2801251436
423	000087-61-6	c(c(c(cc1)Cl)Cl)(c1)Cl	Training	-0.2416	-0.2097782229
424	000108-70-3	c(cc(cc1Cl)Cl)(c1)Cl	Training	-0.5133	-0.3580371569
425	000120-82-1	c(ccc(c1Cl)Cl)(c1)Cl	Training	-0.3672	-0.1727255681
426	006639-30-1	c(c(cc(c1Cl)Cl)Cl)(c1)C	Training	-0.2304	-0.5498833079
427	000634-66-2	c(c(c(c(c1)Cl)Cl)Cl)(c1)Cl	Training	0.0161	0.1552185076
428	000634-90-2	c(cc(c(c1Cl)Cl)Cl)(c1)Cl	Training	0.0961	0.1337598565
429	000095-94-3	c(c(cc(c1Cl)Cl)Cl)(c1)Cl	Training	0.2211	0.1002307141
430	000081-19-6	c(c(c(cc1)Cl)C(Cl)Cl)(c1)Cl	Training	0.0114	-0.1705886334
431	000608-93-5	c(c(c(c(c1Cl)Cl)Cl)Cl)(c1)Cl	Training	0.6617	0.2402010788
432	000348-61-8	Fc1c(F)cc(Br)cc1	Training	-0.8916	-0.5708349332
433	000108-86-1	c(cccc1)(c1)Br	Training	-0.6327	-1.0403978173
434	000583-53-9	c(c(ccc1)Br)(c1)Br	Training	-0.6048	-0.9308476631
435	013209-15-9	BrC(Br)c(c(ccc1)C(Br)Br)c1	Training	0.3579	-0.299389268
436	025675-28-9	CC(O)c1cc(C)ccc1	Training	-2.2286	-1.2067962448
437	000103-05-9	OC(CCc(cccc1)c1)(C)C	Training	-1.8219	-0.4105454327
438	002362-61-0	OC1CCCCC1c2ccccc2	Training	-1.6452	-0.4193577663
439	000150-78-7	O(c(ccc(OC)c1)c1)C	Training	-2.0688	-1.8886740967
440	001126-79-0	O(c(cccc1)c1)CCCC	Training	-0.7568	-2.3391567806
441	005673-07-4	COc1c(C)c(OC)ccc1	Training	-1.3078	-1.5059775411
442	002100-42-7	COc1c(Cl)cc(OC)cc1	Training	-1.4459	-1.1801309064
443	000093-15-2	O(c(c(OC)cc(c1)CC=C)c1)C	Training	-1.1444	-1.3654707501
444	000122-99-6	O(c(cccc1)c1)CCO	Training	-2.5373	-2.2256751985
445	000770-35-4	O(c(cccc1)c1)CC(O)C	Training	-2.4456	-1.8759245258
446	004169-04-4	O(c(cccc1)c1)C(CO)C	Training	-2.4456	-1.8959186365
447	009002-93-1	CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1	Training	-1.3780	-0.170174827
448	013909-73-4	CC(=O)c1c(OC)c(OC)c(OC)cc1	Training	-2.3686	-0.7274766325
449	000607-81-8	c1ccccc1CC(C(=O)OCC)C(=O)OCC	Training	-0.7328	-0.0857802234
450	000122-40-7	O=CC(=Cc(cccc1)c1)CCCCC	Training	0.0428	-0.5536101264
451	006203-18-5	O=CC=Cc(ccc(N(C)C)c1)c1	Training	-0.7691	-1.4228024108
452	000122-57-6	O=C(C=Cc(cccc1)c1)C	Training	-0.7544	-0.528282092
453	020766-36-3	c1c(Cl)cccc1C=CC(=O)C	Training	-0.4760	-0.8458574288
454	002495-37-6	O=C(OCc(cccc1)c1)C(=C)C	Training	-0.6675	-1.5811465101
455	000108-95-2	Oc(cccc1)c1	Training	-1.2955	-1.3357419816
456	000106-44-5	Oc(ccc(c1)C)c1	Training	-1.1090	-1.0777999265
457	000108-39-4	Oc(cccc1C)c1	Training	-1.2524	-1.0386143581
458	000095-48-7	Oc(c(ccc1)C)c1	Training	-1.1094	-1.0967484377
459	000095-87-4	Oc(c(ccc1C)C)c1	Training	-0.7541	-1.1476532027
460	000123-07-9	Oc(ccc(c1)CC)c1	Training	-1.0152	-1.0274922129
461	000105-67-9	Oc(c(cc(c1)C)C)c1	Training	-1.2357	-1.0719472348
462	000095-65-8	Oc(ccc(c1C)C)c1	Training	-1.1652	-1.1203411181
463	000576-26-1	Oc(c(ccc1)C)c1C	Training	-1.2552	-1.0675539557
464	002416-94-6	Oc(c(ccc1C)C)c1C	Training	-0.9173	-1.0675687715
465	000645-56-7	Oc(ccc(c1)CCC)c1	Training	-1.0408	-0.6332263723
466	000527-60-6	Oc(c(cc(c1)C)C)c1C	Training	-1.1123	-1.0420509091
467	000099-71-8	Oc(ccc(c1)C(CC)C)c1	Training	-0.4130	-0.732254629
468	000089-83-8	Oc(c(ccc1C)C(C)C)c1	Training	-0.6701	-0.5012249187
469	001638-22-8	Oc(ccc(c1)CCCC)c1	Training	-0.7048	-0.4929999891
470	000098-54-4	Oc(ccc(c1)C(C)(C)C)c1	Training	-0.7135	-0.5150360999
471	000089-72-5	Oc(c(ccc1)C(CC)C)c1	Training	-0.7762	-0.602454667
472	000088-18-6	Oc(c(ccc1)C(C)(C)C)c1	Training	-0.5662	-0.6130332177
473	014938-35-3	Oc(ccc(c1)CCCCC)c1	Training	-0.1184	-0.1349028348
474	000088-60-8	Oc(c(ccc1C)C(C)(C)C)c1	Training	-0.4293	-0.5394414295
475	002219-82-1	Oc(c(ccc1)C(C)(C)C)c1C	Training	-0.6314	-0.4176752052
476	000080-46-6	Oc(ccc(c1)C(CC)(C)C)c1	Training	-0.4079	-0.7311756141
477	002409-55-4	Oc(c(cc(c1)C)C(C)(C)C)c1	Training	-0.2934	-0.5066629018
478	001879-09-0	Oc(c(cc(c1)C)C(C)(C)C)c1C	Training	-0.3958	-0.3007344038
479	001806-26-4	Oc(ccc(c1)CCCCCCCC)c1	Training	1.0577	0.1595358052
480	000096-76-4	Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1	Training	0.1697	-0.0557185676
481	000140-66-9	Oc(ccc(c1)C(CC(C)(C)C)(C)C)c1	Training	0.4459	0.1752942035
482	005510-99-6	CCC(C)c1cccc(C(C)CC)c1O	Training	0.8261	0.0868469154
483	000128-37-0	Oc(c(cc(c1)C)C(C)(C)C)c1C(C)(C)C	Training	0.1999	0.3074467623
484	000104-40-5	Oc(ccc(c1)CCCCCCCCC)c1	Training	0.8577	0.2264938415
485	000120-95-6	Oc(c(cc(c1)C(CC)(C)C)C(CC)(C)C)c1	Training	0.5399	0.3589350806
486	004130-42-1	Oc(c(cc(c1)CC)C(C)(C)C)c1C(C)(C)C	Training	0.2315	0.5288448257
487	000732-26-3	Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1C(C)(C)C	Training	1.2174	0.2802694728
488	061788-44-1	Oc1c(cccc1)C=C	Training	-0.7467	-1.1062582316
489	001745-81-9	Oc(c(ccc1)CC=C)c1	Training	-1.1556	-0.8260108181
490	004286-23-1	Oc(ccc(C(=C)C)c1)c1	Training	-0.9622	-0.9085514015
491	000106-48-9	Oc(ccc(c1)Cl)c1	Training	-0.7353	-0.743523019
492	000108-43-0	Oc(cccc1Cl)c1	Training	-0.8082	-0.633844111
493	000095-57-8	Oc(c(ccc1)Cl)c1	Training	-1.0734	-0.9781271727
494	006640-27-3	Oc(c(cc(c1)C)Cl)c1	Training	-1.5529	-0.7078075259
495	000059-50-7	Oc(ccc(c1C)Cl)c1	Training	-0.8114	-0.8364781621
496	000088-04-0	Oc(cc(c(c1C)Cl)C)c1	Training	-0.2085	-0.9899138579
497	000591-35-5	Oc1cc(Cl)cc(Cl)c1	Training	-0.4315	-0.6013648608
498	000583-78-8	Oc(c(ccc1Cl)Cl)c1	Training	-0.6315	-0.66680585
499	000120-83-2	Oc(c(cc(c1)Cl)Cl)c1	Training	-0.6174	-0.5867835758
500	000087-65-0	Oc(c(ccc1)Cl)c1Cl	Training	-0.8915	-0.5144678532
501	000933-75-5	Oc(c(ccc1Cl)Cl)c1Cl	Training	-0.7350	-0.2344746998
502	000933-78-8	Oc1cc(Cl)cc(Cl)c1Cl	Training	-0.3750	-0.3270021308
503	000609-19-8	Oc1cc(Cl)c(Cl)c(Cl)c1	Training	-0.2150	-0.3648526439
504	000088-06-2	Oc(c(cc(c1)Cl)Cl)c1Cl	Training	-0.3576	-0.3290584627
505	000095-95-4	Oc(c(cc(c1Cl)Cl)Cl)c1	Training	0.0050	-0.4224092779
506	000058-90-2	Oc(c(cc(c1Cl)Cl)Cl)c1Cl	Training	0.1206	0.2082741523
507	004901-51-3	Oc1cc(Cl)c(Cl)c(Cl)c1Cl	Training	0.2706	0.1682661014
508	000935-95-5	Oc1c(Cl)c(Cl)cc(Cl)c1Cl	Training	-0.1049	0.0937151886
509	000087-86-5	Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl	Training	0.6894	0.0474746167
510	000106-41-2	Oc(ccc(c1)Br)c1	Training	-0.9388	-0.7894272952
511	000615-58-7	Oc(c(cc(c1)Br)Br)c1	Training	-0.5558	-0.6395143538
512	000118-79-6	Oc(c(cc(c1)Br)Br)c1Br	Training	-0.6052	-0.1450534175
513	000608-71-9	Oc(c(c(c(c1Br)Br)Br)Br)c1Br	Training	1.0313	-0.3810810508
514	000609-23-4	Oc(c(cc(c1)I)I)c1I	Training	-0.0837	-0.515773433
515	000150-19-6	O(c(cccc1O)c1)C	Training	-1.8712	-1.7133383935
516	000150-76-5	O(c(ccc(O)c1)c1)C	Training	-1.8452	-1.7219277059
517	025013-16-5	COc1ccc(O)c(c1)C(C)(C)C	Training	-0.7615	-0.7923167647
518	002460-49-3	COc1cc(Cl)c(Cl)cc1O	Training	-0.6473	-0.4353759581
519	000552-41-0	COc1ccc(C(C)=O)c(O)c1	Training	-1.7386	-1.0204772125
520	000099-76-3	O=C(OC)c(ccc(O)c1)c1	Training	-1.7769	-1.6180767585
521	000118-61-6	O=C(OCC)c(c(O)ccc1)c1	Training	-1.2921	-1.6372540079
522	000090-02-8	O=Cc(c(O)ccc1)c1	Training	-0.2819	-1.7222126244
523	000121-33-5	O=Cc(ccc(O)c1OC)c1	Training	-1.8380	-1.3181220325
524	000121-32-4	O=Cc(ccc(O)c1OCC)c1	Training	-1.9401	-1.3461963506
525	000708-76-9	COc1cc(O)c(C=O)c(OC)c1	Training	-0.4281	-1.7551050027
526	000148-53-8	O=Cc(c(O)c(OC)cc1)c1	Training	-0.3975	-1.5731367187
527	000635-93-8	O=Cc(c(O)ccc1Cl)c1	Training	0.1142	-0.748491643
528	001761-61-1	O=Cc(c(O)ccc1Br)c1	Training	-0.1135	-0.2823698521
529	000090-59-5	Oc1c(Br)cc(Br)cc1C=O	Training	0.0724	-0.5682705021
530	002973-76-4	O=Cc(cc(OC)c(O)c1Br)c1	Training	-1.7739	-1.0901097042
531	042454-06-8	Oc1ccc([N+](=O)[O-])c(C=O)c1	Training	-1.6213	-1.2381441156
532	098434-34-5	COc1c([N+](=O)[O-])c(C=O)cc(Br)c1O	Training	-1.8645	-1.0514990049
533	000100-02-7	[O-][N+](=O)c(ccc(O)c1)c1	Training	-1.2517	-1.7731731965
534	000554-84-7	[O-][N+](=O)c(cccc1O)c1	Training	-1.0725	-1.7442950256
535	000088-75-6	[O-][N+](=O)c(c(O)ccc1)c1	Training	-2.0030	-1.3754065322
536	000089-64-5	[O-][N+](=O)c(c(O)ccc1Cl)c1	Training	-1.0408	-1.4394158515
537	000088-30-2	Oc(ccc1N(=O)=O)cc1C(F)(F)F	Training	-0.9581	-1.5050803665
538	000573-56-8	Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]	Training	-1.5986	-0.7367823084
539	000051-28-5	[O-][N+](=O)c(ccc(O)c1N(=O)(=O))c1	Training	-1.1236	-0.8676476077
540	000534-52-1	[O-][N+](=O)c(cc([N+](=O)[O-])c(O)c1C)c1	Training	-0.1628	-0.9896715482
541	000329-71-5	Oc1cc(ccc1[N+](=O)[O-])[N+](=O)[O-]	Training	-0.5251	-1.041160479
542	000088-85-8	[O-][N+](=O)c(cc([N+](=O)[O-])c(O)c1C(CC)C)c1	Training	0.3535	-0.448522449
543	000108-46-3	Oc(cccc1O)c1	Training	-1.9005	-1.4699227528
544	000120-80-9	Oc(c(O)ccc1)c1	Training	-0.9563	-1.7385295815
545	002138-22-9	Oc1ccc(Cl)cc1O	Training	-0.1991	-0.475431522
546	003428-24-8	Oc1cc(Cl)c(Cl)cc1O	Training	0.0493	-0.3727556076
547	001198-55-6	Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1O	Training	-0.1039	0.2426453397
548	000095-01-2	O=Cc(c(O)cc(O)c1)c1	Training	-1.1177	-1.0734767378
549	002150-47-2	O=C(OC)c(c(O)cc(O)c1)c1	Training	-1.6220	-1.450586984
550	000123-30-8	Oc(ccc(N)c1)c1	Training	0.0327	-1.0736375277
551	000591-27-5	Oc(cccc1N)c1	Training	-2.0780	-0.4398433473
552	000119-34-6	O=N(=O)c(c(O)ccc1N)c1	Training	-1.5524	-1.6653706547
553	NA	c1cc(NCOC)ccc1O	Training	-2.9137	-1.866814118
554	017754-90-4	O=Cc(c(O)cc(N(CC)CC)c1)c1	Training	-0.7260	-2.2029439477
555	000095-54-5	Nc(c(N)ccc1)c1	Training	-0.6629	-999
556	000106-50-3	Nc(ccc(N)c1)c1	Training	1.1816	-999
557	000095-70-5	Nc(c(cc(N)c1)C)c1	Training	0.7226	-0.621207442
558	020103-09-7	Nc(c(cc(N)c1Cl)Cl)c1	Training	-1.3419	-0.6124596601
559	000101-96-2	N(c(ccc(NC(CC)C)c1)c1)C(CC)C	Training	0.4338	-0.5599029925
560	001477-55-0	NCc(cccc1CN)c1	Training	-1.9430	-1.1297804433
561	000062-53-3	Nc(cccc1)c1	Training	-1.8524	-1.8347382846
562	000106-49-0	Nc(ccc(c1)C)c1	Training	-1.8568	-1.7161719521
563	000108-44-1	Nc(cccc1C)c1	Training	-1.5585	-1.7251996778
564	000095-53-4	Nc(c(ccc1)C)c1	Training	-2.0435	-1.7055133131
565	000108-69-0	Nc(cc(cc1C)C)c1	Training	-1.5298	-1.6457599067
566	000578-54-1	Nc(c(ccc1)CC)c1	Training	-1.8717	-1.7059270556
567	000587-02-0	CCc1cccc(N)c1	Training	-1.4317	-1.7037188202
568	000589-16-2	Nc(ccc(c1)CC)c1	Training	-1.7117	-1.7001411505
569	000088-05-1	Nc(c(cc(c1)C)C)c1C	Training	-1.7385	-1.7678101649
570	000099-88-7	CC(C)c1ccc(N)cc1	Training	-1.6609	-1.6372812184
571	000104-13-2	Nc(ccc(c1)CCCC)c1	Training	-1.0082	-0.878449469
572	024544-04-5	Nc(c(ccc1)C(C)C)c1C(C)C	Training	-1.1666	-1.702574824
573	037529-30-9	CCCCCCCCCCc1ccc(N)cc1	Training	1.2132	0.4654034392
574	016245-79-7	Nc1ccc(CCCCCCCC)cc1	Training	0.9205	0.5345330247
575	000371-40-4	Fc(ccc(N)c1)c1	Training	-1.2258	-1.3785574152
576	NA	Fc1c(C)c(F)c(F)c(F)c1N	Training	-1.4825	-1.497350987
577	NA	Cc1c(F)c(F)c(F)c(F)c1N	Training	-1.4725	-1.5002980265
578	002357-47-3	Nc1ccc(F)c(c1)C(F)(F)F	Training	-1.4800	-1.517402463
579	000393-39-5	Nc1ccc(F)cc1C(F)(F)F	Training	-1.4715	-1.519834015
580	000771-60-8	Fc(c(N)c(F)c(F)c1F)c1F	Training	-1.5715	-1.1503602627
581	000108-42-9	Nc(cccc1Cl)c1	Training	-1.0349	-0.7379166098
582	000095-51-2	Nc(c(ccc1)Cl)c1	Training	-0.8047	-1.1956486188
583	000106-47-8	Nc(ccc(c1)Cl)c1	Training	-1.1836	-0.8670420812
584	000095-81-8	Cc1ccc(Cl)c(N)c1	Training	-1.0403	-1.1602582521
585	000615-65-6	Nc(c(cc(c1)C)Cl)c1	Training	-1.5520	-1.0150163187
586	000095-82-9	Nc(c(ccc1Cl)Cl)c1	Training	-0.2790	-0.8709767387
587	000095-76-1	Nc(ccc(c1Cl)Cl)c1	Training	-0.7527	-0.5215071124
588	000554-00-7	Nc(c(cc(c1)Cl)Cl)c1	Training	-0.8540	-0.563370545
589	000634-67-3	Nc1ccc(Cl)c(Cl)c1Cl	Training	-0.3523	-0.0289173996
590	000636-30-6	Nc(c(cc(c1Cl)Cl)Cl)c1	Training	-0.3728	-0.019573779
591	000634-93-5	Nc(c(cc(c1)Cl)Cl)c1Cl	Training	-0.6428	-0.2934787833
592	003481-20-7	Nc1c(Cl)c(Cl)cc(Cl)c1Cl	Training	0.5679	-0.2014036702
593	000634-83-3	Nc1cc(Cl)c(Cl)c(Cl)c1Cl	Training	0.4469	-0.1699015665
594	000626-43-7	Nc(cc(cc1Cl)Cl)c1	Training	-0.5890	-0.7195617293
595	000106-40-1	Nc(ccc(c1)Br)c1	Training	-1.6752	-1.0622487836
596	000090-04-0	O(c(c(N)ccc1)c1)C	Training	-2.2996	-1.4173432938
597	051963-82-7	O(CCN(c(c(OCC)cc(N)c1OCC)c1)C2)C2	Training	-1.3408	-0.8550207965
598	039905-57-2	O(c(ccc(N)c1)c1)CCCCCC	Training	-0.4748	-0.7983344293
599	000099-03-6	O=C(c(cccc1N)c1)C	Training	-2.5801	-1.7585223003
600	000070-69-9	O=C(c(ccc(N)c1)c1)CC	Training	-2.1628	-1.7818747469
601	000886-86-2	Nc1cc(C(=O)OCC)ccc1	Training	-1.6966	-1.3741505391
602	000094-09-7	O=C(OCC)c(ccc(N)c1)c1	Training	-1.5466	-1.6080869449
603	005372-81-6	O=C(OC)c(ccc(c1N)C(=O)OC)c1	Training	-0.9394	-1.3456978812
604	000100-46-9	NCc(cccc1)c1	Training	-2.0080	-1.7595658629
605	085068-29-7	FC(F)(F)c1cc(C(F)(F)F)cc(CN)c1	Training	-1.0407	-1.1770698949
606	000100-61-8	N(c(cccc1)c1)C	Training	-1.8785	-1.7860813787
607	000103-69-5	N(c(cccc1)c1)CC	Training	-1.8646	-1.6468363302
608	000102-27-2	N(c(cccc1C)c1)CC	Training	-1.6912	-1.6369648891
609	000589-09-3	C=CCNc1ccccc1	Training	-1.5534	-1.6911914827
610	000459-59-6	CNc1ccc(F)cc1	Training	-1.5832	-1.6287497458
611	014321-27-8	N(Cc(cccc1)c1)CC	Training	-1.7552	-1.7349205869
612	000121-69-7	N(c(cccc1)c1)(C)C	Training	-1.8467	-1.6982840522
613	000099-97-8	N(c(ccc(c1)C)c1)(C)C	Training	-1.7017	-1.764141824
614	000091-66-7	N(c(cccc1)c1)(CC)CC	Training	-1.3122	-1.7780491659
615	000091-88-3	OCCN(c(cccc1C)c1)CC	Training	-1.7216	-1.9673989893
616	000120-07-0	OCCN(c(cccc1)c1)CCO	Training	-2.8665	-1.6827820441
617	000100-10-7	O=Cc(ccc(N(C)C)c1)c1	Training	-1.6603	-1.938773472
618	000120-21-8	O=Cc(ccc(N(CC)CC)c1)c1	Training	-1.3769	-1.3994233773
619	000103-83-3	N(Cc(cccc1)c1)(C)C	Training	-1.5752	-1.7896368318
620	034274-04-9	COCCCNCc1cc(OC)c(OC)c(OC)c1	Training	-2.1315	-1.4771282527
621	000100-01-6	[O-][N+](=O)c(ccc(N)c1)c1	Training	-2.0030	-1.5573637749
622	000099-09-2	[O-][N+](=O)c(cccc1N)c1	Training	-1.9245	-1.6494243562
623	000088-74-4	[O-][N+](=O)c(c(N)ccc1)c1	Training	-0.9895	-1.8262669654
624	000121-87-9	[O-][N+](=O)c(ccc(N)c1Cl)c1	Training	-1.2989	-1.0605351849
625	000089-63-4	[O-][N+](=O)c(c(N)ccc1Cl)c1	Training	-1.2299	-1.1476194415
626	000616-86-4	[O-][N+](=O)c(c(N)ccc1OCC)c1	Training	-1.4104	-1.5017376048
627	000096-96-8	[O-][N+](=O)c(c(N)ccc1OC)c1	Training	-1.6119	-1.4409648092
628	000100-52-7	O=Cc(cccc1)c1	Training	-0.9376	-1.8531206148
629	000529-20-4	Cc1ccccc1C=O	Training	-1.7203	-1.2727186168
630	000487-68-3	O=Cc(c(cc(c1)C)C)c1C	Training	-1.0775	-1.145049431
631	000122-03-2	O=Cc(ccc(c1)C(C)C)c1	Training	-0.8191	-1.4304987371
632	000446-52-6	Fc1ccccc1C=O	Training	-0.1313	-0.8806588983
633	000653-37-2	Fc1c(F)c(F)c(C=O)c(F)c1F	Training	-0.0415	-1.3926186458
634	000454-89-7	O=Cc(cccc1C(F)(F)F)c1	Training	0.0385	-1.5154415432
635	000104-88-1	O=Cc(ccc(c1)Cl)c1	Training	-0.3395	-0.2605276315
636	000874-42-0	O=Cc(c(cc(c1)Cl)Cl)c1	Training	-0.2534	-1.0847167621
637	000387-45-1	O=Cc(c(ccc1)Cl)c1F	Training	-0.9710	-0.4356049177
638	000123-11-5	O=Cc(ccc(OC)c1)c1	Training	-1.6007	-1.2157109463
639	010031-82-0	O=Cc(ccc(OCC)c1)c1	Training	-1.4461	-1.8336369399
640	000613-45-6	COc1ccc(C=O)c(OC)c1	Training	-1.3006	-1.0611582241
641	004460-86-0	O=Cc(c(OC)cc(OC)c1OC)c1	Training	-1.6922	-1.1547584193
642	061096-84-2	CCCCCCOc1ccc(C=O)cc1OC	Training	-0.4246	-1.6301761287
643	000098-86-2	O=C(c(cccc1)c1)C	Training	-2.2083	-1.1306561053
644	002234-16-4	O=C(c(c(cc(c1)Cl)Cl)c1)C	Training	-1.0712	-1.2025029083
