id	CAS	SMILES	status	Exp -log10(mg/L)	LOO Prediction
82	000112-53-8	OCCCCCCCCCCCC	Training	-0.0074	-0.3331364795
83	000112-70-9	OCCCCCCCCCCCCC	Training	-0.2275	-0.272659144
84	000075-89-8	FC(F)(F)CO	Training	-2.0767	-1.8621285692
85	029553-26-2	FC(F)C(F)(F)C(O)(C)C	Training	-2.7631	-1.9021639999
86	000920-66-1	FC(F)(F)C(O)C(F)(F)F	Training	-2.3858	-1.8804837111
87	000107-07-3	OCCCl	Training	-1.7128	-2.6936700591
88	000127-00-4	OC(CCl)C	Training	-2.3859	-2.7538760708
89	000115-20-8	OCC(Cl)(Cl)Cl	Training	-2.4416	-1.9424478509
90	006001-64-5	CC(C)(O)C(Cl)(Cl)Cl	Training	-2.1291	-2.0823233869
91	000096-13-9	OCC(Br)CBr	Training	-1.8490	-1.5390624722
92	000108-93-0	OC(CCCC1)C1	Training	-2.8474	-2.0542606328
93	002216-51-5	OC(C(CCC1C)C(C)C)C1	Training	-1.2742	-1.7294111938
94	000497-37-0	C1(O)CC2CC1CC2	Training	-2.3556	-2.1006806407
95	000464-45-9	OC(CC1C2)C(C2)(C1(C)C)C	Training	-1.7983	-1.5911095931
96	000928-96-1	OCCC=CCC	Training	-2.5081	-1.3351804421
97	000107-18-6	OCC=C	Training	0.3630	-999
98	006117-91-5	OCC=CC	Training	-0.5997	-999
99	000556-82-1	OCC=C(C)C	Training	-1.6696	-999
100	004798-44-1	OC(C=C)CCC	Training	-1.4791	-2.2999715182
101	000924-41-4	OC(CC=C)C=C	Training	-1.5797	-2.5570576158
102	000078-70-6	OC(C=C)(CCC=C(C)C)C	Training	-1.5886	-1.2157889749
103	007212-44-4	OC(C=C)(CCC=C(CCC=C(C)C)C)C	Training	-0.1526	-0.5756939435
104	000596-85-0	CC(O)(CCC1C(=C)CCC2C(C)(C)CCCC12C)C=C	Training	0.9233	-0.7892864659
105	000927-74-2	OCCC#C	Training	-1.5547	-1.5435053315
106	002117-11-5	OC(C)CC#C	Training	-1.5428	-1.5055609221
107	076334-36-6	BrC(=C)CCO	Training	-1.6267	-1.4132817249
108	000107-19-7	OCC#C	Training	-0.1770	-1.74225771
109	000764-01-2	CC#CCO	Training	-1.0037	-1.1120877277
110	065337-13-5	CC(O)C#C	Training	-1.0652	-1.7078856022
111	000115-19-5	OC(C#C)(C)C	Training	-3.5138	-2.0283580115
112	000077-75-8	OC(C#C)(CC)C	Training	-3.0817	-2.2972465085
113	007383-19-9	OC(C#C)CCCC	Training	-0.2456	-1.1264721627
114	001482-15-1	OC(C#C)(C)C(C)C	Training	-2.3086	-2.7815177727
115	000818-72-4	OC(C#C)CCCCC	Training	0.3888	-1.388035901
116	019549-98-5	CC(C)CCC(C)(O)C#C	Training	-1.6859	-1.3151079011
117	004117-14-0	OCC#CCCCCCCC	Training	-0.0268	-0.4659338393
118	000078-27-3	OC(C#C)(CCCC1)C1	Training	-2.4040	-1.2427756135
119	000110-65-6	OCC#CCO	Training	-1.7253	-999
120	000109-86-4	O(CCO)C	Training	-4.2389	-4.2315304429
121	000110-80-5	O(CCO)CC	Training	-4.2123	-4.2630305622
122	000107-98-2	O(CC(O)C)C	Training	-4.3153	-4.0583187153
123	000111-76-2	O(CCCC)CCO	Training	-2.9899	-3.0863047872
124	000109-59-1	O(C(C)C)CCO	Training	-3.7351	-3.9462743538
125	000111-90-0	O(CCOCC)CCO	Training	-4.3246	-4.2553638022
126	000112-34-5	O(CCOCCO)CCCC	Training	-3.0577	-4.0681103815
127	000107-21-1	OCCO	Training	-4.6906	-4.1681351078
128	000057-55-6	OCC(O)C	Training	-4.0409	-4.2376785087
129	000107-41-5	OC(CC(O)(C)C)C	Training	-4.0044	-2.4804348479
130	000080-04-6	OC(CCC(C(C(CCC(O)C1)C1)(C)C)C2)C2	Training	-1.2763	-0.5487370053
131	000111-46-6	O(CCO)CCO	Training	-4.8286	-4.276553274
132	000112-27-6	O(CCOCCO)CCO	Training	-4.8294	-3.6043965091
133	000060-29-7	O(CC)CC	Training	-3.3666	-3.1517258951
134	001634-04-4	O(C(C)(C)C)C	Training	-2.8378	-3.0681051307
135	000108-20-3	O(C(C)C)C(C)C	Training	-2.1281	-3.1734067515
136	000142-96-1	O(CCCC)CCCC	Training	-1.5068	-0.9853783527
137	000544-01-4	O(CCC(C)C)CCC(C)C	Training	-0.8296	-1.5595815433
138	000693-65-2	O(CCCCC)CCCCC	Training	-0.5040	-0.9048893237
139	000127-90-2	C(Cl)(Cl)(Cl)C(Cl)COCC(Cl)C(Cl)(Cl)Cl	Training	0.2297	-999
140	003295-94-1	CCCCCCOCC=C	Training	-0.6875	-0.75176154
141	000109-99-9	O(CCC1)C1	Training	-3.3349	-2.587556453
142	015045-43-9	O1C(C)(C)CCC1(C)C	Training	-2.2238	-1.3885424896
143	000470-82-6	C1CC2C(C)(C)OC1(C)CC2	Training	-2.0061	-1.8819478531
144	000100-79-8	O(CC(O1)CO)C1(C)C	Training	-4.2190	-3.5289158594
145	003984-22-3	O(CC1)C(O1)C=C	Training	-1.8111	-999
146	034723-82-5	BrCC1CCCCO1	Training	-2.3111	-1.386201828
147	000123-91-1	O(CCOC1)C1	Training	-4.0004	-3.5753442428
148	000110-88-3	O(COCO1)C1	Training	-3.7729	-3.501940766
149	000075-07-0	O=CC	Training	-1.5044	-1.7769897398
150	000123-72-8	O=CCCC	Training	-1.1836	-1.4098848397
151	000110-62-3	O=CCCCC	Training	-1.1072	-1.5576858678
152	000096-17-3	O=CC(CC)C	Training	-0.9947	-1.370549185
153	000590-86-3	O=CCC(C)C	Training	-0.5112	-1.5088054019
154	000123-15-9	O=CC(CCC)C	Training	-1.2696	-0.9533791353
155	000066-25-1	O=CCCCCC	Training	-1.1906	-1.7779107155
156	003944-76-1	CCC(C)C(C)C(=O)	Training	-1.2030	-1.8028893171
157	003268-49-3	O=CCCSC	Training	-0.8435	-0.9509238004
158	000107-02-8	O=CC=C	Training	1.7010	-0.4277327711
159	004170-30-3	O=CC=CC	Training	1.1446	0.0631525462
160	000111-30-8	O=CCCCC=O	Training	-0.9426	-1.4057311306
161	000067-64-1	O=C(C)C	Training	-3.9877	-3.1928621346
162	000078-93-3	O=C(CC)C	Training	-3.5056	-3.2969164719
163	000563-80-4	O=C(C(C)C)C	Training	-2.9427	-2.2955357554
164	000096-22-0	O=C(CC)CC	Training	-3.1882	-2.9957263944
165	000107-87-9	O=C(CCC)C	Training	-3.0917	-3.0134549482
166	000108-10-1	O=C(CC(C)C)C	Training	-2.7156	-2.3607123341
167	000591-78-6	O=C(CCCC)C	Training	-2.6281	-2.1551264511
168	000075-97-8	O=C(C(C)(C)C)C	Training	-1.9379	-3.0758957635
169	000111-13-7	O=C(CCCCCC)C	Training	-1.5548	-1.3919598635
170	000110-43-0	O=C(CCCCC)C	Training	-2.1150	-1.8957630577
171	000110-12-3	O=C(CCC(C)C)C	Training	-2.1970	-1.9631180217
172	000502-56-7	O=C(CCCC)CCCC	Training	-1.4899	-0.964972349
173	000821-55-6	O=C(CCCCCCC)C	Training	-1.1804	-1.0365361155
174	000693-54-9	O=C(CCCCCCCC)C	Training	-0.7572	-0.7638151659
175	000112-12-9	O=C(CCCCCCCCC)C	Training	-0.3247	-0.3881025355
176	006175-49-1	O=C(CCCCCCCCCC)C	Training	-0.0709	-0.4281692855
177	000593-08-8	O=C(CCCCCCCCCCC)C	Training	0.4453	-0.5563550322
178	000108-94-1	O=C(CCCC1)C1	Training	-2.7547	-1.8705118544
179	000464-48-2	O=C(CC1C2)C(C2)(C1(C)C)C	Training	-1.2282	-1.655707817
180	010293-06-8	O=C(C(C(C1C2)(C)C)(C2)C)C1Br	Training	-1.8343	-2.163225345
181	000700-58-3	C13CC2CC(CC(C1=O)C2)C3	Training	-1.7819	-1.6554951054
182	000110-93-0	O=C(CCC=C(C)C)C	Training	-1.9342	-2.3946889685
183	001502-22-3	O=C(C(C(=CCCC1)C1)CCC2)C2	Training	-1.4602	-0.7562020854
184	001335-46-2	O=C(C=CC1C(=C(CCC1(C)C)C)C)C	Training	-0.4749	-0.8730523827
185	000079-77-6	O=C(C=CC(=C(CCC1)C)C1(C)C)C	Training	-0.7048	-0.628331174
