35
35
1,1,543,545,566
2,1,573
7,1,280,562
9,1,590
12,1,263
14,1,539
15,1,168,546,706
19,1,46,262,447
20,1,640
22,1,68
24,1,283
27,1,231
28,1,781,782
31,1,123
32,1,67
33,1,297
35,1,800
4,2,565
15,2,572,604
18,2,582
20,2,448
35,2,186
1,3,578,603
2,3,567
4,3,574
10,3,317,318
11,3,549,622
12,3,589
13,3,586
15,3,472,473
19,3,71
26,3,627
27,3,209,237
31,3,130
32,3,635
33,3,665
35,3,22,791
1,4,569,594
2,4,551
5,4,593
6,4,592
7,4,605
9,4,384
18,4,554
19,4,598,599,600,601
24,4,253
25,4,324,418
26,4,458
27,4,180
35,4,693
1,5,596
3,5,597
11,5,672
12,5,456
14,5,455
17,5,581
21,5,555
33,5,353
1,6,579,595
4,6,330
5,6,128,623
7,6,584,610
8,6,542
10,6,114,216
12,6,52,369
13,6,540
14,6,401
32,6,106,197
33,6,202,754
35,6,409,483
1,7,580,587
6,7,564
9,7,541
16,7,62
21,7,327
24,7,773
25,7,279
26,7,137,355
28,7,398,692
29,7,338,411,714
31,7,666
1,8,609
3,8,457
4,8,387
17,8,82
19,8,80,462
22,8,765
23,8,125
24,8,710
32,8,343,378
2,9,205,563,583
5,9,560,588
18,9,365
21,9,164,286
22,9,328
23,9,667
25,9,140,192
30,9,298
32,9,235
1,10,577
2,10,585
5,10,34,452,673
7,10,319,474,559
10,10,249,729
13,10,86
15,10,364,412
25,10,712,738
27,10,741
29,10,196
30,10,198
33,10,413
34,10,321
1,11,553,557,558,602
18,11,320,480
21,11,169,750
24,11,4
27,11,156
28,11,467
29,11,354
35,11,200,660
13,12,519,787
17,12,407
20,12,689,690
22,12,57
24,12,172
26,12,393
27,12,363
30,12,177,292
33,12,639
34,12,713
35,12,655,748
9,13,367,703
10,13,124
11,13,522
13,13,74
25,13,175,446
31,13,18
32,13,695,803
1,14,674
3,14,310,424
4,14,118
5,14,444
6,14,184
7,14,219,277
9,14,400
12,14,708
13,14,306,435
15,14,129,252
18,14,315,449
20,14,59,659
22,14,346
23,14,135
24,14,410
25,14,481
27,14,408
28,14,453
29,14,291
31,14,260
33,14,747
34,14,614
35,14,325,428,685,699
1,15,78,107
4,15,274
6,15,445
7,15,790
11,15,797
12,15,511
19,15,270
23,15,494
25,15,525
28,15,322
29,15,25
30,15,704
31,15,394
32,15,332
9,16,475
11,16,459
13,16,661
15,16,716
16,16,711
19,16,392
21,16,772
22,16,66
25,16,503
30,16,478
33,16,490,775
35,16,715,786
3,17,264
4,17,241
5,17,396,756
7,17,486
10,17,120
11,17,269
14,17,366,376
23,17,484
25,17,805
26,17,743
29,17,402
31,17,646
32,17,97,663
35,17,96
1,18,49
6,18,789
7,18,395
9,18,302
12,18,127,451
13,18,148
16,18,28
17,18,489
18,18,780
19,18,616
21,18,454
22,18,24,527
23,18,383
24,18,289
29,18,150
31,18,326
32,18,386
35,18,691
1,19,314
2,19,278
8,19,19,20
17,19,618
20,19,502
22,19,528
28,19,149,391
31,19,76
34,19,316
35,19,417,643,648
2,20,311
3,20,183
5,20,104,157
7,20,294
8,20,792
10,20,533
11,20,119
12,20,93,523
13,20,532
19,20,154
20,20,504
23,20,5,336,509
24,20,506,508
25,20,373
27,20,165,742
29,20,63,799
31,20,645
10,21,762
16,21,709
17,21,726
20,21,500,501
21,21,38
23,21,276
27,21,100
32,21,243
33,21,256
35,21,75,98,296
1,22,340
2,22,731
3,22,15
5,22,166,676
7,22,3,17
9,22,21
10,22,108
11,22,443
12,22,723
13,22,630
16,22,733
19,22,345
20,22,496
22,22,39,40
25,22,176
26,22,64
30,22,382
34,22,755
1,23,30,110
2,23,275
6,23,351
8,23,350,352
14,23,362
18,23,242
25,23,615
27,23,732
28,23,102,103
29,23,491
30,23,45
31,23,35,37,621
33,23,414,619
35,23,179,307
2,24,406
3,24,675
4,24,230
5,24,212,761,769
6,24,763
7,24,724
10,24,725,728,778
11,24,217,764
12,24,225,727
14,24,734,758
17,24,65
18,24,91
20,24,31
21,24,495
24,24,368,671
26,24,634
27,24,185
29,24,441
35,24,203,536
1,25,793,795
9,25,471
20,25,90
31,25,347
2,26,161,214,227
3,26,1
7,26,2,6
8,26,740,746
