No	CAS	SMILES	Set	EXP (Log L/Kg)	yc_weighted (pred pesata)
332	554-00-7	Nc1ccc(cc1Cl)Cl	Training	2.72	2.37
333	555-37-3	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)CCCC	Training	3.4	3.328
334	556-61-6	C(=NC)=S	Training	0.97	0.873
335	563-12-2	O(CC)P(OCC)(=S)SCSP(OCC)(OCC)=S	Training	4.06	3.272
336	576-24-9	Oc1cccc(c1Cl)Cl	Training	2.66	2.779
337	586-78-7	O=[N+]([O-])c1ccc(cc1)Br	Training	2.42	2.776
338	587-34-8	O=C(Nc1cccc(c1)Cl)N(C)C	Training	1.79	1.751
339	588-07-8	O=C(Nc1cccc(c1)Cl)C	Training	1.86	1.608
340	591-35-5	Oc1cc(cc(c1)Cl)Cl	Training	2.83	2.713
341	591-50-4	c1ccc(cc1)I	Training	3.1	2.431
342	594-65-0	O=C(N)C(Cl)(Cl)Cl	Training	0.99	0.273
343	603-34-9	c1ccc(cc1)N(c2ccccc2)c3ccccc3	Training	2.26	3.118
344	608-31-1	Nc1c(cccc1Cl)Cl	Training	3.25	2.405
345	608-93-5	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	3.5	4.052
346	609-19-8	Oc1cc(c(c(c1)Cl)Cl)Cl	Training	3.56	3.317
347	609-66-5	O=C(N)c1ccccc1Cl	Training	1.51	1.655
348	610-15-1	O=C(N)c1ccccc1[N+](=O)[O-]	Training	1.45	1.751
349	610-28-6	O=C(O)c1cc(ccc1[N+](=O)[O-])[N+](=O)[O-]	Training	2.3	1.616
350	611-74-5	O=C(c1ccccc1)N(C)C	Training	1.6	1.47
351	613-13-8	Nc1ccc2cc3ccccc3(cc2(c1))	Training	4.45	4.464
352	613-93-4	O=C(NC)c1ccccc1	Training	1.68	1.734
353	618-71-3	O=C(OCC)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	2.74	2.384
354	618-87-1	O=[N+]([O-])c1cc(N)cc(c1)[N+](=O)[O-]	Training	2.55	2.114
355	619-55-6	O=C(N)c1ccc(cc1)C	Training	1.78	1.687
356	619-80-7	O=C(N)c1ccc(cc1)[N+](=O)[O-]	Training	1.93	1.673
357	621-38-5	O=C(Nc1cccc(c1)Br)C	Training	2.01	2.008
358	626-43-7	Nc1cc(cc(c1)Cl)Cl	Training	2.49	2.685
359	632-58-6	O=C(O)c1c(C(=O)O)c(c(c(c1Cl)Cl)Cl)Cl	Training	3.3	2.565
360	634-66-2	c1cc(c(c(c1Cl)Cl)Cl)Cl	Training	3.84	3.61
361	634-67-3	Nc1ccc(c(c1Cl)Cl)Cl	Training	2.6	3.303
362	634-83-3	Nc1cc(c(c(c1Cl)Cl)Cl)Cl	Training	3.03	3.882
363	634-90-2	c1c(cc(c(c1Cl)Cl)Cl)Cl	Training	3.2	3.875
364	645-09-0	O=C(N)c1cccc(c1)[N+](=O)[O-]	Training	1.95	1.635
365	651-85-4	O=S(=O)(c1c(F)c(F)c(F)c(F)c1(F))C	Training	1.46	3.133
366	656-31-5	O=C(N)Nc1ccccc1(F)	Training	1.32	1.73
367	659-30-3	O=C(N)Nc1ccc(F)cc1	Training	1.52	1.497
368	673-04-1	n1c(nc(nc1NCC)NCC)OC	Training	2.34	2.223
369	685-91-6	O=C(N(CC)CC)C	Training	1.84	1.688
370	697-82-5	Oc1cc(cc(c1C)C)C	Training	3.61	2.84
371	709-98-8	O=C(Nc1ccc(c(c1)Cl)Cl)CC	Training	2.17	2.306
372	723-62-6	O=C(O)c2c3ccccc3(cc1ccccc12)	Training	2.74	3.685
373	732-11-6	O=C1c2ccccc2(C(=O)N1CSP(OC)(OC)=S)	Training	2.91	2.649
374	741-58-2	O=S(=O)(NCCSP(OC(C)C)(OC(C)C)=S)c1ccccc1	Training	3	3.411
375	759-94-4	O=C(N(CCC)CCC)SCC	Training	2.38	2.345
376	770-19-4	O=C(N)Nc1cccc(F)c1	Training	1.77	1.548
377	779-02-2	c1ccc3c(c1)cc2ccccc2c3C	Training	4.81	3.935
378	786-19-6	O(CC)P(OCC)(=S)SCSc1ccc(cc1)Cl	Training	4.66	3.54
379	834-12-8	n1c(nc(nc1NC(C)C)SC)NCC	Training	2.59	2.54
380	40339-35-3	Oc2ccc3ccccc3(c2(N=Nc1ccccc1))	Training	3.58	3.704
381	879-39-0	O=[N+]([O-])c1cc(c(c(c1Cl)Cl)Cl)Cl	Training	4.23	3.909
382	886-50-0	n1c(nc(nc1NC(C)(C)C)SC)NCC	Training	2.85	2.779
383	886-59-9	O=C(Nc1ccccc1)NC2CCCCC2	Training	2.07	2.309
384	919-86-8	O=P(OC)(OC)SCCSCC	Training	1.49	1.638
385	933-78-8	Oc1cc(cc(c1Cl)Cl)Cl	Training	3.61	3.3
386	939-27-5	c1ccc2cc(ccc2(c1))CC	Training	3.76	3.389
387	944-22-9	O(CC)P(CC)(=S)Sc1ccccc1	Training	2.94	2.923
388	950-37-8	O=C1N(N=C(OC)S1)CSP(OC)(OC)=S	Training	1.53	2.29
389	953-17-3	O(C)P(OC)(=S)SCSc1ccc(cc1)Cl	Training	4.67	3.163
390	957-51-7	O=C(N(C)C)C(c1ccccc1)c2ccccc2	Training	2.32	2.651
391	961-11-5	O=P(OC(=CCl)c1cc(c(cc1Cl)Cl)Cl)(OC)OC	Training	3.01	2.898
392	1007-36-9	O=C(Nc1ccccc1)NC	Training	1.29	1.666
393	1014-70-6	n1c(nc(nc1NCC)SC)NCC	Training	2.3	2.421
394	1024-57-3	O1C2C1C(C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	4.02	4.74
395	1071-83-6	O=C(O)CNCP(=O)(O)O	Training	3.32	1.169
396	1114-71-2	O=C(N(CC)CCCC)SCCC	Training	2.8	2.462
397	1127-76-0	c1ccc2c(c1)cccc2CC	Training	3.78	3.517
398	1129-50-6	O=C(Nc1ccccc1)CCC	Training	1.71	1.858
399	1134-23-2	O=C(N(CC)C1CCCCC1)SCC	Training	2.54	2.699
400	1194-65-6	N#Cc1c(cccc1Cl)Cl	Training	2.5	2.493
401	1464-53-5	O1CC1C2OC2	Training	0.4	1.182
402	1468-95-7	OCc2c3ccccc3(cc1ccccc12)	Training	3.61	3.656
403	1470-94-6	Oc1ccc2c(c1)CCC2	Training	3.4	3.226
404	1538-74-5	O=C(OCCCC)Nc1ccccc1	Training	2.26	2.471
405	1563-66-2	O=C(Oc2cccc1c2(OC(C)(C)C1))NC	Training	1.75	2.48
406	1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	4.2	3.806
407	1596-84-5	O=C(O)CCC(=O)NN(C)C	Training	0.95	1.684
408	1610-17-9	n1c(nc(nc1NCC)NC(C)C)OC	Training	2.64	2.452
409	1610-18-0	n1c(nc(nc1NC(C)C)NC(C)C)OC	Training	2.6	2.565
410	1615-80-1	N(NCC)CC	Training	1.18	0.961
411	1646-87-3	O=C(ON=CC(C)(C)S(=O)C)NC	Training	0.56	1.444
412	1646-88-4	O=C(ON=CC(C)(C)S(=O)(=O)C)NC	Training	0.42	1.489
413	1689-99-2	N#Cc1cc(c(OC(=O)CCCCCCC)c(c1)Br)Br	Training	4	3.08
414	1698-60-8	O=C1N(N=CC(=N)C1Cl)c2ccccc2	Training	2.08	1.99
415	1702-17-6	O=C(O)c1nc(ccc1Cl)Cl	Training	1.56	1.565
416	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	6.5	5.807
417	1746-81-2	O=C(Nc1ccc(cc1)Cl)N(OC)C	Training	2.1	2.056
418	1754-58-1	O=P(Oc1ccccc1)(NC)NC	Training	1.51	1.358
419	1836-75-5	O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)Cl)cc2	Training	4	4.55
420	1836-77-7	O=[N+]([O-])c2ccc(Oc1c(cc(cc1Cl)Cl)Cl)cc2	Training	3.9	4.716
421	1861-32-1	O=C(OC)c1c(c(c(C(=O)OC)c(c1Cl)Cl)Cl)Cl	Training	3.7	2.758
422	1861-40-1	O=[N+]([O-])c1cc(cc(c1N(CC)CCCC)[N+](=O)[O-])C(F)(F)F	Training	4.03	3.887
423	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Training	3.26	3.566
424	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Training	2.24	2.346
425	1912-25-0	n1c(nc(nc1N(CC)CC)Cl)NC(C)C	Training	2.91	2.427
426	1912-26-1	n1c(nc(nc1N(CC)CC)Cl)NCC	Training	2.76	2.464
427	1918-00-9	O=C(O)c1c(OC)c(ccc1Cl)Cl	Training	1.5	2.037
428	1918-02-1	O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl	Training	1.3	1.572
429	1918-13-4	NC(c1c(cccc1Cl)Cl)=S	Training	2.26	2.19
430	1918-16-7	O=C(N(c1ccccc1)C(C)C)CCl	Training	2.42	2.326
431	1918-18-9	O=C(OC)Nc1ccc(c(c1)Cl)Cl	Training	2.74	2.159
432	1929-77-7	O=C(N(CCC)CCC)SCCC	Training	2.33	2.412
433	1929-82-4	n1c(cccc1Cl)C(Cl)(Cl)Cl	Training	2.62	3.101
434	1967-16-4	O=C(OC(C#C)C)Nc1cccc(c1)Cl	Training	2.21	2.2
435	1967-25-5	O=C(N)Nc1ccc(cc1)Br	Training	2.06	2.154
436	1967-27-7	O=C(N)Nc1cccc(c1)Cl	Training	2.01	1.67
437	1982-47-4	O=C(Nc2ccc(Oc1ccc(cc1)Cl)cc2)N(C)C	Training	3.55	3.138
438	1982-49-6	O=C(Nc1ccccc1)NC2CCCCC2(C)	Training	2.31	2.331
439	2008-41-5	O=C(N(CC(C)C)CC(C)C)SCC	Training	2.11	2.622
440	2008-58-4	O=C(N)c1c(cccc1Cl)Cl	Training	0.53	1.973
441	2032-59-9	O=C(Oc1ccc(c(c1)C)N(C)C)NC	Training	2	2.225
442	2032-65-7	O=C(Oc1cc(c(c(c1)C)SC)C)NC	Training	2.32	1.835
443	2051-60-7	c1ccc(cc1)c2ccccc2Cl	Training	3.47	3.59
444	2077-99-8	O=[N+]([O-])c1cc(cc(c1(NCCC))[N+](=O)[O-])C(F)(F)F	Training	3.61	2.772
445	2104-64-5	O=[N+]([O-])c2ccc(OP(OCC)(c1ccccc1)=S)cc2	Training	3.12	3.812
446	2122-70-5	O=C(OCC)Cc2cccc1ccccc12	Training	2.48	2.273
447	2136-99-4	c2c(c(c(c1c(c(cc(c1Cl)Cl)Cl)Cl)c(c2Cl)Cl)Cl)Cl	Training	6.36	6.147
448	2150-88-1	O=C(OC)Nc1cccc(c1)Cl	Training	2.15	2.131
449	2150-93-8	O=C(Nc1ccc(c(c1)Cl)Cl)C	Training	2.34	1.908
450	2163-80-6	O=[As](O)(O)C	Training	3.85	3.63
451	2164-08-1	O=C1N=C3CCCC3(C(=O)N1C2CCCCC2)	Training	2.14	2.62
452	2164-17-2	O=C(Nc1cccc(c1)C(F)(F)F)N(C)C	Training	1.9	2.063
453	2212-67-1	O=C(N1CCCCCC1)SCC	Training	1.92	2.441
454	2227-17-0	C=1(C(=C(C(C=1Cl)(C2(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	4.52	5.95
455	2234-13-1	c12(c(c(c(c(c1Cl)Cl)Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl)	Training	5.89	6.24
456	2303-16-4	O=C(N(C(C)C)C(C)C)SCC(=CCl)Cl	Training	3.28	2.776
457	2303-17-5	O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl	Training	3.35	2.838
458	2307-68-8	O=C(Nc1ccc(c(c1)Cl)C)C(C)CCC	Training	2.76	2.197
459	2310-17-0	O=C2Oc1cc(ccc1N2CSP(OCC)(OCC)=S)Cl	Training	2.63	2.919
460	2312-35-8	O=S(OCC#C)OC2CCCCC2(Oc1ccc(cc1)C(C)(C)C)	Training	3.6	3.021
461	2327-02-8	O=C(N)Nc1ccc(c(c1)Cl)Cl	Training	2.53	2.141
462	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	6	4.447
463	2425-06-1	O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Training	3.32	3.153
464	2439-00-1	O=C(O)Cc1c(ccc(c1Cl)Cl)Cl	Training	1.72	1.941
465	2439-01-2	O=C2Sc1nc3ccc(cc3(nc1S2))C	Training	3.36	3.326
466	2497-06-5	O=S(=O)(CC)CCSP(OCC)(OCC)=S	Training	3.22	2.551
467	2539-17-5	Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl	Training	2.85	3.462
468	2593-15-9	n1c(nsc1OCC)C(Cl)(Cl)Cl	Training	3	2.318
469	2597-03-7	O=C(OCC)C(c1ccccc1)SP(OC)(OC)=S	Training	3	2.333
470	2603-10-3	O=C(OC)Nc1ccccc1	Training	1.73	1.598
471	2631-37-0	O=C(Oc1cc(cc(c1)C(C)C)C)NC	Training	2.48	1.737
472	2642-98-0	Nc1cc3c4ccccc4(ccc3(c2ccccc12))	Training	5.21	5.02
473	2655-14-3	O=C(Oc1cc(cc(c1)C)C)NC	Training	1.71	2.188
474	2668-24-8	Oc1c(OC)cc(c(c1Cl)Cl)Cl	Training	2.8	2.814
475	2675-77-6	O(c1cc(c(OC)cc1Cl)Cl)C	Training	3.1	2.889
476	2686-99-9	O=C(Oc1cc(c(c(c1)C)C)C)NC	Training	2.6	1.657
477	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	3.7	3.273
478	2989-98-2	O=C(N)Nc1cccc(c1)Br	Training	2.12	1.946
479	3060-89-7	O=C(Nc1ccc(cc1)Br)N(OC)C	Training	2.1	2.376
480	3070-15-3	O(c1ccc(cc1)SC)P(OCC)(OCC)=S	Training	3.18	3.116
481	3337-71-1	O=C(OC)NS(=O)(=O)c1ccc(N)cc1	Training	1.6	1.237
482	3383-96-8	O(c1ccc(cc1)Sc2ccc(OP(OC)(OC)=S)cc2)P(OC)(OC)=S	Training	5	4.386
483	3401-80-7	O=C(O)c1c(O)c(ccc1Cl)Cl	Training	2.3	1.6
484	3424-82-6	c1ccc(c(c1)C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	5.49	4.918
485	3478-94-2	O=C(OCCCN1CCCCC1C)c2ccc(c(c2)Cl)Cl	Training	3.7	2.95
486	3481-20-7	Nc1c(c(cc(c1Cl)Cl)Cl)Cl	Training	3.94	3.167
487	3567-62-2	O=C(Nc1ccc(c(c1)Cl)Cl)NC	Training	2.46	2.243
488	3597-91-9	OCc1ccc(cc1)c2ccccc2	Training	2.54	2.702
489	3766-81-2	O=C(Oc1ccccc1C(C)CC)NC	Training	1.71	2.215
490	3813-05-6	O=C(O)CN2C(=O)Sc1cccc(c12)Cl	Training	1.52	2.654
491	3861-41-4	N#Cc1cc(c(OC(=O)CCC)c(c1)Br)Br	Training	3.03	3.04
492	4147-51-7	n1c(nc(nc1NC(C)C)SCC)NC(C)C	Training	3.07	2.688
493	4684-94-0	O=C(O)c1nc(ccc1)Cl	Training	1.37	1.625
494	4726-14-1	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])S(=O)(=O)C	Training	2.92	3.454
495	4780-79-4	OCc2cccc1ccccc12	Training	2.17	2.868
496	4901-51-3	Oc1cc(c(c(c1Cl)Cl)Cl)Cl	Training	4.12	3.489
497	5221-53-4	Oc1nc(nc(c1CCCC)C)N(C)C	Training	1.95	2.14
498	5234-68-4	O=C(Nc1ccccc1)C2=C(OCCS2)C	Training	2.41	2.157
499	5259-88-1	O=C(Nc1ccccc1)C2=C(OCCS2(=O)(=O))C	Training	1.98	2.499
500	5345-54-0	O(c1ccc(N)cc1Cl)C	Training	1.93	2.085
501	5532-90-1	O=C(OCCC)Nc1ccccc1	Training	2.06	1.908
502	5598-13-0	n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl	Training	3.52	3.449
503	5902-51-2	O=C1N=C(C)C(C(=O)N1C(C)(C)C)Cl	Training	1.66	1.839
504	5915-41-3	n1c(nc(nc1NC(C)(C)C)Cl)NCC	Training	2.32	2.412
505	6164-98-3	N(=CN(C)C)c1ccc(cc1C)Cl	Training	2.91	1.823
506	6422-86-2	O=C(OCC(CC)CCCC)c1ccc(cc1)C(=O)OCC(CC)CCCC	Training	4.16	4.064
507	6923-22-4	O=C(C=C(OP(=O)(OC)OC)C)NC	Training	0	1.774
508	6933-10-4	Nc1ccc(c(c1)C)Br	Training	2.26	2.539
509	6988-21-2	O=C(Oc1ccccc1C2OCCO2)NC	Training	1.6	2.268
510	7012-37-5	c1cc(ccc1c2ccc(cc2Cl)Cl)Cl	Training	4.63	4.581
511	7073-42-9	O=C(Nc1ccc(OC)c(c1)Cl)C	Training	1.95	1.632
512	7159-34-4	n1c(OC)cc(cc1Cl)C(Cl)(Cl)Cl	Training	3.48	2.363
513	7160-01-2	O=C(Nc1ccc(cc1)C)N(C)C	Training	1.51	1.638
514	7160-02-3	O=C(Nc1ccc(OC)cc1)N(C)C	Training	1.4	1.805
515	7286-84-2	O=C(OC)c1cc(cc(N)c1Cl)Cl	Training	2.74	1.986
516	7287-19-6	n1c(nc(nc1NC(C)C)SC)NC(C)C	Training	2.85	2.782
517	7700-17-6	O=C(OC(c1ccccc1)C)C=C(OP(=O)(OC)OC)C	Training	2	2.742
518	10265-92-6	O=P(OC)(N)SC	Training	0.7	0.314
519	10453-86-8	O=C(OCc1coc(c1)Cc2ccccc2)C3C(C=C(C)C)C3(C)(C)	Training	5	4.213
520	10548-10-4	O=S(CSP(OCC)(OCC)=S)C(C)(C)C	Training	2.18	2.853
521	10605-21-7	O=C(OC)Nc1nc2ccccc2([nH]1)	Training	2.35	2.193
522	12122-67-7	N(C(=S)S)CCNC(=S)S	Training	3	2.53
523	12427-38-2	N(C(=S)S)CCNC(=S)S	Training	2.38	2.53
524	12771-68-5	OC(c1cncnc1)(c2ccc(OC)cc2)C3CC3	Training	2.08	2.282
525	13029-08-8	c1ccc(c(c1)c2ccccc2Cl)Cl	Training	3.92	4.256
526	13071-79-9	O(CC)P(OCC)(=S)SCSC(C)(C)C	Training	2.82	2.803
527	13114-87-9	O=C(N)Nc1cccc(c1)C(F)(F)F	Training	1.98	2.213
528	13140-86-8	O=C(Nc1ccccc1)NC2CC2	Training	1.74	1.97
529	13140-89-1	O=C(Nc1ccccc1)NC2CCCC2	Training	1.93	2.281
530	13171-21-6	O=C(C(=C(OP(=O)(OC)OC)C)Cl)N(CC)CC	Training	0.85	2.085
531	13194-48-4	O=P(OCC)(SCCC)SCCC	Training	1.85	2.465
532	13286-32-3	O=P(OCC)(OCC)SCc1ccccc1	Training	2.4	2.432
533	13360-45-7	O=C(Nc1ccc(c(c1)Cl)Br)N(OC)C	Training	2.7	2.32
534	13684-56-5	O=C(Oc1cccc(c1)NC(=O)OCC)Nc2ccccc2	Training	3.18	3.407
535	13684-63-4	O=C(Oc1cccc(c1)NC(=O)OC)Nc2cccc(c2)C	Training	3.38	3.354
536	14255-72-2	O=S(=O)(c1ccc(OP(OCC)(OCC)=S)cc1)C	Training	2.17	2.571
537	15299-99-7	O=C(N(CC)CC)C(Oc1cccc2ccccc12)C	Training	2.76	3.525
538	15310-01-7	O=C(Nc1ccccc1)c2ccccc2I	Training	2.82	2.728
539	15545-48-9	O=C(Nc1ccc(c(c1)Cl)C)N(C)C	Training	2.02	2.038
540	15968-05-5	c2cc(c(c1c(cccc1Cl)Cl)c(c2)Cl)Cl	Training	4.9	4.998
541	15972-60-8	O=C(N(c1c(cccc1CC)CC)COC)CCl	Training	2.28	2.494
542	16672-87-0	O=P(O)(O)CCCl	Training	0	0.564
543	NOCAS_860187	O=C(ON=C(C)SC)NC	Training	1.3	2.318
544	17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	Training	2.71	2.146
545	18691-97-9	O=C(NC)N(c2nc1ccccc1s2)C	Training	2.8	2.085
546	19044-88-3	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])S(=O)(=O)N	Training	3.4	2.321
547	19095-79-5	O=C(Nc1ccccc1)NC2CCCCCC2	Training	2.37	2.312
548	19666-30-9	O=C1OC(=NN1c2cc(OC(C)C)c(cc2Cl)Cl)C(C)(C)C	Training	3.51	3.103
549	19937-59-8	O=C(Nc1ccc(OC)c(c1)Cl)N(C)C	Training	1.72	2.041
550	20354-26-1	O=C1ON(C(=O)N1C)c2ccc(c(c2)Cl)Cl	Training	3.48	2.4
551	20782-57-4	O=C(Nc1ccc(OC)c(c1)Cl)NC	Training	1.84	2.064
552	20940-42-5	O=C(Nc1cccc(c1)Cl)NC	Training	1.93	2.076
553	21087-64-9	O=C1C(=NN=C(N1(N))SC)C(C)(C)C	Training	1.71	1.861
554	21609-90-5	O(c1cc(c(cc1Cl)Br)Cl)P(OC)(c2ccccc2)=S	Training	4.5	3.293
555	21725-46-2	N#CC(Nc1nc(nc(n1)Cl)NCC)(C)C	Training	2.28	2.485
556	22175-22-0	O=C(Nc1ccc(c(c1)Cl)C)NC	Training	2.1	1.85
557	22224-92-6	O=P(Oc1ccc(c(c1)C)SC)(OCC)NC(C)C	Training	2.51	2.197
558	22781-23-3	O=C(Oc1cccc2OC(Oc12)(C)C)NC	Training	2.75	2.133
559	23103-98-2	O=C(Oc1nc(nc(c1C)C)N(C)C)N(C)C	Training	1.9	2.365
560	NOCAS_860293	O=C(ON=C(C(=O)N(C)C)SC)NC	Training	1	1.709
561	23184-66-9	O=C(N(c1c(cccc1CC)CC)COCCCC)CCl	Training	2.86	2.936
562	23422-53-9	O=C(Oc1cccc(N=CN(C)C)c1)NC	Training	2.44	1.925
563	23505-41-1	n1c(OP(OCC)(OCC)=S)cc(nc1N(CC)CC)C	Training	2.48	2.747
564	23564-05-8	O=C(OC)NC(Nc1ccccc1(NC(NC(=O)OC)=S))=S	Training	3.25	2.058
565	23950-58-5	O=C(NC(C#C)(C)C)c1cc(cc(c1)Cl)Cl	Training	2.31	2.094
566	24151-93-7	O=C(N1CCCCC1C)CSP(OCCC)(OCCC)=S	Training	3.44	2.842
567	24307-26-4	C[N+]1(C)(CCCCC1)	Training	6	2.606
568	24691-80-3	O=C(Nc1ccccc1)c2ccoc2C	Training	2.48	2.287
569	24911-15-7	O=C(NC(C#C)(C)C)c1ccc(cc1)Cl	Training	1.9	1.909
570	25057-89-0	O=C1c2ccccc2(NS(=O)(=O)N1C(C)C)	Training	1.52	1.62
571	25277-05-8	O=C(N)Nc1ccc(OC)c(c1)Cl	Training	2	2.046
572	25311-71-1	O=C(OC(C)C)c1ccccc1(OP(OCC)(NC(C)C)=S)	Training	2.78	2.295
573	25606-41-1	O=C(OCCC)NCCCN(C)C	Training	2.49	1.704
574	26087-47-8	O=P(OC(C)C)(OC(C)C)SCc1ccccc1	Training	2.26	2.665
575	26225-79-6	O=S(=O)(Oc1ccc2OC(OCC)C(c2(c1))(C)C)C	Training	2.53	2.68
576	26259-45-0	n1c(nc(nc1NCC)NC(C)CC)OC	Training	2.78	2.391
577	26389-78-6	O=[N+]([O-])c1cc(cc(c1N(CCCl)CCCl)[N+](=O)[O-])C	Training	3.94	2.818
578	26399-36-0	O=[N+]([O-])c1cc(cc(c1N(CCC)CC2CC2)[N+](=O)[O-])C(F)(F)F	Training	4.01	3.912
579	26644-46-2	O=CNC(N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	Training	2.3	2.755
580	27314-13-2	O=C1N(N=CC(=NC)C1Cl)c2cccc(c2)C(F)(F)F	Training	3.28	2.465
581	27355-22-2	O=C1OCc2c1c(c(c(c2Cl)Cl)Cl)Cl	Training	3.3	3.106
582	131-20-4	O=C(OCCCCCC(C)C)c1ccccc1(C(=O)OCCCCCC(C)C)	Training	3.21	4.392
583	28170-54-9	O=C(Nc1cccc(OC)c1)N(C)C	Training	1.72	1.595
584	28249-77-6	O=C(N(CC)CC)SCc1ccc(cc1)Cl	Training	3.27	3.273
585	29091-05-2	O=[N+]([O-])c1cc(c(N)c(c1N(CC)CC)[N+](=O)[O-])C(F)(F)F	Training	3.63	3.709
586	29091-21-2	O=[N+]([O-])c1cc(c(N)c(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	4.11	3.774
587	29232-93-7	n1c(OP(OC)(OC)=S)cc(nc1N(CC)CC)C	Training	3	2.575
588	29682-39-1	O=[N+]([O-])c1ccc(c(c1)Cl)Br	Training	2.6	3.227
589	30560-19-1	O=C(NP(=O)(OC)SC)C	Training	0.3	1.801
590	31557-34-3	n1c(OC)c(cc(c1Cl)Cl)Cl	Training	2.96	2.667
591	31972-43-7	O=S(c1ccc(OP(=O)(OCC)NC(C)C)cc1C)C	Training	1.57	2.035
592	31972-44-8	O=P(Oc1ccc(c(c1)C)S(=O)(=O)C)(OCC)NC(C)C	Training	1.64	1.862
593	32357-46-3	O=C(OCCOCCCC)CCCOc1ccc(cc1Cl)Cl	Training	2.7	3.649
594	32598-11-1	c1cc(c(cc1c2cc(ccc2Cl)Cl)Cl)Cl	Training	4.86	4.961
595	32809-16-8	O=C2N(c1cc(cc(c1)Cl)Cl)C(=O)C3(C)(CC23(C))	Training	3.18	3.346
596	33089-61-1	N(=CN(C=Nc1ccc(cc1C)C)C)c2ccc(cc2C)C	Training	3	3.259
597	33222-69-4	O=C(Oc1cccc(c1)C)N	Training	1.48	1.759
598	33244-86-9	O=C(NC(C#C)(C)C)c1ccccc1	Training	1.54	1.936
599	33245-39-5	O=[N+]([O-])c1cc(cc(c1N(CCC)CCCl)[N+](=O)[O-])C(F)(F)F	Training	3.55	3.934
600	33629-47-9	O=[N+]([O-])c1cc(cc(c1(NC(C)CC))[N+](=O)[O-])C(C)(C)C	Training	3.98	3.704
601	33820-53-0	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C	Training	4	3.727
602	33979-03-2	c2c(cc(c(c1c(cc(cc1Cl)Cl)Cl)c2Cl)Cl)Cl	Training	6.08	5.77
603	34014-18-1	O=C(NC)N(c1nnc(C(C)(C)C)s1)C	Training	1.83	2.432
604	34256-82-1	O=C(N(c1c(cccc1CC)C)COCC)CCl	Training	2.32	2.558
605	34883-43-7	c1ccc(c(c1)c2ccc(cc2)Cl)Cl	Training	4.34	4.151
606	35065-27-1	c2c(c1cc(c(cc1Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	Training	5.58	5.94
607	35065-28-2	c1cc(c(c(c1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl)Cl	Training	5.93	5.794
608	35367-38-5	O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)Cl	Training	3.83	3.152
609	35400-43-2	O(c1ccc(cc1)SC)P(OCC)(=S)SCCC	Training	4.08	3.833
610	35554-44-0	n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl	Training	3.73	2.583
611	35693-99-3	c1cc(c(cc1Cl)c2cc(ccc2Cl)Cl)Cl	Training	5.12	4.899
612	35694-04-3	c2c(c1cc(cc(c1Cl)Cl)Cl)c(c(cc2Cl)Cl)Cl	Training	6.48	5.907
613	35694-08-7	c2c(c1cc(c(c(c1Cl)Cl)Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl	Training	6.41	6.012
614	36627-56-2	O=C(Nc1cc(cc(c1)C)C)N(C)C	Training	1.73	1.848
