Name	Standardized SMILES	SMILES (ionized)	Exp (logK)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	N.	totalcharge	CATS2D_00_PP	C.024	nCsp2	MLOGP2	GATS1i	SpMax2_Bh.p.	nBM	MATS5e	AMW	F01.C.N.	T.O..O.	J_D.Dt	SpMax_AEA.dm.
Maxipost	O=C2Nc1cc(ccc1C2(F)c3cc(ccc3(OC))Cl)C(F)(F)F	COC1=CC=C(Cl)C=C1C1(F)C(=O)NC2=CC(=CC=C12)C(F)(F)F	2.418562941	2.25457905837	TS		4.244	101.262	3.903	140.411	14.5	10	47.1	2.374	3	2.9	0	0	6	13	15.231	0.835	3.786	13	-0.003	10.58	2	5	15.1501	4.529
DHA Paclitaxel	O=C(OC3C5C6(OC(=O)C)(COC6(CC(O)C5(C(=O)C(OC(=O)C)=C4C(C)C(OC(=O)C(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)C(NC(=O)c1ccccc1)c2ccccc2)CC3(O)C4(C)C)(C))))c7ccccc7	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(C(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1)C(=O)OC1CC2(O)C(OC(=O)C3=CC=CC=C3)C3C4(COC4CC(O)C3(C)C(=O)C(OC(C)=O)=C(C1C)C2(C)C)OC(C)=O	2.418562941	2.01759190929	TS		9.973	411.353	5.237	411.353	36	52	41.6	2.964	4.585	0.6	0	0	15	39	27.422	1.213	3.891	32	0.115	7.015	2	796	21.5385	4.312
Azapropazone	O=C2C(=C(O)N3C(=Nc1ccc(cc1N23)C)N(C)C)CCC	CCCC1=C([O-])N2N(C1=O)C1=CC(C)=CC=C1[NH+]=C2N(C)C	2.396199347	1.62994392172	TS		1.523	90.767	3.07	90.767	11	9	38.1	2.119	2.807	9.5	0	1	3	10	9.424	1.545	3.669	9	-0.138	7.152	9	4	18.8608	3.932
Telmisartan	O=C(O)c6ccccc6(c1ccc(cc1)Cn2c3cc(cc(c3(nc2CCC))C)c5nc4ccccc4n5C)	CCCC1=NC2=C(C)C=C(C=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C([O-])=O)C1=NC2=CC=CC=C2N1C	2.396199347	2.35171379116	TS		7.096	204.95	5.702	204.95	29.5	24	48.5	6.337	4.17	5.9	-1	0	14	27	32.513	1.213	3.967	33	-0.08	7.554	10	2	14.4954	3.609
Teniposide	O=C6OCC7C(OC1OC2COC(OC2(C(O)C1(O)))c3cccs3)c4cc8OCOc8(cc4C(c5cc(OC)c(O)c(OC)c5)C67)	COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)C(OC2OC3COC(OC3C(O)C2O)C2=CC=CS2)C2=CC3=C(OCO3)C=C12	2.354632211	2.17189170175	TS		2.486	141.907	0.55	173.185	20	13	41	2.557	3.392	0	0	0	6	17	0.303	1.187	3.912	18	-0.051	8.419	0	598	18.0533	3.959
Amlodipine	O=C(OCC)C2=C(N=C(C)C(C(=O)OC)C2(c1ccccc1Cl))COCCN	CCOC(=O)C1=C(COCC[NH3+])N=C(C)C(C1C1=CC=CC=C1Cl)C(=O)OC	2.298853076	1.77227571279	TS		0.487	112.089	-2.043	151.238	12	11	37	1.858	3	3.7	1	1	4	11	4.176	1.367	3.696	10	-0.104	7.591	3	52	16.5016	4.018
Mibefradil	O=C(OC2(CCc1cc(F)ccc1C2(C(C)C))(CCN(C)CCCc3nc4ccccc4([nH]3)))COC	COCC(=O)OC1(CC[NH+](C)CCCC2=NC3=CC=CC=C3N2)CCC2=CC(F)=CC=C2C1C(C)C	2.298853076	1.93079536137	TS		4.026	154.04	0.779	154.04	15.5	18	38.7	2.816	3.322	4	1	1	7	14	0.606	1.298	3.963	17	-0.108	6.623	7	8	14.8889	3.944
Cilomilast	N#CC3(c2ccc(OC)c(OC1CCCC1)c2)(CCC(C(=O)O)CC3)	COC1=CC=C(C=C1OC1CCCC1)C1(CCC(CC1)C([O-])=O)C#N	2.219235134	1.83626034724	TS		3.471	96.577	2.567	96.577	11.5	14	40.8	1.344	2.807	2	-1	0	3	7	6.589	1.222	3.736	8	-0.173	6.989	1	43	11.9777	4.416
Ibuprofen	O=C(O)C(c1ccc(cc1)CC(C)C)C	CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O	2.219235134	1.92779910355	TS		2.904	80.001	3.23	80.001	7.5	12	40.6	1.279	2.322	0	-1	0	4	7	10.436	1.192	3.55	7	-0.054	6.416	0	2	10.8892	3.788
Suprofen	O=C(O)C(c1ccc(cc1)C(=O)c2cccs2)C	CC(C([O-])=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	2.219235134	2.03077939459	TS		2.611	92.909	2.554	124.187	13	11	48.3	1.999	3.087	0	-1	0	6	12	6.523	0.86	3.82	13	-0.203	8.942	0	18	10.341	3.789
Ketorolac	O=C(c1ccccc1)c2ccc3n2CCC3(C(=O)O)	[O-]C(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1	2.164527798	1.84661013177	TS		2.129	91.521	2.002	91.521	13	10	48.4	2.126	3.087	3.2	-1	0	7	12	4.009	1.145	3.805	13	-0.324	8.203	3	16	12.4475	3.837
Fluvastatin	O=C(O)CC(O)CC(O)C=Cc3c(c1ccc(F)cc1)c2ccccc2n3C(C)C	CC(C)N1C(C=CC(O)CC(O)CC([O-])=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1	2.098928358	1.96498798986	TS		3.541	147.163	3.348	147.163	17	17	43.6	3.581	3.459	1.8	-1	0	8	17	11.206	1.045	3.772	18	-0.072	7.464	3	26	16.0997	3.614
Ketoprofen	O=C(O)C(c1cccc(c1)C(=O)c2ccccc2)C	CC(C([O-])=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	2.093421685	2.00764059458	TS		2.658	115.516	3.374	115.516	15	14	50	2.281	3.17	0	-1	0	9	14	11.384	0.939	3.787	14	-0.15	7.915	0	16	11.6851	3.79
Tenoxicam	O=C(N=C1C=CC=CN1)C3C(=O)c2c(ccs2)S(=O)(=O)N3(C)	CN1C(=C(O)NC2=CC=CC=N2)C(=O)C2=C(C=CS2)S1(=O)=O	2.066873793	1.70006647653	TS		1.892	76.125	0.497	113.21	16.5	5	39.4	2.621	3.392	9.1	0	0	4	12	0.247	1.276	3.742	15	0.035	10.225	6	26	14.0978	4.76
Quercetin	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)c(O)c3	OC1=CC=C(C=C1O)C1OC2=CC([O-])=CC(=O)C2=C(O)C1=O	2.041831145	1.64780249966	TS		-0.636	74.03	-0.67	74.03	14.5	7	48.4	2.368	3.17	0	-1	0	3	14	0.449	0.824	3.771	11	-0.097	9.717	0	124	15.2916	3.945
Aripiprazole	O=C4Nc3cc(OCCCCN2CCN(c1cccc(c1Cl)Cl)CC2)ccc3CC4	ClC1=C(Cl)C(=CC=C1)N1CC[NH+](CCCCOC2=CC=C3CCC(=O)NC3=C2)CC1	1.995635195	1.67335520738	TS		3.438	107.765	-0.074	186.062	15	13	39.7	2.198	3	5.2	1	1	6	13	0.005	1.433	3.874	13	-0.006	7.749	8	6	12.3974	3.619
Eltanolone	O=C(C)C2CCC3C4CCC1CC(O)CCC1(C)C4(CCC23(C))	CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	1.995635195	1.63931785978	TS		3.735	54.42	4.254	54.42	1.5	19	36.8	0.086	1	0	0	0	0	1	18.094	1.232	3.8	1	-0.02	5.589	0	11	21.2385	3.887
Indomethacin	O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C	COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC([O-])=O)C2=C1	1.995635195	1.90143851746	TS		3.533	122.585	3.318	161.734	17.5	13	47.5	3.089	3.459	2.5	-1	0	7	16	11.006	1.187	3.841	18	0.039	8.92	3	37	14.9603	3.777
Nefazodone	O=C1N(N=C(N1CCOc2ccccc2)CC)CCCN4CCN(c3cccc(c3)Cl)CC4	CCC1=NN(CCCN2CCN(CC2)C2=CC=CC(Cl)=C2)C(=O)N1CCOC1=CC=CC=C1	1.995635195	1.84734755793	TS		4.416	136.617	4.236	175.766	16	13	38.5	2.095	3.17	7.7	0	0	9	14	17.942	1.584	3.813	14	0.073	7.232	12	5	11.7204	3.887
Nicardipine	O=C(OC)C3=C(N=C(C)C(C(=O)OCCN(C)Cc1ccccc1)C3(c2cccc(c2)[N+](=O)[O-]))C	COC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OCC[NH+](C)CC1=CC=CC=C1	1.995635195	1.76805412928	TS		1.843	163.229	-0.603	163.229	21	16	40	2.708	3.7	4.6	1	1	9	17	0.364	1.325	3.86	18	-0.161	7.394	6	94	15.394	4.012
Tacrolimus	O=C2OC(C(=CC1CCC(O)C(OC)C1)C)C(C)C(O)CC(=O)C(=CC(C)CC(C)CC(OC)C4OC(O)(C(=O)C(=O)N3CCCCC23)C(C)CC4(OC))CC=C	COC1CC(CCC1O)C=C(C)C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(C(CC2C)OC)C(CC(C)CC(C)C=C(CC=C)C(=O)CC(O)C1C)OC	1.995635195	1.68615570074	TS		4.869	179.49	1.321	179.49	9.5	27	34.9	0.899	3	0.8	0	0	0	10	1.744	1.482	3.798	7	-0.067	6.382	3	574	33.4296	4.326
Chlorambucil	O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl	[O-]C(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl	1.995635195	1.64956914126	TS		3.194	68.076	3.432	146.373	8	10	37.8	1.237	2.322	2.7	-1	0	4	7	11.777	1.472	3.521	7	-0.03	8.195	3	2	12.5225	3.596
Conivaptan	O=C(Nc1ccc(cc1)C(=O)N4c2ccccc2c3[nH]c(nc3CC4)C)c6ccccc6(c5ccccc5)	CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1	1.995635195	2.13653357155	TS		5.298	213.254	4.781	213.254	32	24	50	5.584	4.129	6.3	0	0	17	29	22.863	1.103	3.944	31	-0.198	7.791	9	8	14.5369	3.744
Tamsulosin	O=S(=O)(N)c1cc(ccc1(OC))CC(NCCOc2ccccc2(OCC))C	CCOC1=CC=CC=C1OCC[NH2+]C(C)CC1=CC=C(OC)C(=C1)S(N)(=O)=O	1.995635195	1.67952347984	TS		1.612	129.159	-1.96	134.966	16.5	11	35.1	2.258	3.17	3.5	1	2	7	12	3.841	1.396	3.819	14	-0.098	7.186	2	82	14.3349	4.688
Ethinylestradiol-3-Sulfate	O=S(=O)(O)Oc1ccc2c(c1)CCC4C2CCC3(C)(C4(CCC3(O)(C#C)))	CC12CCC3C(CCC4=CC(OS([O-])(=O)=O)=CC=C34)C1CCC2(O)C#C	1.953803606	1.8016859636	TS		3.79	104.428	3.84	113.395	11.5	18	40.8	1.521	3	0	-1	0	3	6	14.749	1.163	3.85	9	0.034	7.663	0	58	19.9059	4.457
Furosemide	O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N	NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C([O-])=O	1.915575699	1.57286037826	TS		1.037	74.907	0.434	119.863	15	6	38.7	2.127	3.248	6.5	-1	1	4	11	0.189	1.207	3.744	14	-0.159	10.637	2	60	12.0643	4.693
NK 611	O=C5OCC6C(OC1OC2COC(OC2(C(O)C1(N(C)C)))C)c3cc7OCOc7(cc3C(c4cc(OC)c(O)c(OC)c4)C56)	COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2[NH+](C)C)C2=CC3=C(OCO3)C=C12	1.8803738	1.56526348921	TS		0.027	139.565	-3.168	139.565	16	11	37.8	2.092	3	1.2	1	1	4	13	10.039	1.449	3.781	13	-0.077	7.521	3	513	19.8782	3.959
Ethinylestradiol	C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C)))	CC12CCC3C(CCC4=CC(O)=CC=C34)C1CCC2(O)C#C	1.847748879	1.80234480712	TS		4.861	99.184	4.004	99.184	8.5	18	43.5	1.377	2.585	0	0	0	3	6	16.033	0.975	3.82	7	0.018	6.444	0	10	20.8972	4.217
Bevantolol	OC(COc1cccc(c1)C)CNCCc2ccc(OC)c(OC)c2	COC1=CC=C(CC[NH2+]CC(O)COC2=CC=CC(C)=C2)C=C1OC	1.817344971	1.61553223268	TS		2.033	130.365	-1.352	130.365	13.5	11	37.7	1.942	2.807	1.9	1	1	7	12	1.827	1.353	3.84	12	-0.172	6.538	2	46	12.5233	3.208
Warfarin	O=C1Oc3ccccc3(C(O)=C1C(c2ccccc2)CC(=O)C)	CC(=O)CC(C1=CC=CC=C1)C1=C([O-])C2=CC=CC=C2OC1=O	1.817344971	1.87286774883	TS		1.984	128.538	3.204	128.538	17	15	50	2.545	3.322	0	-1	0	9	16	10.264	0.974	3.822	15	-0.165	8.088	0	28	14.5513	3.851
Estradiol	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	CC12CCC3C(CCC4=CC(O)=CC=C34)C1CCC2O	1.788875116	1.64549735125	TS		3.813	58.832	3.635	58.832	6.5	16	40.9	1.222	2	0	0	0	3	6	13.211	1.032	3.798	6	0.023	6.191	0	10	20.8868	3.684
Propofol	Oc1c(cccc1C(C)C)C(C)C	CC(C)C1=CC=CC(C(C)C)=C1O	1.788875116	1.72301526182	TS		3.951	70.101	3.386	70.101	6.5	11	38.7	1.241	2	0	0	0	3	6	11.463	1.184	3.478	6	-0.432	5.752	0	0	11.1734	3.355
Diprafenone	O=C(c1ccccc1(OCC(O)CNC(C)(C)CC))CCc2ccccc2	CCC(C)(C)[NH2+]CC(O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1	1.762104596	1.46986449739333	TS		3.025	142.812	-0.255	142.812	14	17	39	2.211	3	1.7	1	1	9	13	0.065	1.242	3.82	13	0.033	6.281	2	14	14.0907	3.641
Doxazosin	O=C(N3CCN(C1=NC(=N)c2cc(OC)c(OC)cc2(N1))CC3)C4Oc5ccccc5(OC4)	COC1=C(OC)C=C2C(N)=NC(=[NH+]C2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1	1.762104596	1.42907092244	TS		2.488	126.261	1.319	126.261	19.5	7	39	3.318	3.392	8.5	1	2	6	15	1.739	1.525	3.836	18	-0.083	7.67	11	88	13.9517	3.881
Eprosartan	O=C(O)c1ccc(cc1)CN3C(N=CC3(=CC(C(=O)O)Cc2cccs2))=CCCC	CCCC=C1[NH+]=CC(=CC(CC2=CC=CS2)C([O-])=O)N1CC1=CC=C(C=C1)C([O-])=O	1.762104596	1.5920521106	TS		1.562	137.285	3.012	168.562	17.5	16	43.4	2.634	3.524	3.8	-1	1	6	17	9.074	1.162	3.885	16	0.056	7.992	5	52	12.8899	3.775
Reboxetine	O(c3ccccc3(OC(c1ccccc1)C2OCCNC2))CC	CCOC1=CC=CC=C1OC(C1C[NH2+]CCO1)C1=CC=CC=C1	1.712915406	1.44886919908	TS		1.847	121.18	-1.451	121.18	13	11	40.4	1.849	2.807	2.1	1	1	9	12	2.106	1.284	3.79	12	-0.161	6.69	2	12	11.9386	3.487
Atomoxetine	O(c1ccccc1C)C(c2ccccc2)CCNC	C[NH2+]CCC(OC1=CC=CC=C1C)C1=CC=CC=C1	1.69019608	1.42102008748	TS		2.346	118.763	-0.154	118.763	12.5	13	41.5	1.988	2.807	2.4	1	1	9	12	0.024	1.198	3.812	12	-0.071	6.254	2	0	11.3074	3.345
Carvedilol	OC(COc2cccc3[nH]c1ccccc1c23)CNCCOc4ccccc4(OC)	COC1=CC=CC=C1OCC[NH2+]CC(O)COC1=CC=CC2=C1C1=C(N2)C=CC=C1	1.69019608	1.64925794307	TS		2.784	153.682	-1.489	153.682	19.5	13	42.1	4.118	3.524	3.5	1	1	11	18	2.216	1.204	3.817	21	-0.181	7.15	4	38	14.4029	3.341
Darifenacin	O=C(N)C(c1ccccc1)(c2ccccc2)C5CN(CCc3ccc4OCCc4(c3))CC5	NC(=O)C(C1CC[NH+](CCC2=CC=C3OCCC3=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1	1.69019608	1.54952207054	TS		2.997	164.395	0.286	164.395	20	22	44.4	2.174	3.459	3.2	1	2	13	19	0.082	1.098	3.915	19	-0.032	6.787	4	12	11.6932	4.34
Entacapone	N#CC(=Cc1cc(O)c(O)c(c1)[N+](=O)[O-])C(=O)N(CC)CC	CCN(CC)C(=O)C(=CC1=CC(O)=C([O-])C(=C1)[N+]([O-])=O)C#N	1.69019608	1.10694431636	TS		0.93	85.492	1.111	85.492	15.5	7	38.9	2.016	3.322	8.3	-1	0	2	9	1.234	1.277	3.585	11	0.014	8.453	5	54	14.873	4.109
Ergotamine	O=C(NC1(OC3(O)(N(C1(=O))C(C(=O)N2CCCC23)Cc4ccccc4))C)C7=CC8c6cccc5[nH]cc(c56)CC8(N(C)C7)	C[NH+]1CC(=CC2C1CC1=CNC3=CC=CC2=C13)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O	1.69019608	1.50922853291	TS		1.707	157.478	-1.203	157.478	20	20	41.8	3.224	3.7	6.3	1	1	8	19	1.448	1.341	3.9	20	-0.008	7.376	13	47	17.6303	4.458
Pantoprazole	O=S(c1nc2cc(OC(F)F)ccc2([nH]1))Cc3nccc(OC)c3(OC)	COC1=C(OC)C(CS(=O)C2=NC3=CC(OC(F)F)=CC=C3N2)=NC=C1	1.69019608	1.49633473084	TS		2.951	103.259	0.635	122.392	17	4	39	3.118	3.322	7.3	0	0	4	12	0.403	1.137	3.795	17	-0.115	9.351	6	42	13.9298	4.799
Solifenacin	O=C(OC2CN1CCC2(CC1))N5CCc3ccccc3C5(c4ccccc4)	O=C(OC1C[NH+]2CCC1CC2)N1CCC2=CC=CC=C2C1C1=CC=CC=C1	1.69019608	1.38963440233	TS		2.469	117.632	-0.371	117.632	13.5	16	42.6	2.086	3	3.7	1	1	9	13	0.138	1.318	3.841	13	-0.043	6.732	6	2	14.1896	3.889
Diazepam	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)C	CN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1	1.628166728	1.57352840716	TS		3.385	106.402	3.355	145.551	15.5	11	48.5	2.559	3.17	6.1	0	0	8	14	11.257	1.217	3.771	14	0.075	8.629	5	0	16.3317	3.771
Dexloxiglumide	O=C(O)CCC(NC(=O)c1ccc(c(c1)Cl)Cl)C(=O)N(CCCOC)CCCCC	CCCCCN(CCCOC)C(=O)C(CCC([O-])=O)NC(=O)C1=CC=C(Cl)C(Cl)=C1	1.609238576	1.43818574344	TS		2.939	98.459	3.082	176.756	10.5	13	35.6	1.08	2.807	3.4	-1	0	3	9	9.499	1.562	3.679	9	0.075	7.804	5	68	17.5857	3.852
Pimobendan	O=C4NN=C(c1ccc2[nH]c(nc2(c1))c3ccc(OC)cc3)C(C)C4	COC1=CC=C(C=C1)C1=NC2=CC(=CC=C2N1)C1=NNC(=O)CC1C	1.609238576	1.42174958657	TS		2.936	114.269	2.738	114.269	17.5	12	44.2	3.453	3.459	9.3	0	0	7	15	7.497	1.127	3.806	18	-0.09	7.777	6	14	12.8122	3.636
Levonorgestrel	O=C4CC3=CCC2C(CCC1(CC)(C2(CCC1(O)(C#C))))C3CC4	CCC12CCC3C(CC=C4CC(=O)CCC34)C1CCC2(O)C#C	1.591064607	1.61262599804	TS		4.21	89.783	4.05	89.783	4.5	19	41.2	0.659	2.322	0	0	0	0	3	16.399	1.087	3.79	3	-0.022	6.127	0	10	20.9667	4.232
Saquinavir	O=C(N)CC(NC(=O)c1nc2ccccc2(cc1))C(=O)NC(Cc3ccccc3)C(O)CN4CC5CCCCC5(CC4(C(=O)NC(C)(C)C))	CC(C)(C)NC(=O)C1CC2CCCCC2C[NH+]1CC(O)C(CC1=CC=CC=C1)NC(=O)C(CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1	1.540508234	1.28883746959	TS		2.32	182.145	-2.052	182.145	22	25	38	2.276	3.755	6	1	2	11	19	4.213	1.331	3.914	21	0.047	6.719	12	76	15.5424	3.816
Clomipramine	c1ccc3c(c1)N(c2cc(ccc2CC3)Cl)CCCN(C)C	C[NH+](C)CCCN1C2=CC=CC=C2CCC2=CC=C(Cl)C=C12	1.524821232	1.31233414348	TS		3.492	110.327	0.688	149.475	12.5	13	41.3	2.444	2.807	4.3	1	1	7	12	0.473	1.388	3.759	12	0.03	6.867	6	0	19.1789	3.444
Amsacrine	O=S(=O)(Nc4ccc(N=C1c3ccccc3(Nc2ccccc12))c(OC)c4)C	COC1=CC(NS(C)(=O)=O)=CC=C1NC1=C2C=CC=CC2=[NH+]C2=CC=CC=C12	1.524821232	1.74618322043	TS		4.167	145.26	2.413	151.067	23.5	13	43.8	4.78	3.807	6.3	1	1	11	19	5.822	1.196	3.96	24	-0.107	8.219	5	14	16.4718	4.311
Desmethyldiazepam	O=C2C=NC(c1ccccc1)c3cc(ccc3(N2))Cl	ClC1=CC=C2NC(=O)C=NC(C3=CC=CC=C3)C2=C1	1.50965048	1.31843087535	TS		3.039	102.191	2.576	141.339	15.5	11	50	2.615	3.17	6.7	0	0	8	14	6.636	1.052	3.768	14	0.047	9.024	4	0	15.8831	3.598
Epristeride	O=C(O)C4C=C3C=CC1C(CCC2(C)(C(C(=O)NC(C)(C)C)CCC12))C3(C)CC4	CC(C)(C)NC(=O)C1CCC2C3C=CC4=CC(CCC4(C)C3CCC12C)C([O-])=O	1.50965048	1.51606469303	TS		3.308	102.367	4.386	102.367	6	22	38.5	0.904	2.322	1.5	-1	0	0	6	19.237	1.249	3.819	4	-0.13	6.133	2	26	20.5785	3.924
Bumetanide	O=C(O)c2cc(NCCCC)c(Oc1ccccc1)c(c2)S(=O)(=O)N	CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C([O-])=O)S(N)(=O)=O	1.494962083	1.40835016511	TS		2.282	107.028	1.763	112.836	17.5	11	38.6	2.406	3.322	4.5	-1	1	7	13	3.108	1.237	3.802	15	0.078	8.26	2	48	14.503	4.692
Isoxicam	O=C(N=C1C=C(ON1)C)C3C(=O)c2ccccc2S(=O)(=O)N3(C)	CN1C(=C(O)NC2=NOC(C)=C2)C(=O)C2=CC=CC=C2S1(=O)=O	1.440459269	1.45551013515	TS		1.688	85.006	0.824	90.814	16.5	7	38.9	2.649	3.392	8.3	0	0	5	12	0.679	1.333	3.676	15	-0.049	9.316	5	54	14.962	4.759
Milrinone	N#CC2=CC(c1ccncc1)=C(NC2(=O))C	CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1	1.440459269	0.83478780602	TS		0.357	88.969	0.805	88.969	13.5	7	48	1.981	3.17	12	0	0	2	10	0.648	1.12	3.591	10	-0.126	8.45	5	0	11.4438	4.102
Tolterodine	Oc1ccc(cc1C(c2ccccc2)CCN(C(C)C)C(C)C)C	CC(C)[NH+](CCC(C1=CC=CC=C1)C1=CC(C)=CC=C1O)C(C)C	1.415424563	1.30240465796	TS		4.076	134.133	0.986	134.133	12.5	18	39.3	1.85	2.807	1.8	1	1	8	12	0.971	1.292	3.772	12	0.047	5.831	3	0	12.8056	3.435
Propafenone	O=C(c1ccccc1(OCC(O)CNCCC))CCc2ccccc2	CCC[NH2+]CC(O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1	1.403391475	1.32856036995333	TS		2.443	127.267	-0.689	127.267	14	15	39.6	2.213	3	1.9	1	1	9	13	0.474	1.217	3.82	13	-0.061	6.462	2	14	13.4989	3.641
Buprenorphine	Oc7ccc6c2c7(OC3C1(OC)(CCC4(CC1(C(O)(C)C(C)(C)C))(C(N(CCC234)CC5CC5)C6)))	COC12CCC3(CC1C(C)(O)C(C)(C)C)C1CC4=CC=C(O)C5=C4C3(CC[NH+]1CC1CC1)C2O5	1.380211242	1.14896799788	TS		2.337	98.704	0.122	98.704	7	20	38.2	1.27	2	1.3	1	1	2	6	0.015	1.27	3.808	6	0.011	6.167	3	29	21.9234	4.337
Isradipine	O=C(OC)C3=C(N=C(C)C(C(=O)OC(C)C)C3(c2cccc1nonc12))C	COC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C	1.380211242	1.35401922758	TS		2.083	105.168	1.72	105.168	14	11	39.6	2.863	3.322	6.3	0	0	3	11	2.959	1.283	3.735	14	-0.31	7.738	4	56	15.7199	4.02
Docetaxel	O=C(OC(C)(C)C)NC(c1ccccc1)C(O)C(=O)OC3CC4(O)(C(OC(=O)c2ccccc2)C5C6(OC(=O)C)(COC6(CC(O)C5(C(=O)C(=O)C(C3(C))C4(C)(C))(C))))	CC1C(CC2(O)C(OC(=O)C3=CC=CC=C3)C3C4(COC4CC(O)C3(C)C(=O)C(=O)C1C2(C)C)OC(C)=O)OC(=O)C(O)C(NC(=O)OC(C)(C)C)C1=CC=CC=C1	1.380211242	1.30347605975	TS		2.684	220	1.271	220	21	27	38.7	1.181	3.7	0.9	0	0	10	18	1.615	1.276	3.867	18	-0.016	7.279	2	688	22.0847	4.33
Lovastatin (acid)	O=C(O)CC(O)CC(O)CCC2C(C=CC1=CC(C)CC(OC(=O)C(C)CC)C12)C	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC([O-])=O)C12	1.347443482	1.27690309495	TS		2.931	96.028	3.025	96.028	6	19	35.8	0.859	2.322	0	-1	0	0	6	9.149	1.324	3.636	4	-0.152	6.293	0	112	18.6741	3.817
Flucloxacillin	O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2c(F)cccc2Cl)C3SC4(C)(C)	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C([O-])=O)C(=NO1)C1=C(F)C=CC=C1Cl	1.347443482	1.41434856944	TS		2.016	98.227	3.093	169.595	14.5	10	41.3	2.296	3.248	6.5	-1	0	3	12	9.565	1.061	3.875	14	-0.111	9.846	6	64	13.7778	4.952
Indocyanine Green	O=S(=O)([O-])CCCCN6c2ccc1ccccc1c2C(C6(=CC=CC=CC=CC5=[N+](c4ccc3ccccc3c4C5(C)C)CCCCS(=O)(=O)[O-]))(C)C	CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS([O-])(=O)=O)C3=CC=C4C=CC=CC4=C3C2(C)C)N(CCCCS([O-])(=O)=O)C2=CC=C3C=CC=CC3=C12	1.278753601	1.52704363222	TS		5.433	259.188	5.284	273.715	34	35	43	7.851	4.392	2	-1	1	12	29	27.92	1.236	4.089	31	-0.064	7.521	6	210	19.6418	4.426
Metolazone	O=C1c3cc(c(cc3(NC(N1c2ccccc2C)C))Cl)S(=O)(=O)N	CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O	1.278753601	1.27695295589	TS		2.587	96.149	2.13	141.105	17.5	11	40	2.43	3.322	7.5	0	1	6	13	4.538	1.269	3.868	15	-0.134	9.147	5	14	15.6806	4.693
Omeprazole	O=S(c1nc2cc(OC)ccc2([nH]1))Cc3ncc(c(OC)c3C)C	COC1=CC=C2NC(=NC2=C1)S(=O)CC1=NC=C(C)C(OC)=C1C	1.278753601	1.25261821266	TS		3.118	102.388	1.126	121.521	16.5	7	39.5	3.089	3.322	7	0	0	3	12	1.267	1.347	3.847	17	0.115	8.034	6	24	13.3782	4.799
