Name	Standardized SMILES	SMILES (ionized)	Exp (logK)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	N.	totalcharge	CATS2D_00_PP	C.024	nCsp2	MLOGP2	GATS1i	SpMax2_Bh.p.	nBM	MATS5e	AMW	F01.C.N.	T.O..O.	J_D.Dt	SpMax_AEA.dm.
Zolmitriptan	O=C1OCC(N1)Cc2ccc3[nH]cc(c3(c2))CCN(C)C	C[NH+](C)CCC1=CNC2=CC=C(CC3COC(=O)N3)C=C12	-0.477121255	-0.37544192242	EVS	reliable	0.897	83.887	-2.594	83.887	9.5	8	37.2	2.18	2.807	7	1	1	3	9	6.727	1.484	3.608	11	0.031	6.707	7	2	12.5713	3.681
Levodopa	O=C(O)C(N)Cc1ccc(O)c(O)c1	[NH3+]C(CC1=CC=C(O)C(O)=C1)C([O-])=O	-0.500602351	-0.65464816272	EVS	reliable	-1.262	40.864	-3.497	40.864	8.5	5	36	1.281	2.322	4	0	1	3	7	12.226	0.965	3.442	7	-0.058	7.888	1	35	10.703	3.735
Cefetamet	O=C(O)C3=C(C)CSC2N3(C(=O)C2(NC(=O)C(=NOC)C1=CSC(=N)N1))	CON=C(C(=O)NC1C2SCC(C)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	-0.549671922	0.14532118694	EVS	reliable	-0.607	56.338	0.418	119.835	12	4	35	1.226	3.087	12.5	-1	1	0	9	0.175	1.228	3.818	10	-0.135	9.912	9	64	12.917	4.61
Cefepime	O=C([O-])C4=C(C[N+]1(C)(CCCC1))CSC3N4(C(=O)C3(NC(=O)C(=NOC)C2=CSC(=N)N2))	CON=C(C(=O)NC1C2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	-0.549671922	-0.42377997037	EVS	reliable	-1.914	67.295	-2.771	130.792	12	5	33.9	1.139	3.087	10.7	0	2	0	9	7.676	1.437	3.824	10	0.125	8.583	13	64	12.8124	4.612
Tramadol	OC2(c1cccc(OC)c1)(CCCCC2(CN(C)C))	COC1=CC(=CC=C1)C1(O)CCCCC1C[NH+](C)C	-0.602059991	-0.13122574156	EVS	reliable	1.14	86.254	-1.366	86.254	6.5	10	35.6	1.104	2	2.2	1	1	4	6	1.866	1.47	3.677	6	0.083	5.876	3	5	12.8779	3.891
Famotidine	O=S(=O)(N)NC(=N)CCSCC1=CSC(=NC(=N)N)N1	NC(=[NH2+])NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1	-0.720159303	-0.75425672888	EVS	reliable	-2.264	19.467	0.083	88.534	10.5	3	22.2	1.465	2.907	19.4	1	4	0	5	0.007	1.365	3.833	9	-0.425	9.403	8	2	12.4575	4.252
Penciclovir	O=C2NC(=N)Nc1c2(ncn1CCC(CO)CO)	NC1=NC2=C(N=CN2CCC(CO)CO)C(=O)N1	-0.720159303	-1.02281854388333	EVS	reliable	-1.564	24.947	0.255	24.947	7.5	2	30.3	1.494	2.459	15.2	0	1	0	5	0.065	1.757	3.559	7	-0.123	7.676	10	22	13.5321	3.661
Cephalexin	O=C(O)C3=C(C)CSC2N3(C(=O)C2(NC(=O)C(N)c1ccccc1))	CC1=C(N2C(SC1)C(NC(=O)C([NH3+])C1=CC=CC=C1)C2=O)C([O-])=O	-0.753327667	-0.12253371571	EVS	reliable	-1.27	82.358	-2.702	114.578	12	9	39	1.393	3	7.3	0	1	5	11	7.301	1.15	3.837	10	0.015	8.474	6	33	12.8624	4.61
Mercaptopurine, 6-	N1=CNC(c2nc[nH]c12)=S	S=C1NC=NC2=C1NC=N2	-0.753327667	-0.65139511245	EVS	reliable	0.399	23.035	0.557	68.227	7.5	0	35.7	1.512	2.459	28.6	0	0	0	5	0.311	1.328	3.133	7	-0.257	10.871	8	0	13.018	3.817
Nicotine	n1cccc(c1)C2N(C)CCC2	C[NH+]1CCCC1C1=CN=CC=C1	-1.278753601	-0.78666858416	EVS	reliable	-0.318	55.804	-2.412	55.804	6	5	37	1.146	2	7.4	1	1	2	5	5.815	1.548	3.568	6	-0.012	6.047	5	0	9.9332	3.326
Xamoterol	O=C(NCCNCC(O)COc1ccc(O)cc1)N2CCOCC2	OC(C[NH2+]CCNC(=O)N1CCOCC1)COC1=CC=C(O)C=C1	-1.50965048	-0.85950151558	EVS	reliable	-1.51	71.73	-4.251	71.73	8.5	4	32	0.988	2.322	6	1	1	4	7	18.072	1.677	3.601	7	0.125	6.809	7	92	11.5456	3.677
Gabapentin	O=C(O)CC1(CN)(CCCCC1)	[NH3+]CC1(CC([O-])=O)CCCCC1	-1.50965048	-0.51486229531	EVS	reliable	-0.715	24.028	-2.535	24.028	1.5	7	31	0.121	1	3.4	0	1	0	1	6.424	1.347	3.327	1	-0.018	5.906	1	2	9.6604	3.681
Iothalamic acid (Iothalamate)	O=C([O-])c1c(c(NC(=O)C)c(c(C(=O)NC)c1I)I)I	CNC(=O)C1=C(I)C(C([O-])=O)=C(I)C(NC(C)=O)=C1I	-1.69019608	-1.09897630854	EVS	reliable	0.82	47.452	2.755	47.452	11	6	39.3	1.519	2.807	7.1	-1	0	0	9	7.591	0.939	3.667	9	0.107	21.89	4	35	15.456	3.799
Ganciclovir	O=C2NC(=N)Nc1c2(ncn1COC(CO)CO)	NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1	-1.995635195	-1.05752116521333	EVS	reliable	-1.965	24.471	-0.381	24.471	7.5	0	29	1.494	2.459	16.1	0	1	0	5	0.145	1.888	3.435	7	-0.144	8.235	10	34	13.5321	3.663
Busulphan	O=S(=O)(OCCCCOS(=O)(=O)C)C	CS(=O)(=O)OCCCCOS(C)(=O)=O	-2	-0.73443563779	EVS	reliable	-0.288	28.635	-0.5	44.134	6	2	21.4	0.436	2.322	0	0	0	0	0	0.25	1.965	3.874	4	-0.097	8.798	0	81	13	5.044
Gemcitabine	O=C1NC(=N)C=CN1C2OC(CO)C(O)C2(F)(F)	NC1=NC(=O)N(C=C1)C1OC(CO)C(O)C1(F)F	-2	-1.13633733186	EVS	reliable	-1.425	26.951	-0.124	26.951	4.5	1	31	0.787	2	10.3	0	1	0	4	0.015	1.257	3.523	3	0	9.077	6	27	12.2073	4.272
Isoniazide	O=C(NN)c1ccncc1	NNC(=O)C1=CC=NC=C1	-2	-0.81429131759	EVS	reliable	-0.81	44.938	-0.283	44.938	7.5	3	35.3	1.322	2.322	17.6	0	1	2	6	0.08	1.044	3.02	7	-0.01	8.068	3	0	8.7761	3.543
Isosorbide-5-Mononitrate	O=[N+]([O-])OC1COC2C(O)COC12	OC1COC2C(COC12)O[N+]([O-])=O	-2	-1.00416697234	EVS	reliable	-0.912	9.185	-0.738	9.185	3	0	27.3	0.228	1.585	4.5	0	0	0	0	0.545	1.396	3.179	2	0.025	8.689	0	60	11.7764	4.694
Metrizoate	O=C(O)c1c(c(NC(=O)C)c(c(c1I)N(C(=O)C)C)I)I	CN(C(C)=O)C1=C(I)C(C([O-])=O)=C(I)C(NC(C)=O)=C1I	-2	-0.4951551875	EVS	reliable	0.938	55.849	2.993	55.849	11.5	6	38.7	1.504	2.807	6.5	-1	0	0	9	8.956	1.099	3.664	9	0.185	20.224	5	38	15.974	3.811
Flucytosine	O=C1NC=C(F)C(=N)N1	NC1=NC(=O)NC=C1F	-2	-1.33419402033	EVS	reliable	-1.079	24.772	0.172	24.772	4.5	0	30.8	0.878	2	23.1	0	1	0	4	0.029	1.259	2.729	3	0.148	9.932	5	0	8.998	3.616
Hydroxyurea	ON=C(O)N	NC([O-])=[NH+]O	-2	-1.71410488148	EVS	reliable	-3.134	3.909	-1.453	3.909	1.5	0	11.1	0.318	1	22.2	0	2	0	1	2.112	2.116	2.12	1	0.817	8.452	2	3	4	3.733
Lisinopril	O=C(O)C(NC(C(=O)N1CCCC1(C(=O)O))CCCCN)CCc2ccccc2	[NH3+]CCCCC([NH2+]C(CCC1=CC=CC=C1)C([O-])=O)C(=O)N1CCCC1C([O-])=O	-2	-0.08391947828	EVS	reliable	-1.811	90.654	-6.258	90.654	10.5	13	35	0.96	2.807	5	0	2	5	9	39.162	1.41	3.762	9	-0.089	6.759	6	62	13.5784	3.947
Metformin	N=C(N=C(N)N(C)C)N	CN(C)C(N)=[NH+]C(N)=[NH2+]	-2	-1.4254934531	EVS	reliable	-3.644	20.591	-0.329	20.591	3	0	18.2	0.541	1.585	22.7	2	4	0	2	0.108	2.469	3.161	2	-0.158	5.965	8	0	8	3.228
Netilmicin	OC3C(OC1OC(=CCC1(N))CN)C(N)CC(NCC)C3(OC2OCC(O)(C)C(NC)C2(O))	CC[NH2+]C1CC([NH3+])C(OC2OC(C[NH3+])=CCC2[NH3+])C(O)C1OC1OCC(C)(O)C([NH2+]C)C1O	-2	-0.33291764888	EVS	unreliable	-9.567	55.358	-20.975	55.358	1	5	26.6	0.249	1	6.3	5	5	0	2	439.965	1.59	3.704	1	-0.03	6.085	7	112	15.4745	3.727
