No.	CAS	SMILES	Set	Exp KOA	Pred (weighted)
81	107-07-3	OCCCl	Training	4.3	3.9360
82	107-12-0	N#CCC	Training	2.69	2.1666
83	107-31-3	O=COC	Training	1.75	1.7225
84	107-87-9	O=C(C)CCC	Training	3.19	3.2631
85	108-03-2	O=[N+]([O-])CCC	Training	3.25	2.4326
86	108-20-3	O(C(C)C)C(C)C	Training	2.66	2.8288
87	108-21-4	O=C(OC(C)C)C	Training	2.93	2.7235
88	108-38-3	c1cc(cc(c1)C)C	Training	3.78	3.9128
89	108-70-3	c1c(cc(cc1Cl)Cl)Cl	Training	4.85	5.0809
90	108-87-2	CC1CCCCC1	Training	3.03	3.7303
91	108-88-3	c1ccc(cc1)C	Training	3.31	3.9327
92	108-90-7	c1ccc(cc1)Cl	Training	3.31	3.6518
93	108-93-0	OC1CCCCC1	Training	5.18	4.5369
94	109-60-4	O=C(OCCC)C	Training	3.17	3.2777
95	109-66-0	CCCCC	Training	1.96	2.8447
96	109-67-1	C=CCCC	Training	1.93	2.5186
97	109-69-3	CCCCCl	Training	2.72	2.7793
98	109-73-9	NCCCC	Training	3.61	4.1998
99	109-74-0	N#CCCC	Training	3.12	2.7366
100	109-94-4	O=COCC	Training	2.19	2.3340
101	109-99-9	O1CCCC1	Training	2.86	2.8856
102	110-19-0	O=C(OCC(C)C)C	Training	3.45	3.1000
103	110-43-0	O=C(C)CCCCC	Training	4.15	3.8656
104	110-54-3	CCCCCC	Training	2.4	3.4551
105	110-59-8	N#CCCCC	Training	3.6	3.1535
106	110-74-7	O=COCCC	Training	2.66	2.8387
107	110-82-7	C1CCCCC1	Training	2.74	3.2593
108	110-83-8	C1=CCCCC1	Training	2.83	3.2810
109	110-89-4	N1CCCCC1	Training	4.04	4.3146
110	111-27-3	OCCCCCC	Training	5.18	4.4788
111	111-43-3	O(CCC)CCC	Training	2.97	3.2084
112	111-65-9	CCCCCCCC	Training	3.35	3.6392
113	111-66-0	C=CCCCCCC	Training	3.35	3.6029
114	111-87-5	OCCCCCCCC	Training	6.03	5.6477
115	112-92-5	OCCCCCCCCCCCCCCCCCC	Training	10.93	9.9754
116	115-10-6	O(C)C	Training	1.37	1.5091
117	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Training	7.38	7.1287
118	120-12-7	c1ccc2cc3ccccc3(cc2(c1))	Training	7.55	7.4865
119	120-82-1	c1cc(c(cc1Cl)Cl)Cl	Training	4.95	5.0487
120	120-92-3	O=C1CCCC1	Training	3.67	3.6885
121	120-94-5	N1(C)CCCC1	Training	3.64	3.1770
122	122-39-4	c1ccc(cc1)Nc2ccccc2	Training	7.64	9.9908
123	123-38-6	O=CCC	Training	3.02	2.2369
124	123-51-3	OCCC(C)C	Training	4.52	4.1004
125	123-72-8	O=CCCC	Training	3.39	2.6888
126	123-75-1	N1CCCC1	Training	4.07	4.0562
127	123-86-4	O=C(OCCCC)C	Training	3.65	3.6144
128	123-91-1	O1CCOCC1	Training	3.18	3.2795
129	123-92-2	O=C(OCCC(C)C)C	Training	3.94	3.4940
130	124-11-8	C=CCCCCCCC	Training	3.83	4.0754
131	124-13-0	O=CCCCCCCC	Training	5.36	4.3107
132	124-40-3	N(C)C	Training	2	2.8878
133	124-48-1	C(Cl)(Br)Br	Training	3.59	3.0792
134	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	3.48	3.9808
135	127-19-5	O=C(N(C)C)C	Training	5.33	3.2076
136	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	8.8	8.9344
137	141-78-6	O=C(OCC)C	Training	2.7	2.8286
138	142-68-7	O1CCCCC1	Training	3.22	3.1171
139	142-82-5	CCCCCCC	Training	2.95	3.8365
140	142-84-7	N(CCC)CCC	Training	3.59	4.6533
