ID	CAS	SMILES	Set	LogKab EXP
60	35065-27-1	c2c(c1cc(c(cc1Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	Training	2.503790683
61	38380-01-7	c1cc(cc(c1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	Test	2.354108439
62	37680-73-2	c1cc(c(cc1Cl)c2cc(c(cc2Cl)Cl)Cl)Cl	Training	2.120573931
63	32598-14-4	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	Test	2.419955748
64	38380-08-4	c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Test	2.465382851
65	69782-90-7	c1cc(c(c(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl)Cl	Training	2.419955748
66	31508-00-6	c1cc(c(cc1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	Training	2.354108439
67	7012-37-5	c1cc(ccc1c2ccc(cc2Cl)Cl)Cl	Training	2.496929648
68	80333-65-9	c1cc(c(cc1c2ccc(c(c2)Cl)Cl)Cl)Cl	Training	2.133538908
69	51-06-9	O=C(NCCN(CC)CC)c1ccc(N)cc1	Training	-0.920818754
70	59-46-1	O=C(OCCN(CC)CC)c1ccc(N)cc1	Test	-0.346787486
71	525-66-6	OC(COc1cccc2ccccc12)CNC(C)C	Training	0.298853076
72	95-36-3	c1cc(c(cc1C)C)C	Training	1.797267541
73	62497-63-6	O1CC1c2ccccc2	Training	0.785329835
74	59804-37-4	O=C(N=C1C=CC=CN1)C3C(=O)c2c(ccs2)S(=O)(=O)N3(C)	Training	-1.522878745
75	104549-41-9	O1c3ccccc3(Oc2c1c(c(c(c2Br)Br)Br)Br)	Training	1.949390007
76	30746-58-8	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Test	1.903089987
77	60-54-8	O=C(N)C3C(=O)C(N(C)C)C4CC2C(C(=O)c1c(O)cccc1C2(O)(C))C(=O)C4(O)(C3(=O))	Training	0.041392685
78	77-32-7	O=C1NC(NC(=O)C1(CC)CC)=S	Test	-0.045757491
79	76-75-5	O=C1NC(NC(=O)C1(CC)C(C)CCC)=S	Training	0.816903839
80	131628-37-0	OC(COc1nsnc1N2CCOCC2)CNC(C)(C)C	Training	-0.236572006
81	100735-34-0	O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C	Test	-0.853871964
82	28911-01-5	n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2Cl))Cl)c4C	Training	0.606381365
83	117039-65-3	O=C(O)C(CCC)CCC	Training	-0.698970004
84	17924-92-4	O=C1OC(C)CCCC(=O)CCC=CCc2cc(O)cc(O)c12	Test	0.519827994
85	75-09-2	C(Cl)Cl	Training	0.791690649
86	 100-42-5	C=Cc1ccccc1	Training	1.698970004
87	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	1.899820502
88	75-01-4	C=CCl	Training	1.075546961
89	58-08-2	O=C2c1c(ncn1C)N(C(=O)N2C)C	Training	-0.638272164
90	50-36-2	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	Test	0.712649702
91	56030-54-7	O=C(N(c1ccccc1)C3(COC)(CCN(CCc2cccs2)CC3))CC	Training	0.8876173
92	74050-98-9	O=C1Nc4ccccc4(C(=O)N1CCN3CCC(C(=O)c2ccc(F)cc2)CC3)	Training	-0.251811973
93	79516-68-0	N#CC4(c1ccc(F)cc1)(CCC(N3CCC(C(=O)O)(c2ccccc2)C(C)C3)CC4)	Test	-0.075720714
94	 55836-71-0	O=C(N)c1ccc(OCC)cc1	Training	-0.148741651
95	111542-93-9	O=C(O)C1=CN(c2c(F)c(c(F)c(N)c2(C1(=O)))N3CC(NC(C)C3)C)C4CC4	Training	-0.744727495
96	95093-99-5	OC(COc2cccc3[nH]c1ccccc1c23)CNCCOc4ccccc4(OC)	Test	0.090921794
97	57-42-1	O=C(OCC)C2(c1ccccc1)(CCN(C)CC2)	Test	0.620136055
98	144-11-6	OC(c1ccccc1)(CCN2CCCCC2)C3CCCCC3	Training	1.880813592
99	59865-13-3	O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C	Test	1.254306332
100	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Test	1.818885415
101	13345-21-6	Oc1ccc2ccc4c5ccccc5(cc3ccc1c2c34)	Training	0.152288344
