Name	Standardized SMILES	SMILES (ionized)	Exp (square root of fraction unbound)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	CATS2D_01_LL	nCar	SpMin1_Bh.i.	Eta_betaP_A	SM12_AEA.ri.	N.	nN.	totalcharge	CATS2D_00_PP	SpMax2_Bh.m.	C.024
Repaglinide	O=C(O)c1ccc(cc1(OCC))CC(=O)NC(c2ccccc2N3CCCCC3)CC(C)C	CCOC1=CC(CC(=O)NC(CC(C)C)C2=CC=CC=C2N2CCCCC2)=CC=C1C([O-])=O	0.122474487	0.1665711414	EVS	reliable	4.604	143.262	3.71	143.262	16	19	39.7	2.286	3.17	14	12	1.935	0.485	3.919	2.9	0	-1	0	3.892	7
Nimodipine	O=C(OCCOC)C2=C(N=C(C)C(C(=O)OC(C)C)C2(c1cccc(c1)[N+](=O)[O-]))C	COCCOC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC(C)C	0.126491106	0.2689718276	EVS	reliable	2.277	122.298	2.251	122.298	15	12	37.5	2.114	3.322	7	6	1.973	0.5	3.891	3.6	0	0	0	3.828	4
Midazolam	Fc1ccccc1C2=NCc4cnc(n4(c3ccc(cc23)Cl))C	CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=CC(Cl)=CC=C3N12	0.130384048	0.2913786645	EVS	reliable	4.34	115.903	4.27	155.052	17.5	11	50	3.612	3.392	6	15	1.942	0.761	3.971	8.3	0	0	0	3.844	7
Sulfinpyrazone	O=C2C(=C(O)N(c1ccccc1)N2c3ccccc3)CCS(=O)c4ccccc4	[O-]C1=C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1	0.130384048	0.1374981006	EVS	reliable	3.81	164.87	4.039	184.003	23.5	17	47.9	2.504	3.7	13	18	1.901	0.81	3.67	4.2	0	-1	0	3.97	15
Nitrendipine	O=C(OCC)C2=C(N=C(C)C(C(=O)OC)C2(c1cccc(c1)[N+](=O)[O-]))C	CCOC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC	0.141421356	0.2874685866	EVS	reliable	2.03	108.88	2.307	108.88	15	11	39.1	2.16	3.322	7	6	1.972	0.577	3.891	4.3	0	0	0	3.826	4
Lansoprazole	O=S(c1nc2ccccc2([nH]1))Cc3nccc(OCC(F)(F)F)c3C	CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1	0.144913767	0.2763379413	EVS	reliable	3.656	94.673	1.749	113.805	16	7	41	3.105	3.322	4	12	1.882	0.64	4.004	7.7	0	0	0	3.932	5
Gestodene	O=C2CC1=CCC3C4C=CC(O)(C#C)C4(CC)(CCC3(C1CC2))	CCC12CCC3C(CC=C4CC(=O)CCC34)C1C=CC2(O)C#C	0.151657509	0.167931053	EVS	reliable	3.901	103.667	3.959	103.667	5.5	19	42.9	1.009	2.585	19	0	2.005	0.239	3.451	0	0	0	0	3.798	0
Dicloxacillin	O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2c(cccc2Cl)Cl)C3SC4(C)(C)	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C([O-])=O)C(=NO1)C1=C(Cl)C=CC=C1Cl	0.181659021	0.2468315525	EVS	reliable	2.475	92.606	3.204	203.123	14.5	11	41.3	2.296	3.248	2	9	1.892	0.483	3.809	6.5	0	-1	0	4.114	3
Rabeprazole	O=S(c1nc2ccccc2([nH]1))Cc3nccc(OCCCOC)c3C	COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1	0.192353841	0.2375221177	EVS	reliable	2.58	104.923	1.095	124.056	16	8	39.1	3.105	3.322	4	12	1.882	0.64	4.003	6.5	0	0	0	3.932	5
Oxazepam	O=C2Nc1ccc(cc1C(NC2(=O))c3ccccc3)Cl	ClC1=CC=C2NC(=O)C(=O)NC(C3=CC=CC=C3)C2=C1	0.2	0.2529116875	EVS	reliable	2.334	97.848	2.174	136.996	15.5	11	48.4	2.329	3.17	8	12	1.945	0.775	3.48	6.5	0	0	0	3.818	8
