Name	Standardized SMILES	SMILES (ionized)	Exp (square root of fraction unbound)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	CATS2D_01_LL	nCar	SpMin1_Bh.i.	Eta_betaP_A	SM12_AEA.ri.	N.	nN.	totalcharge	CATS2D_00_PP	SpMax2_Bh.m.	C.024
Thalidomide	O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3	O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12	0.632455532	0.6559146872	EVS	reliable	0.204	68.164	0.735	68.164	12	8	44.8	1.558	3	7	6	1.868	0.632	3.276	6.9	0	0	0	3.738	4
Aztreonam	O=C(O)C(ONC(C(=O)N=C1C(=O)N(C1C)S(=O)(=O)O)C2=CSC(=N)N2)(C)C	CC1N(C(=O)C1=NC(=O)C(NOC(C)(C)C([O-])=O)C1=CSC(N)=N1)S([O-])(=O)=O	0.632455532	0.6856895856	EVS	reliable	-2.289	56.263	0.094	94.565	13.5	4	30.2	1.364	3.248	0	3	1.854	0.482	3.822	11.6	0	-2	1	4.217	0
Letrozole	N#Cc1ccc(cc1)C(c2ccc(C#N)cc2)n3ncnc3	N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N	0.640312424	0.3004957456	EVS	reliable	2.749	138.993	3.104	138.993	22	12	51.5	2.557	3.755	12	14	1.967	1	3.632	15.2	0	0	0	3.795	8
Cibenzoline	N1=C(NCC1)C4CC4(c2ccccc2)(c3ccccc3)	C1C(C2=[NH+]CCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1	0.707106781	0.458710952	EVS	reliable	1.245	110.207	3.434	110.207	13.5	15	46.2	1.758	3	17	12	1.933	0.675	3.298	5.1	1	1	1	3.739	10
Acetaminophen	O=C(Nc1ccc(O)cc1)C	CC(=O)NC1=CC=C(O)C=C1	0.92736185	0.7302717178	EVS	reliable	0.683	54.192	1.06	54.192	8.5	5	40	1.323	2.322	2	6	1.854	0.773	2.855	5	0	0	0	3.427	4
Fenoterol	Oc1ccc(cc1)CC(NCC(O)c2cc(O)cc(O)c2)C	CC(CC1=CC=C(O)C=C1)[NH2+]CC(O)C1=CC(O)=CC(O)=C1	0.728010989	0.6817876927	EVS	reliable	1.106	86.17	-2.049	86.17	13.5	11	38.6	1.954	2.807	7	12	1.906	0.614	3.619	2.3	1	1	1	3.849	7
Naloxone	O=C1CCC5(O)(C4N(CC=C)CCC25(c3c(OC12)c(O)ccc3C4))	OC1=CC=C2CC3[NH+](CC=C)CCC45C(OC1=C24)C(=O)CCC35O	0.734846923	0.7669071735	EVS	reliable	-0.166	75.293	-2.157	75.293	9.5	11	41.3	1.43	2.585	8	6	2.033	0.396	3.699	2.2	1	1	1	3.693	2
Rocuronium	O=C(OC3C(CC4C5CCC2CC(O)C(N1CCOCC1)CC2(C)C5(CCC34(C)))[N+]6(CC=C)(CCCC6))C	CC(=O)OC1C(CC2C3CCC4CC(O)C(CC4(C)C3CCC12C)[NH+]1CCOCC1)[N+]1(CC=C)CCCC1	0.734846923	0.6936391017	EVS	reliable	1.139	101.434	-3.39	101.434	2.5	20	34.8	0.082	1.585	18	0	2.023	0.066	3.608	2.2	2	2	2	3.891	0
Cephapirin	O=C(O)C3C(=COC(=O)C)CSC2N3(C(=O)C2(NC(=O)CSc1ccncc1))	CC(=O)OC=C1CSC2C(NC(=O)CSC3=CC=NC=C3)C(=O)N2C1C([O-])=O	0.741619849	0.6006958785	EVS	reliable	-0.857	87.258	0.74	151.697	13.5	6	38.6	1.334	3.17	0	5	1.858	0.482	3.448	6.8	0	-1	0	3.996	2
Sparfloxacin	O=C(O)C1=CN(c2c(F)c(c(F)c(N)c2(C1(=O)))N3CC(NC(C)C3)C)C4CC4	CC1CN(CC(C)[NH2+]1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C([O-])=O	0.741619849	0.8541025163	EVS	reliable	-0.284	80.71	-1.684	80.71	12	6	38	1.741	2.807	1	6	1.953	0.429	3.728	8	1	0	2	3.791	0
Cefotaxime	O=C(O)C3=C(COC(=O)C)CSC2N3(C(=O)C2(NC(=O)C(=NOC)C1=CSC(=N)N1))	CON=C(C(=O)NC1C2SCC(COC(C)=O)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	0.774596669	0.5783349984	EVS	reliable	-1.319	68.121	0.218	131.619	13.5	4	34.8	1.237	3.248	0	3	1.864	0.45	3.923	10.9	0	-1	1	4.101	0
Cilastatin	O=C(O)C(=NC(=O)C1CC1(C)(C))CCCCCSCC(N)C(=O)O	CC1(C)CC1C(=O)N=C(CCCCCSCC([NH3+])C([O-])=O)C([O-])=O	0.774596669	0.6708910402	EVS	reliable	-0.762	53.013	-2.415	85.233	6	10	32.7	0.603	2.322	8	0	1.729	0.25	3.414	4.1	1	-1	1	3.9	0
Rivastigmine	O=C(Oc1cccc(c1)C(N(C)C)C)N(C)CC	CCN(C)C(=O)OC1=CC=CC(=C1)C(C)[NH+](C)C	0.774596669	0.6694882244	EVS	reliable	1.039	98.042	-1.566	98.042	8	7	34.1	1.26	2.322	4	6	1.906	0.444	3.102	4.9	1	1	1	3.601	4
Theophylline	O=C2c1[nH]cnc1N(C(=O)N2C)C	CN1C2=C(N=CN2)C(=O)N(C)C1=O	0.781024968	0.8931317712	EVS	reliable	-0.583	39.476	-0.003	39.476	7.5	0	33.3	1.218	2.459	0	3	1.673	0.577	3.066	19	0	0	0	3.436	0
Doxifluridine	O=C1NC(=O)N(C=C1(F))C2OC(C)C(O)C2(O)	CC1OC(C(O)C1O)N1C=C(F)C(=O)NC1=O	0.781024968	0.9586707668	EVS	reliable	-1.652	35.974	-0.412	35.974	4.5	1	32.1	0.551	2	0	0	1.679	0.265	3.141	7.1	0	0	0	3.659	0
Sulbactam	O=C(O)C2N1C(=O)CC1S(=O)(=O)C2(C)(C)	CC1(C)C(N2C(CC2=O)S1(=O)=O)C([O-])=O	0.787400787	0.8894479528	EVS	reliable	-1.267	31.604	0.161	37.65	6	3	32	0.449	2.322	0	0	1.914	0.4	3.296	4	0	-1	0	3.637	0
Topotecan	O=C2OCC=1C(=O)N4C(=CC=1C2(O)CC)c3nc5ccc(O)c(c5(cc3C4))CN(C)C	CCC1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(C[NH+](C)C)C1=C3)C2=O	0.806225775	0.4250944915	EVS	reliable	-0.008	109.73	-2.113	109.73	16.5	11	41.8	3.305	3.392	7	9	2.033	0.532	4.185	5.5	1	1	1	3.918	3
Chlorpheniramine	n1ccccc1C(c2ccc(cc2)Cl)CCN(C)C	C[NH+](C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1	0.836660027	0.3307345632	EVS	reliable	2.136	106.257	-0.546	145.406	12	11	41	1.949	2.807	8	11	1.94	0.632	3.426	5.1	1	1	1	3.813	7
Mezlocillin	O=C(O)C4N3C(=O)C(NC(=O)C(NC(=O)N1C(=O)N(CC1)S(=O)(=O)C)c2ccccc2)C3SC4(C)(C)	CC1(C)SC2C(NC(=O)C(NC(=O)N3CCN(C3=O)S(C)(=O)=O)C3=CC=CC=C3)C(=O)N2C1C([O-])=O	0.836660027	0.6141866116	EVS	reliable	-0.598	104.295	-0.015	142.322	16.5	9	35	0.899	3.459	6	6	1.895	0.458	3.774	8.3	0	-1	0	4.146	5
Naratriptan	O=S(=O)(NC)CCc1ccc2[nH]cc(c2(c1))C3CCN(C)CC3	CNS(=O)(=O)CCC1=CC=C2NC=C(C3CC[NH+](C)CC3)C2=C1	0.836660027	0.7244748876	EVS	reliable	0.688	78.072	-2.433	83.879	11	10	34.7	2.219	3	9	8	1.973	0.478	4.468	6.1	1	1	1	4.1	3
Vancomycin	O=C(N)CC2NC(=O)C(NC(=O)C(NC)CC(C)C)C(O)c%10ccc(Oc9cc3cc(Oc1ccc(cc1Cl)C(O)C=5NC(O)=C(NC(=O)C3(NC2(=O)))c4ccc(O)c(c4)c6c(O)cc(O)cc6(C(NC=5(O))=C(O)O))c9(OC8OC(CO)C(O)C(O)C8(OC7OC(C)C(O)C(N)(C)C7)))c(c%10)Cl	C[NH2+]C(CC(C)C)C(=O)NC1C(O)C2=CC=C(OC3=CC4=CC(OC5=CC=C(C=C5Cl)C(O)\C5=C(O)\[NH2+]C(=C([O-])[O-])C6=CC(O)=CC(O)=C6C6=CC(=CC=C6O)C(NC(=O)C4NC(=O)C(CC(N)=O)NC1=O)=C(O)N5)=C3OC1OC(CO)C(O)C(O)C1OC1CC(C)([NH3+])C(O)C(C)O1)C(Cl)=C2	0.836660027	0.4761571941	EVS	reliable	-3.97	268.87	-16.743	347.167	44.5	30	37.3	6.701	4.585	18	30	1.999	0.441	4.162	5.1	3	1	4	4.016	13
Prilocaine	O=C(Nc1ccccc1C)C(NCCC)C	CCC[NH2+]C(C)C(=O)NC1=CC=CC=C1C	0.848528137	0.7373235054	EVS	reliable	1.14	79.668	-1.427	79.668	8	9	35.1	1.223	2.322	6	6	1.889	0.5	3.028	5.4	1	1	1	3.666	4
Cefoxitin	O=C(OCC3=C(C(=O)O)N2C(=O)C(OC)(NC(=O)Cc1cccs1)C2SC3)N	COC1(NC(=O)CC2=CC=CS2)C2SCC(COC(N)=O)=C(N2C1=O)C([O-])=O	0.854400375	0.6522761447	EVS	reliable	-0.38	75.698	-0.018	139.196	11.5	6	36.4	1.141	3.087	1	4	1.865	0.411	3.62	6.8	0	-1	1	4.111	2
Acebutolol	O=C(Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C)CCC	CCCC(=O)NC1=CC=C(OCC(O)C[NH2+]C(C)C)C(=C1)C(C)=O	0.860232527	0.6997056729	EVS	reliable	0.385	96.521	-2.095	96.521	10	10	34	1.363	2.585	4	6	1.899	0.417	3.082	3.8	1	1	1	3.662	3
Levofloxacin	O=C(O)C2=CN1c3c(OCC1C)c(c(F)cc3(C2(=O)))N4CCN(C)CC4	CC1COC2=C3N1C=C(C([O-])=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1	0.866025404	0.7374552074	EVS	reliable	0.958	86.858	1.146	86.858	12	4	40	1.821	2.807	1	6	1.974	0.462	3.724	6.7	0	-1	0	3.714	1
Zolmitriptan	O=C1OCC(N1)Cc2ccc3[nH]cc(c3(c2))CCN(C)C	C[NH+](C)CCC1=CNC2=CC=C(CC3COC(=O)N3)C=C12	0.866025404	0.7899911054	EVS	reliable	0.897	83.887	-2.594	83.887	9.5	8	37.2	2.18	2.807	7	8	1.949	0.452	3.172	7	1	1	1	3.72	3
Levodopa	O=C(O)C(N)Cc1ccc(O)c(O)c1	[NH3+]C(CC1=CC=C(O)C(O)=C1)C([O-])=O	0.871779789	0.8542167021	EVS	reliable	-1.262	40.864	-3.497	40.864	8.5	5	36	1.281	2.322	4	6	1.892	0.607	3.043	4	1	0	1	3.579	3
Cefetamet	O=C(O)C3=C(C)CSC2N3(C(=O)C2(NC(=O)C(=NOC)C1=CSC(=N)N1))	CON=C(C(=O)NC1C2SCC(C)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	0.883176087	0.6312908968	EVS	reliable	-0.607	56.338	0.418	119.835	12	4	35	1.226	3.087	1	3	1.863	0.462	3.91	12.5	0	-1	1	4.098	0
Cefepime	O=C([O-])C4=C(C[N+]1(C)(CCCC1))CSC3N4(C(=O)C3(NC(=O)C(=NOC)C2=CSC(=N)N2))	CON=C(C(=O)NC1C2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	0.883176087	0.7454747625	EVS	reliable	-1.914	67.295	-2.771	130.792	12	5	33.9	1.139	3.087	1	3	1.878	0.375	3.93	10.7	1	0	2	4.109	0
Tramadol	OC2(c1cccc(OC)c1)(CCCCC2(CN(C)C))	COC1=CC(=CC=C1)C1(O)CCCCC1C[NH+](C)C	0.894427191	0.7705640257	EVS	reliable	1.14	86.254	-1.366	86.254	6.5	10	35.6	1.104	2	8	6	1.954	0.342	3.243	2.2	1	1	1	3.69	4
Famotidine	O=S(=O)(N)NC(=N)CCSCC1=CSC(=NC(=N)N)N1	NC(=[NH2+])NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1	0.916515139	0.9218347688	EVS	reliable	-2.264	19.467	0.083	88.534	10.5	3	22.2	1.465	2.907	0	3	1.725	0.525	3.741	19.4	1	1	4	4.231	0
Penciclovir	O=C2NC(=N)Nc1c2(ncn1CCC(CO)CO)	NC1=NC2=C(N=CN2CCC(CO)CO)C(=O)N1	0.916515139	0.9498555374	EVS	reliable	-1.564	24.947	0.255	24.947	7.5	2	30.3	1.494	2.459	1	3	1.729	0.417	2.979	15.2	0	0	1	3.594	0
Cephalexin	O=C(O)C3=C(C)CSC2N3(C(=O)C2(NC(=O)C(N)c1ccccc1))	CC1=C(N2C(SC1)C(NC(=O)C([NH3+])C1=CC=CC=C1)C2=O)C([O-])=O	0.921954446	0.793774175	EVS	reliable	-1.27	82.358	-2.702	114.578	12	9	39	1.393	3	7	6	1.903	0.5	3.607	7.3	1	0	1	3.868	5
Mercaptopurine, 6-	N1=CNC(c2nc[nH]c12)=S	S=C1NC=NC2=C1NC=N2	0.921954446	0.8718793788	EVS	reliable	0.399	23.035	0.557	68.227	7.5	0	35.7	1.512	2.459	0	3	1.641	0.75	2.596	28.6	0	0	0	3.552	0
Nicotine	n1cccc(c1)C2N(C)CCC2	C[NH+]1CCCC1C1=CN=CC=C1	0.974679434	0.876323267	EVS	reliable	-0.318	55.804	-2.412	55.804	6	5	37	1.146	2	3	5	1.839	0.5	2.644	7.4	1	1	1	3.616	2
Xamoterol	O=C(NCCNCC(O)COc1ccc(O)cc1)N2CCOCC2	OC(C[NH2+]CCNC(=O)N1CCOCC1)COC1=CC=C(O)C=C1	0.98488578	0.883838196	EVS	reliable	-1.51	71.73	-4.251	71.73	8.5	4	32	0.988	2.322	2	6	1.847	0.354	3.101	6	1	1	1	3.738	4
Gabapentin	O=C(O)CC1(CN)(CCCCC1)	[NH3+]CC1(CC([O-])=O)CCCCC1	0.98488578	0.7494331282	EVS	reliable	-0.715	24.028	-2.535	24.028	1.5	7	31	0.121	1	7	0	1.885	0.125	2.554	3.4	1	0	1	3.388	0
Iothalamic acid (Iothalamate)	O=C([O-])c1c(c(NC(=O)C)c(c(C(=O)NC)c1I)I)I	CNC(=O)C1=C(I)C(C([O-])=O)=C(I)C(NC(C)=O)=C1I	0.989949494	0.8996699895	EVS	reliable	0.82	47.452	2.755	47.452	11	6	39.3	1.519	2.807	0	6	1.924	0.55	3.398	7.1	0	-1	0	10.692	0
Ganciclovir	O=C2NC(=N)Nc1c2(ncn1COC(CO)CO)	NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1	0.994987437	0.9514597799	EVS	reliable	-1.965	24.471	-0.381	24.471	7.5	0	29	1.494	2.459	0	3	1.655	0.417	2.979	16.1	0	0	1	3.548	0
Busulphan	O=S(=O)(OCCCCOS(=O)(=O)C)C	CS(=O)(=O)OCCCCOS(C)(=O)=O	1	0.8307806327	EVS	reliable	-0.288	28.635	-0.5	44.134	6	2	21.4	0.436	2.322	1	0	1.776	0.429	4.423	0	0	0	0	4.7	0
Gemcitabine	O=C1NC(=N)C=CN1C2OC(CO)C(O)C2(F)(F)	NC1=NC(=O)N(C=C1)C1OC(CO)C(O)C1(F)F	1	0.9524046022	EVS	reliable	-1.425	26.951	-0.124	26.951	4.5	1	31	0.787	2	0	0	1.69	0.25	3.399	10.3	0	0	1	3.672	0
Isoniazide	O=C(NN)c1ccncc1	NNC(=O)C1=CC=NC=C1	1	0.8514075086	EVS	reliable	-0.81	44.938	-0.283	44.938	7.5	3	35.3	1.322	2.322	2	5	1.809	0.75	2.539	17.6	0	0	1	3.302	2
Isosorbide-5-Mononitrate	O=[N+]([O-])OC1COC2C(O)COC12	OC1COC2C(COC12)O[N+]([O-])=O	1	0.9572833825	EVS	reliable	-0.912	9.185	-0.738	9.185	3	0	27.3	0.228	1.585	0	0	1.533	0.231	3.104	4.5	0	0	0	3.623	0
Metrizoate	O=C(O)c1c(c(NC(=O)C)c(c(c1I)N(C(=O)C)C)I)I	CN(C(C)=O)C1=C(I)C(C([O-])=O)=C(I)C(NC(C)=O)=C1I	1	0.7745612322	EVS	reliable	0.938	55.849	2.993	55.849	11.5	6	38.7	1.504	2.807	0	6	1.913	0.548	3.364	6.5	0	-1	0	10.692	0
Flucytosine	O=C1NC=C(F)C(=N)N1	NC1=NC(=O)NC=C1F	1	0.9254247076	EVS	reliable	-1.079	24.772	0.172	24.772	4.5	0	30.8	0.878	2	0	0	1.638	0.5	2.6	23.1	0	0	1	3.032	0
Hydroxyurea	ON=C(O)N	NC([O-])=[NH+]O	1	0.9324466685	EVS	reliable	-3.134	3.909	-1.453	3.909	1.5	0	11.1	0.318	1	0	0	1.312	0.3	0.322	22.2	1	0	2	2.484	0
Lisinopril	O=C(O)C(NC(C(=O)N1CCCC1(C(=O)O))CCCCN)CCc2ccccc2	[NH3+]CCCCC([NH2+]C(CCC1=CC=CC=C1)C([O-])=O)C(=O)N1CCCC1C([O-])=O	1	0.7740108838	EVS	reliable	-1.811	90.654	-6.258	90.654	10.5	13	35	0.96	2.807	11	6	1.9	0.362	3.406	5	2	0	2	3.819	5
Metformin	N=C(N=C(N)N(C)C)N	CN(C)C(N)=[NH+]C(N)=[NH2+]	1	0.9527233571	EVS	reliable	-3.644	20.591	-0.329	20.591	3	0	18.2	0.541	1.585	0	0	1.58	0.333	2.438	22.7	2	2	4	3.313	0
Netilmicin	OC3C(OC1OC(=CCC1(N))CN)C(N)CC(NCC)C3(OC2OCC(O)(C)C(NC)C2(O))	CC[NH2+]C1CC([NH3+])C(OC2OC(C[NH3+])=CCC2[NH3+])C(O)C1OC1OCC(C)(O)C([NH2+]C)C1O	1	0.636286029	EVS	reliable	-9.567	55.358	-20.975	55.358	1	5	26.6	0.249	1	1	0	1.864	0.03	3.232	6.3	5	5	5	3.796	0
