ID	CAS	NEUTRALIZED (Kekulized)_VEGA smiles	Set	Exp in Vivo MN
335	7085-85-0	N#CC(=C)C(=O)OCC	Training	0
336	14047-09-7	N(=Nc1ccc(c(c1)Cl)Cl)c2ccc(c(c2)Cl)Cl	Training	1
337	59-05-2	O=C(O)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3c(nc2)nc(nc3(N))N)C(=O)O	Training	1
338	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	0
340	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	1
341	33419-42-0	O=C5OCC6C(OC1OC2COC(OC2(C(O)C1(O)))C)c3cc7OCOc7(cc3C(c4cc(OC)c(O)c(OC)c4)C56)	Training	1
342	50-76-0	O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C	Training	1
343	924-42-5	O=C(C=C)NCO	Training	0
344	599-79-1	O=C(O)c3cc(N=Nc1ccc(cc1)S(=O)(=O)Nc2ncccc2)ccc3(O)	Training	1
345	78-79-5	C=CC(=C)C	Training	1
346	77-09-8	O=C3OC(c1ccc(O)cc1)(c2ccc(O)cc2)c4ccccc34	Training	1
347	71-43-2	c1ccccc1	Training	1
348	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	1
349	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	1
350	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	1
351	97-74-5	C(N(C)C)(=S)SC(N(C)C)=S	Training	1
352	106-92-3	O(CC=C)CC1OC1	Training	1
353	84-65-1	O=C1c3ccccc3(C(=O)c2ccccc12)	Training	1
354	75-27-4	C(Cl)(Cl)Br	Training	0
355	404-86-4	O=C(NCc1ccc(O)c(OC)c1)CCCCC=CC(C)C	Training	0
356	563-47-3	C=C(C)CCl	Training	0
357	95-83-0	Nc1ccc(cc1(N))Cl	Training	1
358	75-00-3	CCCl	Training	0
359	57-97-6	c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C	Training	1
360	106-89-8	O1CC1CCl	Training	0
361	106-88-7	O1CC1CC	Training	0
