id		smiles	status	exp values
47		O=C5OCC6C(OC1OC2COC(OC2(C(O)C1(N(C)C)))C)c3cc7OCOc7(cc3C(c4cc(OC)c(O)c(OC)c4)C56)	Test	0.114
48		C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C)))	Test	0.1183
49		OC(COc1cccc(c1)C)CNCCc2ccc(OC)c(OC)c2	Training	0.1225
50		O=C1Oc3ccccc3(C(O)=C1C(c2ccccc2)CC(=O)C)	Training	0.1225
51		Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Test	0.1265
52		Oc1c(cccc1C(C)C)C(C)C	Test	0.1265
53		O=C(c1ccccc1(OCC(O)CNC(C)(C)CC))CCc2ccccc2	Test	0.1304
54		O=C(N3CCN(C1=NC(=N)c2cc(OC)c(OC)cc2(N1))CC3)C4Oc5ccccc5(OC4)	Test	0.1304
55		O=C(O)c1ccc(cc1)CN3C(N=CC3(=CC(C(=O)O)Cc2cccs2))=CCCC	Test	0.1304
56		O(c3ccccc3(OC(c1ccccc1)C2OCCNC2))CC	Test	0.1378
57		O(c1ccccc1C)C(c2ccccc2)CCNC	Training	0.1414
58		OC(COc2cccc3[nH]c1ccccc1c23)CNCCOc4ccccc4(OC)	Training	0.1414
59		O=C(N)C(c1ccccc1)(c2ccccc2)C5CN(CCc3ccc4OCCc4(c3))CC5	Test	0.1414
60		N#CC(=Cc1cc(O)c(O)c(c1)[N+](=O)[O-])C(=O)N(CC)CC	Test	0.1414
61		O=C(NC1(OC3(O)(N(C1(=O))C(C(=O)N2CCCC23)Cc4ccccc4))C)C7=CC8c6cccc5[nH]cc(c56)CC8(N(C)C7)	Test	0.1414
62		O=S(c1nc2cc(OC(F)F)ccc2([nH]1))Cc3nccc(OC)c3(OC)	Test	0.1414
63		O=C(OC2CN1CCC2(CC1))N5CCc3ccccc3C5(c4ccccc4)	Test	0.1414
64		O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)C	Test	0.1517
65		O=C(O)CCC(NC(=O)c1ccc(c(c1)Cl)Cl)C(=O)N(CCCOC)CCCCC	Test	0.1549
66		O=C4NN=C(c1ccc2[nH]c(nc2(c1))c3ccc(OC)cc3)C(C)C4	Test	0.1549
67		O=C4CC3=CCC2C(CCC1(CC)(C2(CCC1(O)(C#C))))C3CC4	Test	0.1581
68		O=C(N)CC(NC(=O)c1nc2ccccc2(cc1))C(=O)NC(Cc3ccccc3)C(O)CN4CC5CCCCC5(CC4(C(=O)NC(C)(C)C))	Training	0.1673
69		c1ccc3c(c1)N(c2cc(ccc2CC3)Cl)CCCN(C)C	Test	0.1703
70		O=S(=O)(Nc4ccc(N=C1c3ccccc3(Nc2ccccc12))c(OC)c4)C	Test	0.1703
71		O=C2C=NC(c1ccccc1)c3cc(ccc3(N2))Cl	Test	0.1732
72		O=C(O)C4C=C3C=CC1C(CCC2(C)(C(C(=O)NC(C)(C)C)CCC12))C3(C)CC4	Test	0.1732
73		O=C(O)c2cc(NCCCC)c(Oc1ccccc1)c(c2)S(=O)(=O)N	Training	0.1761
74		O=C(N=C1C=C(ON1)C)C3C(=O)c2ccccc2S(=O)(=O)N3(C)	Training	0.1871
75		N#CC2=CC(c1ccncc1)=C(NC2(=O))C	Training	0.1871
76		Oc1ccc(cc1C(c2ccccc2)CCN(C(C)C)C(C)C)C	Test	0.1924
77		O=C(c1ccccc1(OCC(O)CNCCC))CCc2ccccc2	Training	0.1949
78		Oc7ccc6c2c7(OC3C1(OC)(CCC4(CC1(C(O)(C)C(C)(C)C))(C(N(CCC234)CC5CC5)C6)))	Test	0.2
79		O=C(OC)C3=C(N=C(C)C(C(=O)OC(C)C)C3(c2cccc1nonc12))C	Test	0.2
80		O=C(OC(C)(C)C)NC(c1ccccc1)C(O)C(=O)OC3CC4(O)(C(OC(=O)c2ccccc2)C5C6(OC(=O)C)(COC6(CC(O)C5(C(=O)C(=O)C(C3(C))C4(C)(C))(C))))	Training	0.2
81		O=C(O)CC(O)CC(O)CCC2C(C=CC1=CC(C)CC(OC(=O)C(C)CC)C12)C	Test	0.2074
82		O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2c(F)cccc2Cl)C3SC4(C)(C)	Test	0.2074
83		O=S(=O)([O-])CCCCN6c2ccc1ccccc1c2C(C6(=CC=CC=CC=CC5=[N+](c4ccc3ccccc3c4C5(C)C)CCCCS(=O)(=O)[O-]))(C)C	Test	0.2236
84		O=C1c3cc(c(cc3(NC(N1c2ccccc2C)C))Cl)S(=O)(=O)N	Test	0.2236
85		O=S(c1nc2cc(OC)ccc2([nH]1))Cc3ncc(c(OC)c3C)C	Test	0.2236
86		O=C1NC(=Nn2c(nc(c12)C)CCC)c3cc(ccc3(OCC))S(=O)(=O)N4CCN(CC)CC4	Test	0.2236
87		O=C(Nc3ccc(c(N=C1N=C(C=CN1)c2cnccc2)c3)C)c4ccc(cc4)CN5CCN(C)CC5	Test	0.2236
88		N=C3NC(=N)c1c(ccc(c1C)CNc2cc(OC)c(OC)c(OC)c2)N3	Test	0.2236
89		O=C1C=NC(c2cc(ccc2(N1))Cl)c3ccccc3Cl	Test	0.2258
90		c1ccc3c(c1)N(c2ccccc2CC3)CC(C)CN(C)C	Test	0.2258
91		O=C(O)C4=C(CSC1=NC(=O)C(=O)NN1C)CSC3N4(C(=O)C3(NC(=O)C(=NOC)C2=CSC(=N)N2))	Test	0.228
92		N=2c4cc(ccc4(Nc1ccccc1C=2N3CCN(C)CC3))Cl	Test	0.2345
93		O=C(Nc1c(cccc1C)C)C2N(CCCC)CCCC2	Training	0.2366
94		Oc1ccc4c(c1(O))c2cccc3c2C(N(C)CC3)C4	Test	0.2387
95		O=C3N(N=Cc1oc(cc1)c2ccc(cc2)Cl)C=C(O)N3CCCCN4CCN(C)CC4	Test	0.2449
96		O=C(NC(C1OC(C(O)C(O)C1(O))SC)C(C)Cl)C2N(C)CC(CCC)C2	Test	0.2449
97		O=C(c1occc1)N4CCN(C2=NC(=N)c3cc(OC)c(OC)cc3(N2))CC4	Training	0.2449
98		O=S2(=O)(N=C(Nc1ccc(cc12)Cl)C)	Training	0.2449
99		O=C1C=C(Oc2c1c(O)cc(O)c2C3CCN(C)CC3(O))c4ccccc4Cl	Training	0.2449
100		N#CC(c1ccccc1)(c2ccccc2)CCN4CCC(C(=O)N)(N3CCCCC3)CC4	Training	0.247
101		Oc1occ(c1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CCC67(C)))	Test	0.2569
102		O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C	Test	0.2608
103		O=C(O)C5=C(CSc1nnnn1C)CSC4N5(C(=O)C4(NC(=O)C(NC(=O)N2C(=O)C(=O)N(CC)CC2)c3ccc(O)cc3))	Test	0.2646
104		c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3	Test	0.2646
105		n2ccc1cc(OC)c(OC)cc1c2Cc3ccc(OC)c(OC)c3	Training	0.2702
106		O=C(C)C3(O)(C=C(OC1OC(C)C(O)C(N)C1)c2c(O)c4c(O)c5ccccc5(c(O)c4(c(O)c2C3)))	Test	0.2757
107		O=C(c1ccc(F)cc1)CCCN3CCC(O)(c2ccc(cc2)Cl)CC3	Test	0.2828
108		O=C(N3CCN(C1=NC(=N)c2cc(OC)c(OC)cc2(N1))CC3)C4OCCC4	Training	0.2828
109		O=C(O)CC3NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CCCCCCCCC)Cc2c[nH]c1ccccc12)CC(=O)N)CC(=O)O)C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3(=O))CO)C(C)CC(=O)O)CC(=O)c4ccccc4(N))C)CCCN)CC(=O)O)C	Test	0.2881
110		O=C(O)C(CCC)CCC	Test	0.2898
111		O=C1N(N=NN1CCN3CCC(N(C(=O)CC)c2ccccc2)(COC)CC3)CC	Test	0.2933
112		O=C(N=C1Nc2ccc(cc2(N1))C(=O)c3ccccc3)OC	Training	0.2933
113		O=CN1C=3C(=O)NC(=N)NC=3(NCC1CNc2ccc(cc2)C(=O)NC(C(=O)O)CCC(=O)O)	Test	0.295
114		Fc4ccc(N=C2N=CNc3cc(OC)c(OCCCN1CCOCC1)cc23)cc4Cl	Test	0.2983
115		O=C2Nc1ccc(cc1C(NC2(=O))c3ccccc3Cl)Cl	Training	0.3
116		O=C(OC4CC6CCC1C(CCC2(C)(C(OC(=O)C)C(CC12)[N+]3(C)(CCCCC3)))C6(C)(CC4[N+]5(C)(CCCCC5)))C	Test	0.3
