ID	CAS	SMILES	Status	Exp_class
342	54-31-9	O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N	Test	0
343	23255-69-8	O=C(OC2C(O)C4OC1C=C(C(=O)C(O)C1(CO)C2(C)C34(OC3))C)C	Training	0
344	149-91-7	O=C(O)c1cc(O)c(O)c(O)c1	Training	0
345	35449-36-6	OCC(C)(C)CCCCCCC(C)(C)CO	Training	0
346	25812-30-0	O=C(O)C(C)(C)CCCOc1cc(ccc1C)C	Training	0
347	67730-11-4	n1c(N)ccc2nc3c(cccn3(c12))C	Training	1
348	67730-10-3	n2c(N)ccc3nc1ccccn1c23	Test	1
349	96-24-2	OCC(O)CCl	Test	0
350	765-34-4	O=CC1OC1	Training	0
351	556-52-5	OCC1OC1	Training	1
352	56-40-6	O=C(O)CN	Training	1
353	471-53-4	O=C(O)C4(C)(CCC5(C)(CCC2(C(=CC(=O)C1C3(C)(CCC(O)C(C)(C)C3(CCC12(C))))C5(C4))(C)))	Training	0
354	517-28-2	Oc4ccc2c(OCC3(O)(Cc1cc(O)c(O)cc1C23))c4(O)	Training	1
355	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	0
356	1121-92-2	N1CCCCCCC1	Training	0
357	111-68-2	NCCCCCCC	Test	0
358	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Training	1
359	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	1
360	319-84-6	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	1
361	77-47-4	C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Training	0
362	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	1
363	70-30-4	Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	0
364	100-97-0	N12(CN3CN(C1)CN(C2)C3)	Training	0
365	531-18-0	OCN(c1nc(nc(n1)N(CO)CO)N(CO)CO)CO	Training	1
366	680-31-9	O=P(N(C)C)(N(C)C)N(C)C	Training	1
367	628-02-4	O=C(N)CCCCC	Training	0
368	148081-72-5	Oc1c(cc(OCCCCCC)c(c1C)C)C	Training	0
369	18774-85-1	O=NN(C(=O)N)CCCCCC	Training	1
370	136-77-6	Oc1ccc(c(O)c1)CCCCCC	Training	0
371	26049-71-8	n1c(csc1NN)c2ccc(N)cc2	Test	1
372	26049-68-3	O=[N+]([O-])c1oc(cc1)c2nc(NN)sc2	Test	1
373	26049-70-7	O=[N+]([O-])c1ccc(cc1)c2nc(NN)sc2	Training	1
374	34176-52-8	n1c(csc1NN)c2ccccc2	Training	0
375	122-66-7	c1ccc(cc1)NNc2ccccc2	Training	1
376	306-83-2	FC(F)(F)C(Cl)Cl	Training	1
377	58-93-5	O=S(=O)(N)c1cc2c(cc1Cl)NCNS2(=O)(=O)	Training	0
378	50-23-7	O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Training	0
379	4463-22-3	O=C(N(O)c1ccc(cc1)c2ccccc2)C	Training	0
380	53-95-2	O=C(N(O)c2ccc3c1ccccc1Cc3(c2))C	Training	1
381	4363-03-5	Oc1cc(ccc1(N))c2ccccc2	Training	0
382	129-43-1	O=C1c3ccccc3(C(=O)c2c(O)cccc12)	Training	1
383	5036-03-3	O=C2N(N=Cc1oc(cc1)[N+](=O)[O-])CCN2CCO	Training	1
384	96724-45-7	O=NN(C(=O)NCC)CCO	Training	1
385	13743-07-2	O=NN(C(=O)N)CCO	Test	1
386	33389-36-5	O=[N+]([O-])c3ccc(c2nc1ccccc1c(n2)NCCO)s3	Training	1
387	71752-70-0	O=NN(C(=O)N)CCCO	Training	1
388	148-24-3	Oc1cccc2cccnc12	Test	0
389	5208-87-7	OC(C=C)c1ccc2OCOc2(c1)	Training	1
390	15687-27-1	O=C(O)C(c1ccc(cc1)CC(C)C)C	Training	0
391	21416-87-5	O=C1NC(=O)CN(C1)CC(N2CC(=O)NC(=O)C2)C	Training	1
392	84545-30-2	O=C(N)CCCCn1nc(cc1)NC(=NCC(F)(F)F)N	Training	1
393	100643-96-7	O=C3NN=C(c1ccc2NC(=O)C(c2(c1))(C)C)CC3	Training	1
394	53-86-1	O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C	Training	1
395	144-48-9	O=C(N)CI	Training	0
396	75-47-8	C(I)(I)I	Training	0
397	76180-96-6	n1cccc3c1ccc2c3(nc(N)n2C)	Test	1
398	15503-86-3	O=C1OC2CC[N+]3([O-])(CC=C(COC(=O)C(O)(CO)C(C)CC1(=CC))C23)	Training	1
399	115-11-7	C=C(C)C	Test	1
400	542-56-3	O=NOCC(C)C	Training	1
401	5461-85-8	O=NN(C(=N[N+](=O)[O-])N)CC(C)C	Training	0
402	86315-52-8	O=S(c3ccc(c1nc2ccncc2([nH]1))c(OC)c3)C	Training	1
403	54-85-3	O=C(NN)c1ccncc1	Training	1
404	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	1
405	3778-73-2	O=P1(OCCCN1(CCCl))(NCCCl)	Training	1
406	67-63-0	OC(C)C	Training	0
407	101-21-3	O=C(OC(C)C)Nc1cccc(c1)Cl	Training	0
408	520-18-3	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3	Training	0
409	143-50-0	O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	1
410	22071-15-4	O=C(O)C(c1cccc(c1)C(=O)c2ccccc2)C	Training	0
411	303-34-4	O=C(OC2CCN1CC=C(COC(=O)C(O)(C(OC)C)C(O)(C)C)C12)C(=CC)C	Training	1
412	5989-27-5	C=C(C)C1CC=C(C)CC1	Training	1
413	434-13-9	O=C(O)CCC(C)C2CCC3C4CCC1CC(O)CCC1(C)C4(CCC23(C))	Training	0
414	50264-69-2	O=C(O)c1nn(c2ccccc12)Cc3ccc(cc3Cl)Cl	Training	0
415	70374-39-9	O=C2C(=C(O)Nc1ncccc1)N(C)S(=O)(=O)c3cc(Cl)sc23	Test	0
416	75330-75-5	O=C3OC(CCC2C(C=CC1=CC(C)CC(OC(=O)C(C)CC)C12)C)CC(O)C3	Test	0
417	76956-02-0	OCc3nc(NCCCOc1cccc(c1)CN2CCCCC2)n(n3)C	Training	1
418	1634-78-2	O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC	Training	0
419	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Test	0
420	123-33-1	O=C1C=CC(=O)NN1	Training	0
421	69-65-8	OCC(O)C(O)C(O)C(O)CO	Training	0
422	576-68-1	OC(CNCCCl)C(O)C(O)C(O)CNCCCl	Training	0
423	77500-04-0	n1cc(nc3c1ccc2c3(nc(N)n2C))C	Training	1
424	108-78-1	n1c(nc(nc1N)N)N	Training	1
425	71125-38-7	O=C2c1ccccc1S(=O)(=O)N(C2=C(O)Nc3ncc(C)s3)C	Test	0
426	148-82-3	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	Training	1
427	89-78-1	OC1CC(C)CCC1(C(C)C)	Training	0
428	67-98-1	OC(c1ccccc1)(c2ccc(OCCN(CC)CC)cc2)Cc3ccc(OC)cc3	Training	0
429	149-30-4	c1ccc2c(c1)NC(=S)S2	Training	1
430	50-44-2	n1c[nH]c2c1NC=NC2=S	Training	0
431	57-39-6	O=P(N1CC1C)(N2CC2C)N3CC3C	Training	1
432	531-06-6	n1ccccc1N(Cc2occc2)CCN(C)C	Test	0
433	493-78-7	c1ccc(cc1)N(Cc2cccs2)CCN(C)C	Training	0
434	60-56-0	C1=CN(C(N1)=S)C	Training	1
435	59-51-8	O=C(O)C(N)CCSC	Training	0
436	59-05-2	O=C(O)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3c(nc2)nc(nc3(N))N)C(=O)O	Test	0
437	5834-17-3	o2c1ccccc1c3cc(OC)c(N)cc23	Test	1
438	934-00-9	Oc1cccc(OC)c1(O)	Training	1
439	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Test	0
440	150-76-5	Oc1ccc(OC)cc1	Training	1
441	298-81-7	O=C1Oc2c(OC)c3occc3(cc2(C=C1))	Training	1
442	57497-34-4	[O-][N+](=NCC)C	Training	1
443	74-83-9	CBr	Training	0
444	1634-04-4	O(C)C(C)(C)C	Training	1
445	598-55-0	O=C(OC)N	Training	1
446	6294-89-9	O=C(OC)NN	Training	0
447	21340-68-1	O=C(OC)C(Oc1ccc(cc1)c2ccc(cc2)Cl)(C)C	Training	1
448	55-80-1	N(=Nc1cccc(c1)C)c2ccc(cc2)N(C)C	Training	1
449	99-80-9	O=Nc1ccc(cc1)N(N=O)C	Training	1
450	27323-65-5	O=C(OC)CCCCCCCC=CC=CC(OO)CCCCC	Training	0
451	112-63-0	O=C(OC)CCCCCCCC=CCC=CCCCCC	Test	0
452	80-62-6	O=C(OC)C(=C)C	Training	0
453	70-25-7	O=NN(C(=N[N+](=O)[O-])N)C	Training	1
454	129-15-7	O=C2c3ccccc3(C(=O)c1c2(ccc(c1[N+](=O)[O-])C))	Training	1
455	21638-36-8	O=C2NC(C)CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	1
456	63412-06-6	O=NN(C(=O)c1ccccc1)C	Training	1
457	63642-17-1	O=NN(C(=O)NCCCC(N)C(=O)O)C	Training	1
458	14026-03-0	O=NN1CCCCC1C	Training	1
459	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Training	0
460	872-50-4	O=C1N(C)CCC1	Training	0
461	98-85-1	OC(c1ccccc1)C	Training	1
462	452-86-8	Oc1ccc(cc1(O))C	Training	1
463	56-49-5	c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C)	Training	1
464	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	1
465	838-88-0	Nc1ccc(cc1C)Cc2ccc(N)c(c2)C	Training	1
466	75-09-2	C(Cl)Cl	Test	1
467	101-61-1	c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C	Test	1
468	119-47-1	Oc1c(cc(cc1C(C)(C)C)C)Cc2cc(cc(c2(O))C(C)(C)C)C	Training	0
469	471-29-4	N(=C(N)N)C	Test	0
470	578-76-7	O=C1N=C(N)Nc2ncn(c12)C	Test	0
471	95-71-6	Oc1ccc(O)c(c1)C	Test	0
472	598-57-2	O=[N+]([O-])CN	Training	1
473	76014-81-8	O=NN(C)CCCC(O)c1cnccc1	Training	1
474	64091-91-4	O=NN(C)CCCC(=O)c1cnccc1	Training	1
475	33868-17-6	N#CN(N=O)C	Training	1
476	924-42-5	O=C(C=C)NCO	Training	0
477	91-62-3	n1cccc2cc(ccc12)C	Training	0
478	611-32-5	n1cccc2cccc(c12)C	Training	0
479	5800-19-1	N=2c1ccccc1Sc4ccc(cc4(C=2N3CCN(C)CC3))C	Training	0
480	443-48-1	O=[N+]([O-])c1cnc(n1CCO)C	Test	1
481	315-18-4	O=C(Oc1cc(c(c(c1)C)N(C)C)C)NC	Training	0
482	90-94-8	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	1
483	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Test	1
484	39801-14-4	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)	Training	1
485	59122-46-2	O=C(OC)CCCCCCC1C(=O)CC(O)C1(C=CCC(O)(C)CCCC)	Training	0
486	50-07-7	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Training	1
487	79-11-8	O=C(O)CCl	Training	0
488	315-22-0	O=C1OC3CCN2CC=C(COC(=O)C(O)(C)C(O)(C)C1C)C23	Test	1
489	58139-48-3	O=[N+]([O-])c4ccc(c2nc1ccccc1c(n2)N3CCOCC3)s4	Test	1
490	55-98-1	O=S(=O)(OCCCCOS(=O)(=O)C)C	Training	0
491	3771-19-5	O=C(O)C(Oc1ccc(cc1)C3c2ccccc2CCC3)(C)C	Training	1
492	389-08-2	O=C(O)C1=CN(c2nc(ccc2(C1(=O)))C)CC	Training	1
493	2243-62-1	Nc1cccc2c(N)cccc12	Training	1
494	91-59-8	Nc1ccc2ccccc2(c1)	Training	1
495	77191-36-7	O=C(Nc1c(cccc1C)C)CN2C(=O)CCC2	Training	0
496	54-11-5	n1cccc(c1)C2N(C)CCC2	Training	0
497	139-94-6	O=C(Nc1ncc([N+](=O)[O-])s1)NCC	Training	1
498	139-13-9	O=C(O)CN(CC(=O)O)CC(=O)O	Training	1
499	1777-84-0	O=C(Nc1ccc(OCC)c(c1)[N+](=O)[O-])C	Training	0
500	99-59-2	O=[N+]([O-])c1ccc(OC)c(N)c1	Training	1
501	59-87-0	O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-]	Training	1
502	772-43-0	O=[N+]([O-])c1oc(cc1)C(=NO)N	Training	0
503	92-55-7	O=C(OC(OC(=O)C)c1oc(cc1)[N+](=O)[O-])C	Training	0
504	75198-31-1	O=[N+]([O-])c1oc(cc1)c3cnc2ccccn23	Training	1
505	2122-86-3	O=C1OC(=NN1)c2oc(cc2)[N+](=O)[O-]	Training	1
506	36133-88-7	O=C(NCc1nc(no1)c2oc(cc2)[N+](=O)[O-])C	Test	1
507	2578-75-8	O=C(Nc2nnc(c1oc(cc1)[N+](=O)[O-])s2)C	Training	1
508	53757-28-1	O=[N+]([O-])c1oc(cc1)c2ncsc2	Test	1
509	531-82-8	O=C(Nc1nc(cs1)c2oc(cc2)[N+](=O)[O-])C	Training	1
510	24554-26-5	O=CNc1nc(cs1)c2oc(cc2)[N+](=O)[O-]	Training	1
511	51325-35-0	O=C(Nc1nc(nc(n1)c2oc(cc2)[N+](=O)[O-])NC(=O)C)C	Test	1
512	4812-22-0	O=[N+]([O-])C(=CCC)CC	Training	1
513	5307-14-2	O=[N+]([O-])c1cc(N)ccc1(N)	Test	0
514	99-56-9	O=[N+]([O-])c1ccc(N)c(N)c1	Training	0
515	99-55-8	O=[N+]([O-])c1ccc(c(N)c1)C	Training	0
516	602-87-9	O=[N+]([O-])c3ccc2c1c3(cccc1CC2)	Test	1
517	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Training	0
518	91-23-6	O=[N+]([O-])c1ccccc1(OC)	Training	1
519	619-17-0	O=C(O)c1ccc(cc1(N))[N+](=O)[O-]	Training	0
520	98-95-3	O=[N+]([O-])c1ccccc1	Training	1
521	94-52-0	O=[N+]([O-])c1ccc2nc[nH]c2(c1)	Training	0
522	62-23-7	O=C(O)c1ccc(cc1)[N+](=O)[O-]	Test	1
523	627-05-4	O=[N+]([O-])CCCC	Training	0
524	600-24-8	O=[N+]([O-])C(C)CC	Training	1
525	79-24-3	O=[N+]([O-])CC	Test	0
526	1836-75-5	O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)Cl)cc2	Training	1
527	607-57-8	O=[N+]([O-])c2ccc3c1ccccc1Cc3(c2)	Training	1
528	67-20-9	O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	1
529	555-84-0	O=C2NCCN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	1
530	51-75-2	N(C)(CCCl)CCCl	Test	1
531	75-52-5	O=[N+]([O-])C	Training	1
532	86-57-7	O=[N+]([O-])c2cccc1ccccc12	Training	0
533	551-88-2	O=[N+]([O-])C(CC)CC	Training	1
534	108-03-2	O=[N+]([O-])CCC	Training	0
535	79-46-9	O=[N+]([O-])C(C)C	Test	0
536	504-88-1	O=C(O)CC[N+](=O)[O-]	Training	0
537	5522-43-0	O=[N+]([O-])c4ccc1ccc2cccc3ccc4(c1c23)	Training	1
538	613-50-3	O=[N+]([O-])c1ccc2ncccc2(c1)	Test	0
539	607-35-2	O=[N+]([O-])c2cccc1cccnc12	Training	1
540	38777-13-8	O=NN(C(=O)Oc1ccccc1(OC(C)C))C	Training	1
541	83335-32-4	O=NN(CCCC(F)(F)F)CCCC(F)(F)F	Training	1
542	62641-67-2	O=NN1C(=O)NC(=O)C(C)C1	Training	0
543	16813-36-8	O=NN1C(=O)NC(=O)CC1	Training	1
544	89911-79-5	O=NN(CC(O)C)CC(O)CO	Training	1
545	92177-50-9	O=NC(O)C(O)CNCC(=O)C	Training	1
546	89911-78-4	O=NN(CCO)CC(O)CO	Training	1
547	61034-40-0	O=NN2CC(N(C(=O)c1ccccc1)C(C)C2)C	Training	1
548	96806-34-7	O=NN(C(=O)NCCCl)CCO	Test	1
549	67587-52-4	O=NN1CCOC(O)C1	Test	0
550	96806-35-8	O=NN(C(=O)NCCCl)CC(O)C	Training	1
551	56222-35-6	O=NN(CCO)CC(O)C	Test	1
552	75896-33-2	O=NN1CCC(O)C1	Training	1
553	760-60-1	O=NN(C(=O)N)CC(C)C	Test	1
554	55090-44-3	O=NN(C)CCCCCCCCCCCC	Training	1
555	937-25-7	O=NN(c1ccc(F)cc1)C	Training	1
556	943-41-9	O=NN(c1ccc(cc1)[N+](=O)[O-])C	Training	0
557	13256-11-6	O=NN(C)CCc1ccccc1	Test	1
558	75881-20-8	O=NN(C)CCCCCCCCCCCCCC	Training	1
559	75881-22-0	O=NN(C)CCCCCCCCCC	Training	1
560	684-93-5	O=NN(C(=O)N)C	Training	1
561	38347-74-9	O=NN1C(=O)OCC1	Training	1
562	92177-49-6	O=NC(=O)CCNCCO	Test	1
563	15973-99-6	O=NN1CN(N=O)CCC1	Training	1
564	55556-92-8	O=NN1CC=CCC1	Training	1
565	82018-90-4	O=NN(CC)CC(F)(F)F	Training	1
566	75881-18-4	O=NN1CC(N(C)C(C)C1)C	Training	1
567	88208-16-6	O=NN(CC=C)CC(O)CO	Training	1
568	91308-70-2	O=NN(CC=C)CC(O)C	Training	1
569	91308-71-3	O=NN(CC=C)CC(=O)C	Test	1
570	91308-69-9	O=NN(CC=C)CCO	Training	1
571	64005-62-5	O=NN(C(=O)OCC)CCCCC	Test	1
572	1133-64-8	O=NN2CCCCC2(c1cnccc1)	Test	1
573	51542-33-7	O=NN(C(=O)Nc2nc1ccccc1s2)C	Training	1
574	53609-64-6	O=NN(CC(O)C)CC(O)C	Training	1
575	60599-38-4	O=NN(CC(=O)C)CC(=O)C	Training	1
576	625-89-8	O=NN(CC(F)(F)F)CC(F)(F)F	Test	0
577	73785-40-7	N#CNC(=NCCSCc1nc[nH]c1C)N(N=O)C	Test	0
578	924-16-3	O=NN(CCCC)CCCC	Training	1
579	1116-54-7	O=NN(CCO)CCO	Training	1
580	55-18-5	O=NN(CC)CC	Training	1
581	62-75-9	O=NN(C)C	Training	1
582	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	1
583	156-10-5	O=Nc1ccc(cc1)Nc2ccccc2	Training	1
584	621-64-7	O=NN(CCC)CCC	Training	1
585	114282-83-6	O=NN1CSCSC1	Training	0
586	40580-89-0	O=NN1CCCCCCCCCCCC1	Training	1
587	17608-59-2	O=NN(C)C(C)C(O)c1ccccc1	Training	1
588	10595-95-6	O=NN(C)CC	Training	1
589	614-95-9	O=NN(C(=O)OCC)CC	Training	1
590	55557-02-3	O=NN1CC(=CCC1)C(=O)OC	Training	0
591	20917-49-1	O=NN1CCCCCCC1	Training	1
592	42579-28-2	O=NN1C(=O)NC(=O)C1	Test	1
593	30310-80-6	O=NN1CC(O)CC1(C(=O)O)	Training	0
594	25081-31-6	O=NN(CC(=O)O)CC(=O)O	Training	0
595	86451-37-8	O=NN(C)CC(O)CO	Training	1
596	26921-68-6	O=NN(C)CCO	Training	1
597	70415-59-7	O=NN(C)CCCO	Training	1
598	55984-51-5	O=NN(C)CC(=O)C	Training	1
599	16219-98-0	O=NN(c1ncccc1)C	Training	1
600	69658-91-9	O=NN(c1cnccc1)C	Training	0
601	16219-99-1	O=NN(c1ccncc1)C	Training	0
602	614-00-6	O=NN(c1ccccc1)C	Training	1
603	68107-26-6	O=NN(C)CCCCCCCCCCC	Training	1
604	59-89-2	O=NN1CCOCC1	Training	1
605	78246-24-9	O=NN2CCCC2(c1ccc[n+]([O-])c1)	Training	1
606	4515-18-8	O=NN1CCCCC1(C(=O)O)	Training	0
607	5632-47-3	O=NN1CCNCC1	Test	1
608	100-75-4	O=NN1CCCCC1	Test	1
609	7519-36-0	O=NN1CCCC1(C(=O)O)	Test	0
610	930-55-2	O=NN1CCCC1	Training	1
611	81795-07-5	O=NN1C(C)SC(C)SC1C	Training	1
612	26541-51-5	O=NN1CCSCC1	Test	1
613	611-23-4	O=Nc1ccccc1C	Test	1
614	244-63-3	n1ccc3c(c1)[nH]c2ccccc23	Training	0
615	303-47-9	O=C1OC(C)Cc2c1c(O)c(cc2Cl)C(=O)NC(C(=O)O)Cc3ccccc3	Training	1
616	29082-74-4	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C(=C(Cl)Cl)Cl	Training	0
617	64224-21-1	n1ccnc(c1)C2=C(C(=S)SS2)C	Training	0
618	73590-58-6	O=S(c1nc2ccc(OC)cc2([nH]1))Cc3ncc(c(OC)c3C)C	Test	1
619	23135-22-0	O=C(ON=C(C(=O)N(C)C)SC)NC	Training	0
620	604-75-1	O=C1Nc3ccc(cc3(C(=NC1(O))c2ccccc2))Cl	Training	0
621	3096-50-2	O=C2c1ccccc1c3ccc(cc23)NC(=O)C	Training	1
622	14698-29-4	O=C(O)C1=CN(c2cc3OCOc3(cc2(C1(=O))))CC	Training	1
623	110559-85-8	O=NN(C(=O)NCCCl)CC(=O)C	Training	0
624	89837-93-4	O=NN(C(=O)N)CC(=O)C	Training	0
625	30418-53-2	O=C(C=C)c1ccc2OCOc2(c1)	Training	0
626	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	1
627	13752-51-7	O2CCN(C(=S)SN1CCOCC1)CC2	Training	1
628	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	0
629	149-29-1	O=C1OC2=CCOC(O)C2(=C1)	Training	0
630	1825-21-4	O(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C	Training	1
631	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	0
632	13010-10-1	O=NN(C(=N[N+](=O)[O-])N)CCCCC	Test	0
633	60102-37-6	O=C2OCC3=CCN(C)CCC(OC(=O)C1(OC1(C))(CC(C)C2(O)C))C3(=O)	Test	1
634	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	1
635	60-80-0	O=C1C=C(N(N1c2ccccc2)C)C	Training	1
636	3546-10-9	O=C(OC4CC3=CCC1C(CCC2(C)(C(CCC12)C(C)CCCC(C)C))C3(C)CC4)Cc5ccc(cc5)N(CCCl)CCCl	Training	1
637	2257-09-2	C(=NCCc1ccccc1)=S	Training	0
638	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Test	0
639	108-95-2	Oc1ccccc1	Training	0
640	77-09-8	O=C3OC(c1ccc(O)cc1)(c2ccc(O)cc2)c4ccccc34	Training	1
641	7227-91-0	N(=NN(C)C)c1ccccc1	Training	1
642	89-25-8	O=C1N(N=C(C)C1)c2ccccc2	Test	0
643	135-88-6	c1ccc(cc1)Nc2ccc3ccccc3(c2)	Training	0
644	89667-40-3	O=C(O)CCCCC=C(c1cnccc1)c2ccccc2	Training	0
645	103-85-5	NC(Nc1ccccc1)=S	Training	0
646	842-07-9	O=C3C=Cc1ccccc1C3(=NNc2ccccc2)	Training	1
647	50-33-9	O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCCC	Training	1
648	106-50-3	Nc1ccc(N)cc1	Training	0
649	71835-85-3	O=C(OCCc1ccccc1)C=Cc2ccc(O)c(OC)c2	Training	0
650	122-60-1	O(c1ccccc1)CC2OC2	Training	1
652	90-43-7	Oc1ccccc1c2ccccc2	Test	1
653	88-96-0	O=C(N)c1ccccc1(C(=O)N)	Training	0
654	85-44-9	O=C1OC(=O)c2ccccc12	Training	0
655	1918-02-1	O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl	Test	0
656	92-13-7	O=C2OCC(Cc1cncn1C)C2CC	Training	0
657	7681-93-8	O=C2OC(C)CC=CC=CC=CC=CC(OC1OC(C)C(O)C(N)C1(O))CC4OC(O)(CC(O)CC3OC3(C=C2))CC(O)C4(C(=O)O)	Training	0
658	110-85-0	N1CCNCC1	Training	0
659	110-89-4	N1CCCCC1	Training	0
660	51-03-6	O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC	Test	1
661	120-62-7	O=S(CCCCCCCC)C(C)Cc1ccc2OCOc2(c1)	Training	0
662	36322-90-4	O=C2c1ccccc1S(=O)(=O)N(C2=C(O)Nc3ncccc3)C	Training	0
663	1955-45-9	O=C1OCC1(C)C	Training	1
664	6673-35-4	O=C(Nc1ccc(OCC(O)CNC(C)C)cc1)C	Training	0
665	2955-38-6	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)CC4CC4	Training	0
666	55268-74-1	O=C4N2CCc1ccccc1C2CN(C(=O)C3CCCCC3)C4	Test	0
667	29069-24-7	O=C1C=CC4(C(=C1)CCC3C5CCC(O)(C(=O)COC(=O)CCCc2ccc(cc2)N(CCCl)CCCl)C5(C)(CC(O)C34))(C)	Training	1
668	50-24-8	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	Training	1
669	57-66-9	O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC	Training	0
670	671-16-9	O=C(NC(C)C)c1ccc(cc1)CNNC	Training	1
671	1120-71-4	O=S1(=O)(OCCC1)	Test	1
672	57-57-8	O=C1OCC1	Test	1
673	121-79-9	O=C(OCCC)c1cc(O)c(O)c(O)c1	Training	0
674	13010-07-6	O=NN(C(=N[N+](=O)[O-])N)CCC	Training	1
675	816-57-9	O=NN(C(=O)N)CCC	Training	1
676	115-07-1	C=CC	Training	0
677	57-55-6	OCC(O)C	Training	0
678	75-56-9	O1CC1C	Training	1
679	51-52-5	O=C1C=C(NC(N1)=S)CCC	Training	1
680	1508-45-8	O=C(NNCC)C3C(c1cc(OC)c(OC)c(OC)c1)c2cc4OCOc4(cc2C(O)C3(CO))	Training	0
681	99-50-3	O=C(O)c1ccc(O)c(O)c1	Training	0
682	81-54-9	O=C1c3ccccc3(C(=O)c2c(O)c(O)cc(O)c12)	Test	1
683	98-96-4	O=C(N)c1nccnc1	Training	0
684	58-14-0	n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N	Test	0
685	105-11-3	O=Nc1ccc(cc1)NO	Test	1
686	2425-85-6	O=C3C=Cc1ccccc1C3(=NNc2ccc(cc2[N+](=O)[O-])C)	Test	1
687	6471-49-4	O=C(Nc1cccc(c1)[N+](=O)[O-])C3=Cc4ccccc4(C(=NNc2cc(ccc2(OC))[N+](=O)[O-])C3(=O))	Training	0
688	2871-01-4	O=[N+]([O-])c1cc(N)ccc1(NCCO)	Training	0
689	50-55-5	O=C(OC3CC4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Test	1
690	108-46-3	Oc1cccc(O)c1	Training	0
691	302-79-4	O=C(O)C=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C	Training	0
