ID	CAS	SMILES	Status	Exp_class
80	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	1
81	271-89-6	o1ccc2ccccc12	Training	1
82	91-76-9	n1c(nc(nc1N)c2ccccc2)N	Training	0
83	65-85-0	O=C(O)c1ccccc1	Test	0
84	119-53-9	O=C(c1ccccc1)C(O)c2ccccc2	Training	0
85	95-14-7	n1[nH]nc2ccccc12	Training	0
86	140-11-4	O=C(OCc1ccccc1)C	Training	0
87	100-51-6	OCc1ccccc1	Training	0
88	100-44-7	c1ccc(cc1)CCl	Training	0
89	120-32-1	Oc1ccc(cc1Cc2ccccc2)Cl	Training	0
90	622-78-6	C(=NCc1ccccc1)=S	Training	0
91	3012-37-1	N#CSCc1ccccc1	Training	0
92	14504-15-5	O=C(N)Cc1c([O-])on[n+]1Cc2ccccc2	Training	1
93	3296-90-0	OCC(CO)(CBr)CBr	Training	1
94	108-60-1	O(C(C)CCl)C(C)CCl	Training	0
95	542-88-1	O(CCl)CCl	Test	1
96	76150-91-9	n1cc(cc(c1Oc3ccc(Oc2ncc(cc2Cl)Cl)cc3)Cl)Cl	Training	0
97	33372-39-3	O=[N+]([O-])c3ccc(c2nc1ccccc1c(n2)N(CCO)CCO)s3	Training	1
98	58139-47-2	OCCN(c2nc(nc1ccccc12)c3cccs3)CCO	Training	0
99	110-97-4	OC(C)CNCC(O)C	Training	0
100	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	0
101	2475-45-8	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Test	1
102	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	1
103	33229-34-4	O=[N+]([O-])c1cc(ccc1(NCCO))N(CCO)CCO	Training	0
104	75-27-4	C(Cl)(Cl)Br	Training	1
105	74-96-4	CCBr	Test	1
106	51333-22-3	O=C1C=CC4(C(=C1)CCC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34))CCC)(C)	Training	1
107	106-99-0	C=CC=C	Training	1
108	75-65-0	OC(C)(C)C	Training	1
109	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Test	1
110	109-69-3	CCCCCl	Training	0
111	3817-11-6	O=NN(CCCC)CCCCO	Test	1
112	88-26-6	Oc1c(cc(cc1C(C)(C)C)CO)C(C)(C)C	Training	0
113	2409-55-4	Oc1ccc(cc1C(C)(C)C)C	Training	0
114	13010-08-7	O=NN(C(=N[N+](=O)[O-])N)CCCC	Training	0
115	869-01-2	O=NN(C(=O)N)CCCC	Test	1
116	128-37-0	Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C	Training	0
117	98-54-4	Oc1ccc(cc1)C(C)(C)C	Training	0
118	592-31-4	O=C(N)NCCCC	Training	0
119	3068-88-0	O=C1OC(C)C1	Training	1
120	96-48-0	O=C1OCCC1	Training	0
121	331-39-5	O=C(O)C=Cc1ccc(O)c(O)c1	Test	1
122	58-08-2	O=C2c1c(ncn1C)N(C(=O)N2C)C	Training	0
123	145040-37-5	O=C(OC(OC(=O)c2cccc1nc(OCC)n(c12)Cc3ccc(cc3)c5ccccc5(c4nn[nH]n4))C)OC6CCCCC6	Training	0
124	105-60-2	O=C1NCCCCC1	Training	0
125	2425-06-1	O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Training	1
126	63-25-2	O=C(Oc1cccc2ccccc12)NC	Test	1
127	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	1
128	60391-92-6	O=NN(C(=O)N)CC(=O)O	Training	1
129	77-65-6	O=C(N)NC(=O)C(CC)(CC)Br	Training	0
130	7235-40-7	C(=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C=C(C=CC=C(C=CC2=C(C)CCCC2(C)C)C)C	Training	0
131	120-80-9	Oc1ccccc1(O)	Test	1
132	56980-93-9	O=C(Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(=O)C)N(CC)CC	Training	0
133	133-90-4	O=C(O)c1cc(cc(N)c1Cl)Cl	Training	0
134	305-03-3	O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl	Training	1
135	56-75-7	O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	Training	0
136	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	0
137	115-28-6	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	1
138	101-79-1	O(c1ccc(N)cc1)c2ccc(cc2)Cl	Test	1
139	77439-76-0	O=C1OC(O)C(=C1Cl)C(Cl)Cl	Test	1
140	37087-94-8	O=C(O)c1cc(ccc1Cl)S(=O)(=O)N2CC(C)CC(C)C2	Training	1
141	97-00-7	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])Cl	Test	0
142	88-73-3	O=[N+]([O-])c1ccccc1Cl	Training	0
143	100-00-5	O=[N+]([O-])c1ccc(cc1)Cl	Training	0
144	5131-60-2	Nc1ccc(c(N)c1)Cl	Training	1
145	95-83-0	Nc1ccc(cc1(N))Cl	Training	1
146	95-74-9	Nc1ccc(c(c1)Cl)C	Training	0
147	95-79-4	Nc1cc(ccc1C)Cl	Training	0
148	75-88-7	FC(F)(F)CCl	Training	1
149	50892-23-4	O=C(O)CSc1nc(cc(n1)Cl)Nc2cccc(c2C)C	Training	1
150	65089-17-0	O=C(NCCO)CSc1nc(cc(n1)Cl)Nc2cccc(c2C)C	Training	1
151	532-27-4	O=C(c1ccccc1)CCl	Training	0
152	140-49-8	O=C(Nc1ccc(cc1)C(=O)CCl)C	Training	0
153	106-47-8	Nc1ccc(cc1)Cl	Training	0
154	2698-41-1	N#CC(C#N)=Cc1ccccc1Cl	Training	0
155	108-90-7	c1ccc(cc1)Cl	Training	1
156	510-15-6	O=C(OCC)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	0
157	124-48-1	C(Cl)(Br)Br	Training	0
158	75-45-6	FC(F)Cl	Test	0
159	75-00-3	CCCl	Test	0
160	593-70-4	FCCl	Test	1
161	107-30-2	O(C)CCl	Training	1
162	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Test	1
163	117279-73-9	n1nc4n(c1C)c3c(cc(CCc2ccc(cc2)CC(C)C)s3)C(=NC4C)c5ccccc5Cl	Test	0
164	10473-70-8	O=C(OC(C#C)(c1ccccc1)c2ccc(cc2)Cl)N	Training	1
165	2227-13-6	c1cc(ccc1Cl)Sc2cc(c(cc2Cl)Cl)Cl	Training	0
166	126-99-8	C=CC(=C)Cl	Training	1
167	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Training	1
168	54749-90-5	O=NN(C(=O)NC1C(O)OC(CO)C(O)C1(O))CCCl	Training	1
169	94-20-2	O=C(NCCC)NS(=O)(=O)c1ccc(cc1)Cl	Training	0
170	117-10-2	O=C1c3cccc(O)c3(C(=O)c2c(O)cccc12)	Test	1
171	51481-61-9	N#CNC(=NC)NCCSCc1nc[nH]c1C	Training	0
172	52214-84-3	O=C(O)C(Oc1ccc(cc1)C2CC2(Cl)Cl)(C)C	Training	1
173	77-92-9	O=C(O)CC(O)(C(=O)O)CC(=O)O	Training	0
174	518-75-2	O=C2C1=COC(C)C(C1=C(C(=O)C2(=C(O)O))C)C	Test	1
175	22494-47-9	O=C(O)C(OCc1ccc(cc1)c2ccc(cc2)Cl)(C)C	Training	0
176	637-07-0	O=C(OCC)C(Oc1ccc(cc1)Cl)(C)C	Training	1
177	76-57-3	OC1C=CC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4)	Training	0
178	477-30-5	O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC)	Training	0
179	65765-07-3	O=C3N=C(c1cccc(O)c1)c2ccc(cc2N3C(C)C)C	Training	0
180	56-72-4	O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C	Training	0
181	102-50-1	O(c1ccc(N)c(c1)C)C	Training	1
182	120-71-8	O(c1ccc(cc1(N))C)C	Training	1
183	123-73-9	O=CC=CC	Training	1
184	157480-33-6	N#CN=C(N)N	Training	0
185	31698-14-3	N=C1N=C2OC3C(O)C(OC3(N2(C=C1)))CO	Training	0
186	7585-39-9	OCC8OC7OC1C(O)C(O)C(OC1(CO))OC2C(O)C(O)C(OC2(CO))OC3C(O)C(O)C(OC3(CO))OC4C(O)C(O)C(OC4(CO))OC5C(O)C(O)C(OC5(CO))OC6C(O)C(O)C(OC6(CO))OC8(C(O)C7(O))	Training	0
187	108-94-1	O=C1CCCCC1	Test	0
188	1192-28-5	ON=C1CCCC1	Training	1
189	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	1
190	59865-13-3	O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C	Test	0
191	4342-03-4	O=C(N)C1=NC=NC1(=NNN(C)C)	Training	1
192	80-08-0	O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	Training	1
193	72-54-8	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	0
194	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	0
195	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Test	1
196	1163-19-5	O(c1c(c(c(c(c1Br)Br)Br)Br)Br)c2c(c(c(c(c2Br)Br)Br)Br)Br	Training	1
197	14484-47-0	O=C(OCC(=O)C35(N=C(OC5(CC2C4CCC1=CC(=O)C=CC1(C)C4(C(O)CC23(C))))C))C	Training	0
198	53-43-0	O=C2CCC3C4CC=C1CC(O)CCC1(C)C4(CCC23(C))	Training	1
199	853-23-6	O=C(OC3CC2=CCC1C4CCC(=O)C4(C)(CCC1C2(C)CC3))C	Test	1
