ID	CAS	SMILES VEGA	Status	Exp. endpoint
59	000058-00-4	O=C3c2c1cccc4c1c(cc2CCC3(O))N(C)CC4	Training	-0.1675
60	000058-08-2	O=C2c1c(ncn1C)N(C(=O)N2C)C	Training	0.6902
61	000058-14-0	n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N	Training	2.1461
62	000058-22-0	O=C4C=C3CCC1C(CCC2(C)(C(O)CCC12))C3(C)CC4	Training	0.2632
63	000058-25-3	ON3C=C(N=C1C=CC(=CC1=C3(c2ccccc2))Cl)NC	Training	0.9191
64	000058-32-2	OCCN(c3nc1c(nc(nc1N2CCCCC2)N(CCO)CCO)c(n3)N4CCCCC4)CCO	Training	-0.1761
65	000058-38-8	c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN4CCN(C)CC4	Training	0.9542
66	000058-39-9	OCCN1CCN(CC1)CCCN4c2ccccc2Sc3ccc(cc34)Cl	Training	0.9731
67	000058-40-2	c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C	Training	0.8976
68	000058-54-8	O=C(O)COc1ccc(C(=O)C(=C)CC)c(c1Cl)Cl	Training	0.1563
69	000058-55-9	O=C2c1[nH]cnc1N(C(=O)N2C)C	Training	0.8573
70	000058-73-1	O(CCN(C)C)C(c1ccccc1)c2ccccc2	Training	0.9685
71	000058-74-2	n2ccc1cc(OC)c(OC)cc1c2Cc3ccc(OC)c(OC)c3	Training	0.2553
72	000058-89-9	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	3.0728
73	000058-93-5	O=S(=O)(N)c1cc2c(cc1Cl)NCNS2(=O)(=O)	Training	1.0086
74	000059-42-7	Oc1cccc(c1)C(O)CNC	Training	0.4393
75	000059-46-1	O=C(OCCN(CC)CC)c1ccc(N)cc1	Training	-0.8917
76	000059-66-5	O=C(Nc1nnc(s1)S(=O)(=O)N)C	Training	1.1139
77	000059-87-0	O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-]	Training	0.699
78	000059-92-7	O=C(O)C(N)CC1=CC(=O)C(=O)CC1	Training	0.1139
79	000059-96-1	O(c1ccccc1)CC(N(Cc2ccccc2)CCCl)C	Training	1.3802
80	000060-32-2	O=C(O)CCCCCN	Training	0.6902
81	000060-56-0	C1=CN(C(N1)=S)C	Training	0.3802
