No.	CAS	SMILES VEGA	Status	Exp MOA
1006	119446-68-3	n1cnn(c1)CC2(OCC(O2)C)c4ccc(Oc3ccc(cc3)Cl)cc4Cl	Training	3
1007	60207-90-1	n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl	Training	3
1008	95-16-9	n1csc2ccccc12	Test	3
1009	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Test	3
1010	18854-01-8	n1oc(cc1OP(OCC)(OCC)=S)c2ccccc2	Training	0
1011	22439-40-3	n2c1ccccc1c(OP(OCC)(OCC)=S)cc2C	Training	0
1012	102-77-2	n2c1ccccc1sc2SN3CCOCC3	Training	3
1013	1776-83-6	n2cccc3cccc(OP(OCC)(c1ccccc1)=S)c23	Training	0
1014	2312-73-4	n3cnc1c(ncn1C2OCCCC2)c3NCc4ccccc4	Training	3
1015	271-89-6	o1ccc2ccccc12	Training	5
