Id	CAS number	VEGA SMILES	Status	Exp
1	115-19-5	C#CC(O)(C)C	Training	0
2	77-75-8	C#CC(O)(C)CC	Training	0
3	107-54-0	C#CC(O)(C)CC(C)C	Training	0
4	5877-42-9	C#CC(O)C(CC)CCCC	Training	0
5	818-72-4	C#CC(O)CCCCC	Training	0
6	78-27-3	C#CC1(O)(CCCCC1)	Training	0
7	72-33-3	C#CC3(O)(CCC2C4CCc1cc(OC)ccc1C4(CCC23(C)))	Training	0
8	14611-52-0	C#CCN(C)C(C)Cc1ccccc1	Training	0
9	17780-75-5	C#CCN(C)CCCOc1ccc(cc1Cl)Cl	Training	0
10	306-07-0	C#CCN(C)Cc1ccccc1	Training	0
11	107-19-7	C#CCO	Training	0
12	183321-74-6	C#Cc1cccc(c1)Nc3ncnc2cc(OCCOC)c(OCCOC)cc23	Training	0
13	107-40-4	C(=C(C)C)C(C)(C)C	Training	0
14	111-02-4	C(=C(C)C)CCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C	Training	0
15	513-37-1	C(=C(C)C)Cl	Training	0
16	926-57-8	C(=C(C)Cl)CCl	Training	0
17	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	0
18	563-58-6	C(=C(Cl)Cl)C	Training	0
19	16219-75-3	C(=C1CC2C=CC1C2)C	Training	0
20	673-84-7	C(=CC(=CC)C)C=C(C)C	Training	0
21	7235-40-7	C(=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C=C(C=CC=C(C=CC2=C(C)CCCC2(C)C)C)C	Training	0
22	821-06-7	C(=CCBr)CBr	Training	0
23	1476-11-5	C(=CCCl)CCl	Training	0
24	542-75-6	C(=CCl)CCl	Training	0
25	156-59-2	C(=CCl)Cl	Training	0
26	693-13-0	C(=NC(C)C)=NC(C)C	Training	0
27	556-61-6	C(=NC)=S	Training	0
28	505-79-3	C(=NCCCSC)=S	Training	0
29	622-78-6	C(=NCc1ccccc1)=S	Training	0
30	4044-65-9	C(=Nc1ccc(N=C=S)cc1)=S	Training	0
31	551-06-4	C(=Nc1cccc2ccccc12)=S	Training	0
32	103-72-0	C(=Nc1ccccc1)=S	Training	0
33	75-15-0	C(=S)=S	Training	0
34	3724-43-4	C(=[N+](C)C)Cl	Training	0
35	75-25-2	C(Br)(Br)Br	Training	0
36	74-95-3	C(Br)Br	Training	0
37	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	0
38	630-16-0	C(C(Br)(Br)Br)Br	Training	0
39	79-27-6	C(C(Br)Br)(Br)Br	Training	0
40	96-18-4	C(C(CCl)Cl)Cl	Training	0
41	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	0
42	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	0
43	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	0
44	79-00-5	C(C(Cl)Cl)Cl	Training	0
45	106-93-4	C(CBr)Br	Training	0
46	109-64-8	C(CBr)CBr	Training	0
47	107-04-0	C(CBr)Cl	Training	0
48	110-52-1	C(CCBr)CBr	Training	0
49	111-24-0	C(CCBr)CCBr	Training	0
50	6940-78-9	C(CCBr)CCl	Training	0
51	629-03-8	C(CCCBr)CCBr	Training	0
52	1191-62-4	C(CCCCS)CCCS	Training	0
53	2163-00-0	C(CCCCl)CCCl	Training	0
54	142-28-9	C(CCl)CCl	Training	0
55	107-06-2	C(CCl)Cl	Training	0
56	3570-55-6	C(CSCCS)S	Training	0
57	124-48-1	C(Cl)(Br)Br	Training	0
58	594-18-3	C(Cl)(Cl)(Br)Br	Training	0
59	75-62-7	C(Cl)(Cl)(Cl)Br	Training	0
60	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	0
61	594-42-3	C(Cl)(Cl)(Cl)SCl	Training	0
62	75-27-4	C(Cl)(Cl)Br	Training	0
63	67-66-3	C(Cl)(Cl)Cl	Training	0
64	74-97-5	C(Cl)Br	Training	0
65	75-47-8	C(I)(I)I	Training	0
66	136-30-1	C(N(CCCC)CCCC)(=S)S	Training	0
67	1634-02-2	C(N(CCCC)CCCC)(=S)SSC(N(CCCC)CCCC)=S	Training	0
68	13927-77-0	C(N(CCCC)CCCC)(=S)S[Ni]SC(N(CCCC)CCCC)=S	Training	0
69	6262-42-6	C1(=C(C1(Cl)Cl)Cl)Cl	Training	0
70	319-84-6	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	0
71	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	0
72	7785-26-4	C1=C(C)C2CC(C1)C2(C)(C)	Training	0
73	469-61-4	C1=C(C)C2CC3(C1)(C(C)CCC3(C2(C)(C)))	Training	0
74	13466-78-9	C1=C(C)CC2C(C1)C2(C)(C)	Training	0
75	99-85-4	C1=C(C)CC=C(C1)C(C)C	Training	0
76	586-62-9	C1=C(C)CCC(=C(C)C)C1	Training	0
77	489-84-9	C1=CC(=C2C=C(C=CC(=C12)C)C(C)C)C	Training	0
78	99-83-2	C1=CC(CC=C1C)C(C)C	Training	0
79	3048-65-5	C1=CCC2CC=CC2(C1)	Training	0
80	111-78-4	C1=CCCC=CCC1	Training	0
81	4904-61-4	C1=CCCC=CCCC=CCC1	Training	0
82	60-56-0	C1=CN(C(N1)=S)C	Training	0
83	98892-76-3	C1=CN(CC)C(N1C)C	Training	0
84	79917-89-8	C1=CN(CN1C)CCC	Training	0
85	85100-77-2	C1=CN(CN1C)CCCC	Training	0
86	1679-07-8	C1CCC(C1)S	Training	0
87	92-51-3	C1CCC(CC1)C2CCCCC2	Training	0
88	1569-69-3	C1CCC(CC1)S	Training	0
89	2550-40-5	C1CCC(CC1)SSC2CCCCC2	Training	0
90	91-17-8	C1CCC2CCCCC2(C1)	Training	0
91	287-92-3	C1CCCC1	Training	0
92	110-82-7	C1CCCCC1	Training	0
93	294-62-2	C1CCCCCCCCCCC1	Training	0
94	420-12-2	C1CS1	Training	0
95	505-29-3	C1CSCCS1	Training	0
96	546-06-5	C2=C1CC(N(C)C)CCC1(C)C3CCC45(CN(C)C(C)C5(CCC4(C3(C2))))	Training	0
97	77-73-6	C2=CC3C1C=CC(C1)C3(C2)	Training	0
98	2825-82-3	C2CC3C1CCC(C1)C3(C2)	Training	0
99	1135-66-6	C3=C1C(C)(C)C2CCC1(C2)C(C)(C)CC3	Training	0
100	1271-19-8	C=1C=C(CC=1)[Ti+2]C2=CC=CC2	Training	0
101	99-86-5	C=1C=C(CCC=1C)C(C)C	Training	0
102	1291-32-3	C=1C=CC(C=1)[Zr](C2=CC=CC2)(Cl)Cl	Training	0
103	542-92-7	C=1C=CCC=1	Training	0
104	138-86-3	C=C(C)C1CC=C(C)CC1	Training	0
105	107-39-1	C=C(C)CC(C)(C)C	Training	0
106	563-47-3	C=C(C)CCl	Training	0
107	18328-90-0	C=C(C)CNCC	Training	0
108	78-88-6	C=C(CCl)Cl	Training	0
109	75-35-4	C=C(Cl)Cl	Training	0
110	3748-13-8	C=C(c1cccc(c1)C(=C)C)C	Training	0
111	98-83-9	C=C(c1ccccc1)C	Training	0
112	127-91-3	C=C1CCC2CC1C2(C)(C)	Training	0
113	87-44-5	C=C1CCC=C(C)CCC2C1CC2(C)(C)	Training	0
114	79-92-5	C=C2C1CCC(C1)C2(C)C	Training	0
115	475-20-7	C=C2C1CCC3C1C(C)(C)CCCC23(C)	Training	0
116	78-79-5	C=CC(=C)C	Training	0
117	123-35-3	C=CC(=C)CCC=C(C)C	Training	0
118	502-61-4	C=CC(=CCC=C(C)CCC=C(C)C)C	Training	0
119	558-37-2	C=CC(C)(C)C	Training	0
120	2436-90-0	C=CC(C)CCC=C(C)C	Training	0
121	760-23-6	C=CC(CCl)Cl	Training	0
122	100-40-3	C=CC1CC=CCC1	Training	0
123	3048-64-4	C=CC2CC1C=CC2(C1)	Training	0
124	106-95-6	C=CCBr	Training	0
125	592-45-0	C=CCC=CC	Training	0
126	109-67-1	C=CCCC	Training	0
127	592-42-7	C=CCCC=C	Training	0
128	592-41-6	C=CCCCC	Training	0
129	111-66-0	C=CCCCCCC	Training	0
130	1647-16-1	C=CCCCCCCC=C	Training	0
131	872-05-9	C=CCCCCCCCC	Training	0
132	112-41-4	C=CCCCCCCCCCC	Training	0
133	2437-56-1	C=CCCCCCCCCCCC	Training	0
134	1120-36-1	C=CCCCCCCCCCCCC	Training	0
135	629-73-2	C=CCCCCCCCCCCCCCC	Training	0
136	112-88-9	C=CCCCCCCCCCCCCCCCC	Training	0
137	107-05-1	C=CCCl	Training	0
138	102-70-5	C=CCN(CC=C)CC=C	Training	0
139	109-57-9	C=CCNC(N)=S	Training	0
140	124-02-7	C=CCNCC=C	Training	0
