Id	nCIR	nTB	nP	nCL	nR10	TI1	S2K	T(N..P)	T(P..Cl)	T(Cl..Cl)	piPC09	PCR	Xindex	MATS1e	GATS7m	EEig14x	EEig14d	ESpm01d	GGI4	Seigv
STDEV	3.0895681966	0.2929096742	0.1501943951	0.996287972	0.3323429854	20.5915257739	2.0487010763	0.4207168083	0.3368607684	7.4254973764	2.3230796961	0.133769509	0.271621751	0.3282673799	1.0006223167	0.3196487378	0.6290566382	0.6491365443	0.4156241184	1.6076901302
AVERAGE	1.1453900709	0.0691489362	0.0230496454	0.3953900709	0.0567375887	1.0122167495	2.7934691348	0.024822695	0.0141843972	1.3102836879	1.5321978877	1.1894624662	0.84904805	-0.0165229385	0.4758166246	-0.0486959398	-0.2991129089	1.4961695727	0.4100906224	-1.6085040064
