27	27	21	2	0
-0.04698	-0.23608	-0.15347	-0.39686	-0.17072	-0.04905	1.755276	-0.059	-0.04211	-0.17646	1.4735	0.26633	-0.978359	-0.332565	0.248948	0.137181	-0.647257	1.12213	0.876976	-1.391036	2.391071	40	40	40	40	40
0.189486	-0.23608	-0.15347	-0.39686	-0.17072	0.209213	0.771194	-0.059	-0.04211	-0.17646	1.500329	0.401961	-0.908177	-0.184492	0.02558	-0.880437	-1.34403	1.350914	1.103326	-1.804645	1.688827	40	40	40	40	40
0.593269	-0.23608	-0.15347	-0.39686	-0.17072	0.640856	0.004986	-0.059	-0.04211	-0.17646	1.689065	0.563547	-1.043156	0.182422	-0.470735	-1.488472	-1.93112	1.402	0.800338	-1.826066	1.65647	40	40	40	40	40
-0.024877	-0.23608	-0.15347	-0.39686	-0.17072	-0.053586	0.571989	-0.059	-0.04211	-0.17646	0.590081	-0.5723	-0.593192	-0.55398	-0.441373	-0.819506	-1.00207	2.285457	0.597006	-1.390517	1.470479	40	40	40	40	40
-0.353947	-0.23608	-0.15347	-0.39686	-0.17072	-1.272786	1.110034	-0.059	-0.04211	-0.17646	-0.515632	-0.963844	1.067471	-1.425676	-0.364009	-2.484606	-1.587928	1.782298	0.690877	-2.668653	1.252245	40	40	40	40	40
-0.370727	-0.23608	-0.15347	-0.39686	-0.17072	-1.879375	2.370989	-0.059	-0.04211	-0.17646	0.3883	-1.048199	-0.008652	-0.529069	0.367508	-2.024924	-1.647346	1.24505	-0.256869	-1.391653	2.231447	40	40	40	40	40
-0.370685	-0.23608	-0.15347	-0.39686	-0.17072	-2.272255	1.660379	-0.059	-0.04211	-0.17646	0.397739	-1.276406	0.007963	-0.308006	0.414577	-0.852077	-1.369698	0.637735	-0.176948	-0.556824	2.280397	40	40	40	40	40
-0.369482	-0.23608	-0.15347	-0.39686	-0.17072	-1.407024	-0.094483	-0.059	-0.04211	-0.17646	0.282788	-0.839582	0.609527	0.456954	0.117453	-2.450859	-2.209727	0.485417	0.216283	-0.259668	1.903857	40	40	40	40	40
-0.354117	-0.23608	-0.15347	-0.39686	-0.17072	-1.404344	1.251064	-0.059	-0.04211	-0.17646	-0.586021	-1.311161	0.9717	-0.490376	-0.440585	-2.550326	-2.461755	-2.010288	0.280143	1.163897	3.66362	40	40	40	40	40
-0.048722	-0.23608	-0.15347	-0.396859	-0.170485	-0.056686	-0.927208	-0.059	-0.04211	-0.17646	-0.654681	0.24305	-0.293338	0.044677	-0.475332	-1.331734	-1.587288	-0.212031	2.70559	0.402817	2.568813	40	40	40	40	40
0.273457	-0.23608	-0.15347	0.079519	1.347472	0.174287	-0.462105	-0.059	-0.04211	-0.080584	0.661419	0.583723	-0.580825	0.043229	-0.458887	-1.779264	-2.196616	0.280088	2.006896	0.096667	2.955136	40	40	40	40	40
0.597587	-0.23608	-0.15347	1.433597	2.823086	0.479871	0.079483	-0.059	-0.04211	0.191938	1.876593	0.960186	-0.895414	0.117251	-0.449364	-1.790448	-2.681626	1.013953	1.854963	-0.197368	3.751036	40	40	40	40	40
0.669244	-0.23608	-0.15347	0.038206	2.832064	0.939894	-0.062643	-0.059	-0.04211	-0.088899	1.829053	0.529935	-1.152252	-0.006083	0.229356	-0.859812	-1.922658	0.389433	1.708108	-0.090657	2.79632	40	40	40	40	40
0.618458	-0.23608	-0.15347	-0.382226	2.852787	1.313299	-0.395378	-0.059	-0.04211	-0.173515	1.266574	-1.035441	-1.206755	0.039505	1.269609	0.098378	-1.169202	-0.151927	2.861951	0.338223	3.239755	40	40	40	40	40
1.162959	-0.23608	-0.15347	-0.374782	4.389201	1.81077	-0.15203	-0.059	-0.04211	-0.172017	1.74676	-0.487735	-1.411216	0.0624	0.92991	0.739876	-0.835718	0.378569	3.218228	-0.01555	2.535983	40	40	40	40	40
1.575207	-0.23608	-0.15347	-0.396855	5.858086	2.282234	-0.186496	-0.059	-0.04211	-0.176459	1.834489	-0.797443	-1.499861	0.079428	1.122329	1.323856	-0.380736	0.827423	4.323449	-0.193746	2.346314	40	40	40	40	40
3.357186	-0.23608	-0.15347	-0.396852	7.598661	3.859619	0.131801	-0.059	-0.04211	-0.17646	2.231444	-0.235981	-1.688973	0.19541	0.708725	2.421298	0.299469	0.88797	4.735693	-0.868883	3.193119	40	40	40	40	40
5.092358	-0.23608	-0.15347	-0.396858	8.705457	6.973943	0.722684	-0.059	-0.04211	-0.17646	2.614895	0.047442	-2.029767	-0.368138	0.351002	4.732488	1.925565	1.81207	6.234688	-2.442361	4.801256	40	40	40	40	40
15.078764	-0.235763	-0.15347	-0.396714	5.255241	5.572041	0.395499	-0.059	-0.04211	-0.176449	2.596167	-0.357658	-1.946094	-0.188085	0.844671	4.094405	1.474377	1.40935	5.392276	-1.280131	3.499204	40	40	40	40	40
20.456074	-0.163576	-0.15347	-0.386227	2.92797	4.945743	0.260141	-0.059	-0.04211	-0.174997	2.504054	-0.660148	-1.889377	-0.246518	1.138003	3.888089	1.391318	1.365334	5.027113	-0.765461	2.839272	40	40	40	40	40
2.888253	2.642541	-0.15347	-0.36934	0.369534	0.081808	1.45898	-0.059	-0.04211	-0.172687	0.409885	-0.616786	-0.205785	-0.028583	0.925516	0.742595	0.615441	0.51171	0.167608	0.324228	1.924621	40	40	40	40	40
-0.370435	3.17789	-0.15347	-0.396769	-0.170617	-0.852886	1.735694	-0.059	-0.04211	-0.176448	0.044652	-0.705552	0.137429	0.015861	1.055716	0.152411	0.47551	0.319036	-0.793953	0.58102	1.764543	40	40	40	40	40
-0.370583	3.297423	-0.15347	-0.396693	-0.170717	-1.219255	2.554107	-0.059	-0.04211	-0.176437	0.137673	-1.015316	-0.046187	0.023338	0.598315	0.152341	0.47549	0.496727	-0.793934	0.698887	2.294339	40	40	40	40	40
-0.37024	6.447727	-0.15347	-0.39659	-0.17072	-0.527891	1.101309	-0.059	-0.04211	-0.176344	-0.626172	-0.055398	0.474656	-0.111026	-0.431427	0.152287	0.475382	1.366717	-0.799979	0.450312	-0.82577	40	40	40	40	40
-0.368372	6.590819	-0.15347	-0.396679	-0.17072	-0.282632	0.20291	-0.059	-0.04211	-0.176328	-0.646126	1.126005	0.998811	-0.343346	-0.475259	0.15227	0.475349	1.358702	-0.872619	0.439429	2.190648	40	40	40	40	40
-0.050128	6.591678	-0.15347	-0.385713	-0.17072	-0.051537	-0.169738	-0.059	-0.04211	-0.168235	1.147912	1.617288	-0.280023	-0.51261	-0.47552	0.147997	0.466663	1.319824	-0.068013	0.133704	1.352196	40	40	40	40	40
-0.050929	6.586486	-0.15347	3.279077	-0.17072	-0.052403	0.641411	-0.059	-0.04211	2.53617	1.143394	1.105708	-0.195172	0.005481	-0.47552	-1.279807	-2.435443	1.974746	2.13594	0.419461	3.179104	40	40	40	40	40
-0.045428	-0.23608	-0.15347	-0.396858	-0.17072	-0.045071	1.087553	-0.059	-0.04211	-0.17646	1.355516	0.134533	-0.861891	-0.697874	0.565056	-0.724216	-1.021601	1.267709	1.395042	-1.546715	0.911544	40	40	40	40	40
