Id	CAS	SMILES	STATUS	EXP Class
71		CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1	Training	1
72		CC(C)(C)OC(=O)N[C@H](C(O)=O)C12CC3CC(CC(O)(C3)C1)C2	Training	0
73		CC(C)(C)OO	Training	1
74		CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C	Training	0
75		CC(C)(C)OOC1(CCCCC1)OOC(C)(C)C	Training	0
76		CC(C)(C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1)C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1	Training	1
77		CC(C)(C1=CC=CC=C1)C(C)(C)C1=CC=CC=C1	Training	0
78		CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1	Training	0
79		CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1	Training	0
80		CC(C)(C1CCCO1)C1CCCO1	Test	1
81		CC(C)(CO)COC(=O)C(C)(C)CO	Training	1
82		CC(C)(COCCCOC(=O)C=C)COCCCOC(=O)C=C	Training	0
83		CC(C)(CS(O)(=O)=O)NC(=O)C=C	Training	1
84		CC(C)(O)C(=O)C1=CC=CC=C1	Test	0
85		CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1	Test	0
86		CC(C)=CCCC(=C)C=C	Training	1
87		CC(C)=CCCC(C)(O)C#C	Training	1
88		CC(C)=CCCC(C)=CCCC(C)=O	Training	0
89		CC(C)=NO	Training	1
90		CC(C)=O	Training	1
91		CC(C)Br	Training	0
92		CC(C)C(=O)OOC(=O)C(C)C	Training	1
93		CC(C)C(N)C(O)=O	Training	0
94		CC(C)C1=C(C=CC=C1)C1=CC=CC=C1	Training	1
95		CC(C)C1=CC(=CC=C1)C(C)C	Test	1
96		CC(C)C1=CC(C(C)C)=C(N)C(C(C)C)=C1N	Training	0
97		CC(C)C1=CC(C(C)C)=C(N=C=O)C(C(C)C)=C1N=C=O	Training	0
98		CC(C)C1=CC2=CCC3C(C)(CCCC3(C)C(=O)OCC(CO)(CO)CO)C2CC1	Training	0
99		CC(C)C1=CC=C(C=C1)C(C)C	Training	1
100		CC(C)C1=CC=CC(C(C)C)=C1N=C=NC1=C(C=CC=C1C(C)C)C(C)C	Training	0
101		CC(C)C1=CC=CC=C1	Training	0
102		CC(C)C1CCC(C)CC1O	Training	1
103		CC(C)C=O	Training	1
104		CC(C)CC(=O)CC(C)C	Training	0
105		CC(C)CC(C)(C)C	Training	0
106		CC(C)CC(C)(O)C#CC(C)(O)CC(C)C	Training	1
107		CC(C)CC(C)C1=CC=CC=C1N	Training	0
108		CC(C)CC(C)O	Training	1
109		CC(C)CCC(C)CCC(C)CCC(C)CCC(C)C	Training	0
110		CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C	Test	0
111		CC(C)CCCCCCCCCCCCCCC(O)=O	Training	0
112		CC(C)CCCCCCCCCCCCCCCO	Training	0
113		CC(C)CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC(C)C	Test	0
114		CC(C)CCCCCCCCCCOP(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C	Training	0
115		CC(C)CCCCCCCOC(=O)C1=CC(C(=O)OCCCCCCCC(C)C)=C(C=C1)C(=O)OCCCCCCCC(C)C	Training	0
116		CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C	Training	0
117		CC(C)CCCCCCCOCCC#N	Test	0
118		CC(C)CCCCCCCOP(=O)(OCCCCCCCC(C)C)C1=CC=CC=C1	Training	0
119		CC(C)CCCCCCCOP(OC1=CC=CC=C1)OC1=CC=CC=C1	Test	1
120		CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OCCCCCCCC(C)C	Training	0
121		CC(C)CO	Training	1
122		CC(C)COC(=O)C(C)Cl	Training	0
123		CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C	Training	0
124		CC(C)COC(C)=O	Training	0
125		CC(C)COC=C	Training	0
126		CC(C)NC1=NC(NC(C)C)=NC(Cl)=N1	Test	0
127		CC(C)OC(=O)C1=CC=C(C)C(=C1)N=NC1=C(O)C(=CC2=C1C=CC=C2)C(=O)NC1=CC(Cl)=C(NC(=O)C2=C(O)C(N=NC3=CC(=CC=C3C)C(=O)OC(C)C)=C3C=CC=CC3=C2)C=C1Cl	Test	0
128		CC(C)OC(=O)CC(C)=O	Training	1
129		CC(C)OC(=O)CCC(=O)OC(C)C	Training	0
130		CC(C)OC(=O)CCCCC(=O)OC(C)C	Training	0
131		CC(C)OC(=O)CCCCCCCCC(=O)OC(C)C	Training	0
132		CC(C)OC(Cl)=O	Training	1
133		CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	Training	1
134		CC(C=C)C(O)C1=CC=C(Cl)C=C1	Training	0
135		CC(C=O)=CC1=CC=CC=C1	Training	0
136		CC(CC(C)(C)C)CP(O)(=O)CC(C)CC(C)(C)C	Test	1
137		CC(CC(O)=O)CC(C)(C)C	Training	1
138		CC(CC1=CC=CC=C1)(C=C)C#N	Training	0
139		CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	Training	0
140		CC(CCO)CCC=C(C)C	Training	0
141		CC(CCOC(=O)C(C)=C)OC(=O)C(C)=C	Training	0
142		CC(CNC(=O)OCCOC(=O)C(C)=C)CC(C)(C)CCNC(=O)OCCOC(=O)C(C)=C	Training	0
143		CC(CO)(CO)C=O	Test	0
144		CC(COC(=O)C=C)OCC(OC(C)COC(=O)C=C)C(OC(C)COC(=O)C=C)OC(C)COC(=O)C=C	Training	1
145		CC(COC(C)=O)OC(C)=O	Training	0
146		CC(Cl)(Cl)CC(Cl)(Cl)Cl	Training	0
147		CC(NC=O)C#N	Training	1
148		CC(O)=C(N=NC1=CC=C(C=C1Cl)C1=CC=C(N=NC(=C(C)O)C(=O)NC2=CC=CC=C2)C(Cl)=C1)C(=O)NC1=CC=CC=C1	Training	0
149		CC(O)C(C)(C)C=CC1CC=C(C)C1(C)C	Training	0
150		CC(O)CC(C)(C)OOC(=O)CCCCCC(C)(C)C	Training	0
151		CC(O)CN(CC(C)O)CC(C)O	Training	1
152		CC(O)COC(=O)C1=C(C(=O)OCCOCCO)C(Br)=C(Br)C(Br)=C1Br	Training	0
153		CC(O)COC1=CC=CC=C1	Training	1
154		CC(O)COCC(C)OC(C)COCC(C)OC(C)CO	Test	1
155		CC(O)CSCCCCCCCCC(C)(C)C	Training	0
156		CC1(C)C2CCC(C2)C1=C	Test	1
157		CC1(C)C2CCC1(C)C(C2)OC(=O)C=C	Training	0
