no.	cas	SMILES	Status	Experimental
62	27676-62-6	CC(C)(C)C1=CC(CN2C(=O)N(CC3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)C(=O)N(CC3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)C2=O)=CC(=C1O)C(C)(C)C	Training	0
63	96-76-4	CC(C)(C)C1=CC=C(O)C(=C1)C(C)(C)C	Training	1
64	3101-60-8	CC(C)(C)C1=CC=C(OCC2CO2)C=C1	Training	0
65	98-53-3	CC(C)(C)C1CCC(=O)CC1	Test	0
66	15520-11-3	CC(C)(C)C1CCC(CC1)OC(=O)OOC(=O)OC1CCC(CC1)C(C)(C)C	Test	0
67	3147-75-9	CC(C)(C)CC(C)(C)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1	Training	0
68	15721-78-5	CC(C)(C)CC(C)(C)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)CC(C)(C)C)C=C1	Test	0
69	5809-08-5	CC(C)(C)CC(C)(C)OO	Test	1
70	40292-82-8	CC(C)(C)CCCCCC(Cl)=O	Training	0
71	136465-81-1	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1	Training	1
72	361442-00-4	CC(C)(C)OC(=O)N[C@H](C(O)=O)C12CC3CC(CC(O)(C3)C1)C2	Training	0
73	75-91-2	CC(C)(C)OO	Training	1
74	78-63-7	CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C	Training	0
75	3006-86-8	CC(C)(C)OOC1(CCCCC1)OOC(C)(C)C	Training	0
76	21850-44-2	CC(C)(C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1)C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1	Training	1
77	1889-67-4	CC(C)(C1=CC=CC=C1)C(C)(C)C1=CC=CC=C1	Training	0
78	10081-67-1	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1	Training	0
79	599-64-4	CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1	Training	0
80	89686-69-1	CC(C)(C1CCCO1)C1CCCO1	Test	1
81	1115-20-4	CC(C)(CO)COC(=O)C(C)(C)CO	Training	1
82	84170-74-1	CC(C)(COCCCOC(=O)C=C)COCCCOC(=O)C=C	Training	0
83	15214-89-8	CC(C)(CS(O)(=O)=O)NC(=O)C=C	Training	1
84	7473-98-5	CC(C)(O)C(=O)C1=CC=CC=C1	Test	0
85	80-43-3	CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1	Test	0
86	123-35-3	CC(C)=CCCC(=C)C=C	Training	1
87	29171-20-8	CC(C)=CCCC(C)(O)C#C	Training	1
88	689-67-8	CC(C)=CCCC(C)=CCCC(C)=O	Training	0
89	127-06-0	CC(C)=NO	Training	1
90	67-64-1	CC(C)=O	Training	1
91	75-26-3	CC(C)Br	Training	0
92	3437-84-1	CC(C)C(=O)OOC(=O)C(C)C	Training	1
93	72-18-4	CC(C)C(N)C(O)=O	Training	0
94	25640-78-2	CC(C)C1=C(C=CC=C1)C1=CC=CC=C1	Training	1
95	99-62-7	CC(C)C1=CC(=CC=C1)C(C)C	Test	1
96	6318-09-8	CC(C)C1=CC(C(C)C)=C(N)C(C(C)C)=C1N	Training	0
97	2162-73-4	CC(C)C1=CC(C(C)C)=C(N=C=O)C(C(C)C)=C1N=C=O	Training	0
98	8050-26-8	CC(C)C1=CC2=CCC3C(C)(CCCC3(C)C(=O)OCC(CO)(CO)CO)C2CC1	Training	0
99	100-18-5	CC(C)C1=CC=C(C=C1)C(C)C	Training	1
100	2162-74-5	CC(C)C1=CC=CC(C(C)C)=C1N=C=NC1=C(C=CC=C1C(C)C)C(C)C	Training	0
101	98-82-8	CC(C)C1=CC=CC=C1	Training	0
102	2216-51-5	CC(C)C1CCC(C)CC1O	Training	1
103	78-84-2	CC(C)C=O	Training	1
104	108-83-8	CC(C)CC(=O)CC(C)C	Training	0
105	540-84-1	CC(C)CC(C)(C)C	Training	0
106	126-86-3	CC(C)CC(C)(O)C#CC(C)(O)CC(C)C	Training	1
107	203448-76-4	CC(C)CC(C)C1=CC=CC=C1N	Training	0
108	108-11-2	CC(C)CC(C)O	Training	1
109	93685-79-1	CC(C)CCC(C)CCC(C)CCC(C)CCC(C)C	Training	0
110	62125-22-8	CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C	Test	0
111	30399-84-9	CC(C)CCCCCCCCCCCCCCC(O)=O	Training	0
112	27458-93-1	CC(C)CCCCCCCCCCCCCCCO	Training	0
113	27253-26-5	CC(C)CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC(C)C	Test	0
114	77745-66-5	CC(C)CCCCCCCCCCOP(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C	Training	0
115	36631-30-8	CC(C)CCCCCCCOC(=O)C1=CC(C(=O)OCCCCCCCC(C)C)=C(C=C1)C(=O)OCCCCCCCC(C)C	Training	0
116	27178-16-1	CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C	Training	0
117	64354-92-3	CC(C)CCCCCCCOCCC#N	Test	0
118	25550-98-5	CC(C)CCCCCCCOP(=O)(OCCCCCCCC(C)C)C1=CC=CC=C1	Training	0
119	26544-23-0	CC(C)CCCCCCCOP(OC1=CC=CC=C1)OC1=CC=CC=C1	Test	1
120	25448-25-3	CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OCCCCCCCC(C)C	Training	0
121	78-83-1	CC(C)CO	Training	1
122	83261-15-8	CC(C)COC(=O)C(C)Cl	Training	0
123	84-69-5	CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C	Training	0
124	110-19-0	CC(C)COC(C)=O	Training	0
125	109-53-5	CC(C)COC=C	Training	0
126	139-40-2	CC(C)NC1=NC(NC(C)C)=NC(Cl)=N1	Test	0
127	71566-54-6	CC(C)OC(=O)C1=CC=C(C)C(=C1)N=NC1=C(O)C(=CC2=C1C=CC=C2)C(=O)NC1=CC(Cl)=C(NC(=O)C2=C(O)C(N=NC3=CC(=CC=C3C)C(=O)OC(C)C)=C3C=CC=CC3=C2)C=C1Cl	Test	0
128	542-08-5	CC(C)OC(=O)CC(C)=O	Training	1
129	924-88-9	CC(C)OC(=O)CCC(=O)OC(C)C	Training	0
130	6938-94-9	CC(C)OC(=O)CCCCC(=O)OC(C)C	Training	0
131	7491-02-3	CC(C)OC(=O)CCCCCCCCC(=O)OC(C)C	Training	0
132	108-23-6	CC(C)OC(Cl)=O	Training	1
133	27955-94-8	CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	Training	1
134	123989-31-1	CC(C=C)C(O)C1=CC=C(Cl)C=C1	Training	0
135	101-39-3	CC(C=O)=CC1=CC=CC=C1	Training	0
136	83411-71-6	CC(CC(C)(C)C)CP(O)(=O)CC(C)CC(C)(C)C	Test	1
137	3302-10-1	CC(CC(O)=O)CC(C)(C)C	Training	1
138	97384-48-0	CC(CC1=CC=CC=C1)(C=C)C#N	Training	0
139	128446-33-3	CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	Training	0
140	106-22-9	CC(CCO)CCC=C(C)C	Training	0
141	1189-08-8	CC(CCOC(=O)C(C)=C)OC(=O)C(C)=C	Training	0
