id	cas	smiles	status	exp
29		O=[N+]([O-])c1ccccc1Cl	Test	0.6854
30		O=C(OC(C)C)c1ccc(O)cc1	Test	2.284
31		O=C(O)CNCP(=O)(O)O	Test	2.983
32		OC1C=CC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4)	Test	1.4771
33		O=C(OC)C(c1ccccc1)C2NCCCC2	Test	1.585
34		N#CSCSC#N	Test	0.6021
35		O(c2cccc(OCC1OC1)c2)CC3OC3	Test	2
36		c1ccc(cc1)N(C)C	Test	1.4914
37		O=P(Oc1cccc(c1)C)(Oc2cccc(c2)C)Oc3cccc(c3)C	Training	2.301
38		Oc1cc(cc2OC(C)(C)C3CCC(=CC3(c12))C)CCCCC	Test	1.699
39		O[Si](O)(C1CCCC1)C2CCCC2	Test	1.6021
40		O=Cc1ccccc1	Test	2.6021
41		O=C(OCC=C)c1ccccc1(C(=O)OCC=C)	Test	2
42		O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3(O)	Test	2.6819
43		C(=C(C)C)Cl	Test	2.0969
44		N=C(Nc1ccccc1)Nc2ccccc2	Training	1.585
45		c1ccc2cc3ccccc3(cc2(c1))	Test	0.7891
46		O=P(OC)(OC)N1CCOCC1	Test	2.301
47		O=C(OCc1ccc(O)c(OC)c1)CCCCCCC(C)C	Test	2.4771
48		O=C2NCNC(=O)C2(c1ccccc1)CC	Training	1.3632
49		O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O)	Training	3.284
50		C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Test	1.2788
51		O=C1Oc2c(OC)c3occc3(cc2(C=C1))	Test	2
52		O=C(Nc1ccc(O)cc1)C	Training	1.7891
53		c1cc(ccc1N(C)C)C	Test	1.7959
54		O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Test	1.7611
55		O(c1ccc(cc1)CC=C)C	Test	1.574
56		O=[N+]([O-])c1cc(cc(c1N(CCC)CCCl)[N+](=O)[O-])C(F)(F)F	Training	1.7782
57		O=C(O)c1ccc(cc1)[N+](=O)[O-]	Test	1.6854
58		O=C(Nc1cccc(c1)[N+](=O)[O-])c3cc4ccccc4(c(N=Nc2cc(ccc2(OC))[N+](=O)[O-])c3(O))	Training	2.3632
59		O=C1Oc2ccccc2(C=C1)	Test	1.5798
60		O=C(O)C(N)(C)Cc1ccc(O)c(O)c1	Training	2.3774
61		O=C(OC1C(=C(C(=O)C1)CC#C)C)C2C(C=C(C)C)C2(C)(C)	Test	1.8982
62		n1ccccc1OC(C)COc3ccc(Oc2ccccc2)cc3	Training	1.3709
63		O=C(N=S(=O)(O)c1ncccc1(OCC(F)(F)F))Nc2nc(OC)cc(n2)OC	Test	3.022
64		N#CC(=NOC)C(=O)NC(=O)NCC	Test	2.3502
65		n1c(nc(cc1C)C)Nc2ccccc2	Training	1.7364
66		O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2cccc(OC)c2C	Test	1.8407
