no.	CAS	SMILES	Status	Experimental
68	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	6.75
69	53-79-2	O=C(NC1C(O)C(OC1(CO))n3cnc2c3(ncnc2N(C)C))C(N)Cc4ccc(OC)cc4	Training	0.03
70	53-86-1	O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C	Training	4.27
71	54-04-6	O(c1cc(cc(OC)c1(OC))CCN)C	Training	0.78
72	54-05-7	n1ccc(NC(C)CCCN(CC)CC)c2ccc(cc12)Cl	Training	4.63
73	54-11-5	n1cccc(c1)C2N(C)CCC2	Training	1.17
74	54-12-6	O=C(O)C(N)Cc2c[nH]c1ccccc12	Training	-1.06
75	54-31-9	O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N	Training	2.03
76	54-32-0	O=C(Oc1cc(c(OCCN(C)C)cc1C)C(C)C)C	Training	3.17
77	54-42-2	O=C1NC(=O)N(C=C1I)C2OC(CO)C(O)C2	Training	-0.96
78	54-49-9	Oc1cccc(c1)C(O)C(N)C	Training	-0.27
79	54-80-8	OC(c1ccc2ccccc2(c1))CNC(C)C	Training	3
80	54-85-3	O=C(NN)c1ccncc1	Training	-0.7
81	54-92-2	O=C(NNC(C)C)c1ccncc1	Training	0.37
82	55-18-5	O=NN(CC)CC	Training	0.48
83	55-21-0	O=C(N)c1ccccc1	Training	0.64
84	55-22-1	O=C(O)c1ccncc1	Training	0.32
85	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	4.09
86	55-63-0	O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-]	Training	1.62
87	56-12-2	O=C(O)CCCN	Training	-3.17
88	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	2.83
89	56-29-1	O=C1NC(=O)C(C(=O)N1C)(C2=CCCCC2)C	Training	1.98
90	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	3.83
91	56-40-6	O=C(O)CN	Training	-3.21
92	56-41-7	O=C(O)C(N)C	Training	-2.91
93	56-47-3	O=C(OCC(=O)C2CCC3C4CCC1=CC(=O)CCC1(C)C4(CCC23(C)))C	Training	3.08
94	56-49-5	c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C)	Training	6.42
95	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	5.07
96	56-54-2	OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C=C)C4	Training	3.44
97	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	5.76
98	56-72-4	O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C	Training	4.13
99	56-75-7	O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	Training	1.14
100	56-81-5	OCC(O)CO	Training	-1.76
101	56-84-8	O=C(O)CC(N)C(=O)O	Training	-3.89
102	56-85-9	O=C(O)C(N)CCC(=O)N	Training	-3.64
103	56-86-0	O=C(O)CCC(N)C(=O)O	Training	-3.69
104	56-87-1	O=C(O)C(N)CCCCN	Training	-3.05
105	56-89-3	O=C(O)C(N)CSSCC(N)C(=O)O	Training	-5.08
106	56-91-7	O=C(O)c1ccc(cc1)CN	Training	1.03
107	57-10-3	O=C(O)CCCCCCCCCCCCCCC	Training	7.17
108	57-11-4	O=C(O)CCCCCCCCCCCCCCCCC	Training	8.23
109	57-13-6	O=C(N)N	Training	-2.11
110	57-15-8	OC(C)(C)C(Cl)(Cl)Cl	Training	2.03
111	57-24-9	O=C2N6c1ccccc1C57(CCN4CC3=CCOC(C2)C(C3CC45)C67)	Training	1.93
112	57-27-2	Oc5ccc4c1c5(OC2C(O)C=CC3C(N(C)CCC123)C4)	Training	0.89
113	57-42-1	O=C(OCC)C2(c1ccccc1)(CCN(C)CC2)	Training	2.72
114	57-43-2	O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C	Training	2.07
115	57-44-3	O=C1NC(=O)C(C(=O)N1)(CC)CC	Training	0.65
116	57-47-6	O=C(Oc1ccc2c(c1)C3(C)(CCN(C)C3(N2C)))NC	Training	1.58
117	57-50-1	OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O)	Training	-3.7
118	57-53-4	O=C(OCC(C)(COC(=O)N)CCC)N	Training	0.7
119	57-55-6	OCC(O)C	Training	-0.92
120	57-63-6	C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C)))	Training	3.67
121	57-66-9	O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC	Training	3.21
122	57-68-1	O=S(=O)(Nc1nc(cc(n1)C)C)c2ccc(N)cc2	Training	0.89
123	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	6.16
124	57-83-0	O=C4C=C3CCC1C(CCC2(C)(C(C(=O)C)CCC12))C3(C)CC4	Training	3.87
125	57-96-5	O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCS(=O)c4ccccc4	Training	2.3
126	57-97-6	c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C	Training	5.8
127	58-00-4	Oc1ccc4c(c1(O))c2cccc3c2C(N(C)CC3)C4	Training	2.3
128	58-14-0	n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N	Training	2.69
129	58-18-4	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C))))C3(C)CC4	Training	3.36
130	58-19-5	O=C2CC3CCC1C4CCC(O)C4(C)(CCC1C3(C)(CC2C))	Training	3.99
131	58-22-0	O=C4C=C3CCC1C(CCC2(C)(C(O)CCC12))C3(C)CC4	Training	3.32
132	58-27-5	O=C1C=C(C(=O)c2ccccc12)C	Training	2.2
133	58-37-7	c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)CN(C)C	Training	4.76
134	58-38-8	c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN4CCN(C)CC4	Training	4.88
135	58-39-9	OCCN1CCN(CC1)CCCN4c2ccccc2Sc3ccc(cc34)Cl	Training	4.2
136	58-40-2	c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C	Training	4.55
137	58-55-9	O=C2c1[nH]cnc1N(C(=O)N2C)C	Training	-0.03
138	58-73-1	O(CCN(C)C)C(c1ccccc1)c2ccccc2	Training	3.27
139	58-74-2	n2ccc1cc(OC)c(OC)cc1c2Cc3ccc(OC)c(OC)c3	Training	2.95
140	58-89-9	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	3.86
141	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Training	4.45
142	58-93-5	O=S(=O)(N)c1cc2c(cc1Cl)NCNS2(=O)(=O)	Training	-0.07
143	59-05-2	O=C(O)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3c(nc2)nc(nc3(N))N)C(=O)O	Training	-1.85
144	59-07-4	O=C(O)c1ccc(N)cc1(OCC)	Training	0.99
145	59-14-3	O=C1NC(=O)N(C=C1Br)C2OC(CO)C(O)C2	Training	-0.29
146	59-26-7	O=C(c1cnccc1)N(CC)CC	Training	0.33
147	59-40-5	O=S(=O)(Nc1nc2ccccc2(nc1))c3ccc(N)cc3	Training	1.68
148	59-42-7	Oc1cccc(c1)C(O)CNC	Training	-0.31
149	59-46-1	O=C(OCCN(CC)CC)c1ccc(N)cc1	Training	2.14
150	59-47-2	OCC(O)COc1ccccc1C	Training	1.41
151	59-50-7	Oc1ccc(c(c1)C)Cl	Training	3.1
152	59-61-0	OC(c1ccc(c(c1)Cl)Cl)CNC(C)C	Training	3.32
153	59-63-2	O=C(NNCc1ccccc1)c2noc(c2)C	Training	1.49
154	59-66-5	O=C(Nc1nnc(s1)S(=O)(=O)N)C	Training	-0.26
155	59-67-6	O=C(O)c1cnccc1	Training	0.36
156	59-87-0	O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-]	Training	0.23
157	59-89-2	O=NN1CCOCC1	Training	-0.44
158	59-92-7	O=C(O)C(N)Cc1ccc(O)c(O)c1	Training	-2.57
159	59-98-3	N1=C(NCC1)Cc2ccccc2	Training	2.65
160	60-09-3	N(=Nc1ccc(N)cc1)c2ccccc2	Training	3.41
161	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	4.58
162	60-12-8	OCCc1ccccc1	Training	1.36
163	60-17-3	O=C(O)C(N)Cc1ccc(F)cc1	Training	-1.89
164	60-18-4	O=C(O)C(N)Cc1ccc(O)cc1	Training	-2.15
165	60-29-7	O(CC)CC	Training	0.89
166	60-32-2	O=C(O)CCCCCN	Training	-2.95
167	60-33-3	O=C(O)CCCCCCCC=CCC=CCCCCC	Training	7.05
168	60-34-4	NNC	Training	-1.05
169	60-35-5	O=C(N)C	Training	-1.26
170	60-51-5	O=C(NC)CSP(OC)(OC)=S	Training	0.78
171	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	5.3
172	60-80-0	O=C1C=C(N(N1c2ccccc2)C)C	Training	0.38
173	60-87-7	c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)C	Training	4.81
174	60-92-4	O=P3(O)(OCC4OC(n2cnc1c(ncnc12)N)C(O)C4(O3))	Training	-2.96
175	60-99-1	O(c1ccc3c(c1)N(c2ccccc2S3)CC(C)CN(C)C)C	Training	4.68
176	61-01-8	O(c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C)C	Training	4.9
177	61-32-5	O=C(O)C3N2C(=O)C(NC(=O)c1c(OC)cccc1(OC))C2SC3(C)(C)	Training	1.22
178	61-33-6	O=C(O)C3N2C(=O)C(NC(=O)Cc1ccccc1)C2SC3(C)(C)	Training	1.83
179	61-54-1	NCCc2c[nH]c1ccccc12	Training	1.55
180	61-57-4	O=C1NCCN1c2ncc([N+](=O)[O-])s2	Training	0.95
181	61-68-7	O=C(O)c2ccccc2(Nc1cccc(c1C)C)	Training	5.12
182	61-72-3	O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2Cl)C3SC4(C)(C)	Training	2.48
183	61-78-9	O=C(O)CNC(=O)c1ccc(N)cc1	Training	-0.89
184	61-80-3	n1c(oc2ccc(cc12)Cl)N	Training	2.46
185	61-82-5	n1c[nH]nc1N	Training	-0.86
186	61-90-5	O=C(O)C(N)CC(C)C	Training	-1.52
187	62-23-7	O=C(O)c1ccc(cc1)[N+](=O)[O-]	Training	1.89
189	62-38-4	O=C(O[Hg]c1ccccc1)C	Training	0.71
190	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	1.58
191	62-53-3	Nc1ccccc1	Training	0.9
192	62-56-6	NC(N)=S	Training	-1.08
193	62-67-9	Oc5ccc4c1c5(OC2C(O)C=CC3C(N(CC=C)CCC123)C4)	Training	1.86
194	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	1.47
195	62-75-9	O=NN(C)C	Training	-0.57
196	63-05-8	O=C3C=C2CCC1C4CCC(=O)C4(C)(CCC1C2(C)CC3)	Training	2.75
197	63-25-2	O=C(Oc1cccc2ccccc12)NC	Training	2.36
198	63-68-3	O=C(O)C(N)CCSC	Training	-1.87
199	63-74-1	O=S(=O)(N)c1ccc(N)cc1	Training	-0.62
200	63-75-2	O=C(OC)C1=CCCN(C)C1	Training	0.35
201	63-91-2	O=C(O)C(N)Cc1ccccc1	Training	-1.41
202	63-98-9	O=C(N)NC(=O)Cc1ccccc1	Training	0.87
203	63-99-0	O=C(N)Nc1cccc(c1)C	Training	1.29
204	64-00-6	O=C(Oc1cccc(c1)C(C)C)NC	Training	2.63
