No.	CAS	SMILES	Status	Exp Carc
1	30560-19-1	O=C(NP(=O)(OC)SC)C	Test	1
2	60-35-5	O=C(N)C	Training	1
3	53-96-3	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Training	1
4	79-06-1	O=C(N)C=C	Training	1
5	3688-53-7	O=C(N)C(=Cc1oc(cc1)[N+](=O)[O-])c2occc2	Training	1
6	107-13-1	N#CC=C	Training	1
7	50-76-0	O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C	Training	1
8	15972-60-8	O=C(N(c1c(cccc1CC)CC)COC)CCl	Training	1
9	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	1
10	107-05-1	C=CCCl	Training	1
11	712-68-5	O=[N+]([O-])c1oc(cc1)c2nnc(N)s2	Training	1
12	6109-97-3	Nc1ccc3c(c1)c2ccccc2n3CC	Test	1
13	117-79-3	O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Test	1
14	97-56-3	N(=Nc1ccccc1C)c2ccc(N)c(c2)C	Test	1
15	92-67-1	Nc1ccc(cc1)c2ccccc2	Training	1
16	61-82-5	n1cnc(N)[nH]1	Training	1
17	62-53-3	Nc1ccccc1	Training	1
18	90-04-0	O(c1ccccc1(N))C	Test	1
19	84-65-1	O=C1c3ccccc3(C(=O)c2ccccc12)	Test	1
20	12674-11-2	c1cc(cc(c1)Cl)c2cc(cc(c2)Cl)Cl	Training	1
21	53469-21-9	c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl	Training	1
22	12672-29-6	c1c(cc(cc1Cl)Cl)c2cc(cc(c2)Cl)Cl	Test	1
23	11097-69-1	c2cc(c1ccc(c(c1Cl)Cl)Cl)c(c(c2)Cl)Cl	Training	1
24	11096-82-5	c1cc(c(c(c1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	1
25	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Training	1
26	492-80-8	N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	1
27	115-02-6	N#[N+]C=C([O-])OCC(N)C(=O)O	Training	1
28	446-86-6	O=[N+]([O-])c1ncn(c1Sc3ncnc2nc[nH]c23)C	Training	1
29	103-33-3	N(=Nc1ccccc1)c2ccccc2	Test	1
30	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	1
31	100-52-7	O=Cc1ccccc1	Training	1
32	71-43-2	c1ccccc1	Training	1
33	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Training	1
34	205-82-3	c1ccc4c(c1)ccc5c3cccc2cccc(c23)c45	Training	1
35	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	1
36	205-99-2	c1ccc3c(c1)cc5c2ccccc2c4cccc3c45	Training	1
37	207-08-9	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	Training	1
38	98-07-7	c1ccc(cc1)C(Cl)(Cl)Cl	Training	1
39	100-44-7	c1ccc(cc1)CCl	Test	1
