ID	CAS	SMILES	STATUS	EXP_VALUE
74	N.A.	CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1C	TRAINING	0
75	N.A.	CCC(=O)N(c1ccccc1)C1CCN(CCc2cccs2)CC1C	TRAINING	0
76	N.A.	CCCC=CCO	TRAINING	0
77	N.A.	O=C(O)C=Cc1c[nH]cn1	TRAINING	0
78	N.A.	CCCCC=CCCCCO	TRAINING	0
79	N.A.	CC=Cc1ccc(OC)cc1	TRAINING	0
80	N.A.	CCCCCCC=CCCCCCCCC(=O)O	TRAINING	0
81	N.A.	CCN(Cc1ccc(Cl)nc1)C(C[N+](=O)[O-])=NC	TRAINING	0
82	N.A.	O=[N+]([O-])C=Cc1ccccc1	TRAINING	1
83	N.A.	CCCCC=CC=CCC=O	TRAINING	1
84	N.A.	N#CCN(CC#N)CCN(CC#N)CC#N	TRAINING	0
85	N.A.	CCOC(=O)C(C)O	TRAINING	0
86	N.A.	CC1=CCC(C(C)(C)O)CC1	TRAINING	0
87	N.A.	Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1	TRAINING	1
88	N.A.	CCC(N)CO	TRAINING	0
89	N.A.	CCCC1(C(O)CC=CC2C(O)CC(=O)C2CCCCCCC(=O)OC)CCC1	TRAINING	1
90	N.A.	O=C(NC1CN2CCC1CC2)c1cc2ccoc2cn1	TRAINING	0
91	N.A.	O=c1[nH]c(=O)n(C2CCCO2)cc1F	TRAINING	0
92	N.A.	CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1	TRAINING	1
93	N.A.	CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O	TRAINING	0
94	N.A.	COc1cc(CC(C)N)c(OC)cc1C	TRAINING	0
95	N.A.	CCNC(C)Cc1ccccc1	TRAINING	0
96	N.A.	CC(C)=CCCC(C)CC=O	TRAINING	0
97	N.A.	CC(C)=CCCC(C)CCO	TRAINING	0
98	N.A.	CSC1=NC(C)(c2ccccc2)C(=O)N1Nc1ccccc1	TRAINING	1
99	N.A.	CCC1(c2ccccc2)NC(=O)N(C)C1=O	TRAINING	0
100	N.A.	CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1	TRAINING	0
101	N.A.	CC(=CC(C)CC(C)CC(C)C)c1cc(O)oc1O	TRAINING	0
102	N.A.	CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1	TRAINING	1
103	N.A.	N#CC1(N=NC2(C#N)CCCCC2)CCCCC1	TRAINING	0
104	N.A.	O=C1CCCCCN1SSN1CCCCCC1=O	TRAINING	0
105	N.A.	O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1	TRAINING	0
106	N.A.	CC(O)COCC(C)O	TRAINING	0
107	N.A.	Cc1cccc(OCCOc2cccc(C)c2)c1	TRAINING	0
108	N.A.	c1ccc(-c2cccc(-c3ccccc3)c2)cc1	TRAINING	1
109	N.A.	c1ccc(-c2ccc(-c3ccccc3)cc2)cc1	TRAINING	0
110	N.A.	BrCC(Br)(Br)Br	TRAINING	0
111	N.A.	O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	TRAINING	0
112	N.A.	FC(F)(F)C(Cl)(Cl)Cl	TRAINING	0
113	N.A.	BrC(Br)C(Br)Br	TRAINING	0
114	N.A.	FC(F)(Cl)C(F)(Cl)Cl	TRAINING	0
115	N.A.	CC(Cl)C(Cl)Cl	TRAINING	0
116	N.A.	CC1=Nc2ccc3ccccc3c2C1(C)C	TRAINING	1
117	N.A.	Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C	TRAINING	1
118	N.A.	CNC(=S)N(C)C	TRAINING	0
119	N.A.	C=CC(C)CCCC(C)(C)O	TRAINING	0
120	N.A.	Cc1ccc(C(C)c2ccc(C)c(C)c2)cc1C	TRAINING	0
121	N.A.	CN(C)N	TRAINING	0
122	N.A.	CC(C)(O)Cc1ccccc1	TRAINING	0
123	N.A.	C[N+]1(C)CCCCC1	TRAINING	0
124	N.A.	CC(=O)OC(C)OC(C)=O	TRAINING	0
125	N.A.	C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C	TRAINING	0
126	N.A.	CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O	TRAINING	0
127	N.A.	CN1C(C)(C)CC(O)CC1(C)C	TRAINING	0
128	N.A.	N=c1c2c([nH]c3ccccc13)CCCC2	TRAINING	0
129	N.A.	OC1CCCc2ccccc21	TRAINING	0
130	N.A.	O=C1CCCc2ccccc21	TRAINING	0
131	N.A.	Oc1[nH]c(O)c2c1CC=CC2	TRAINING	0
132	N.A.	O=c1[nH]nnc2ccccc12	TRAINING	0
133	N.A.	c1ccc2[nH]nnc2c1	TRAINING	0
134	N.A.	CCCC(O)C(O)CO	TRAINING	0
135	N.A.	ClCC(Cl)CCl	TRAINING	0
136	N.A.	Clc1cc(Cl)c(Cl)cc1Cl	TRAINING	0
137	N.A.	O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1	TRAINING	0
138	N.A.	OCCC(O)CO	TRAINING	0
139	N.A.	c1nc[nH]n1	TRAINING	0
140	N.A.	N#Cc1ccccc1C#N	TRAINING	0
141	N.A.	CCCCOC(=O)COC(=O)c1ccccc1C(=O)OCCCC	TRAINING	0
142	N.A.	O=c1[nH]sc2ccccc12	TRAINING	1
143	N.A.	ClCCOCCOCCCl	TRAINING	0
144	N.A.	ClCc1ccccc1CCl	TRAINING	0
145	N.A.	c1ccc(SCCSc2ccccc2)cc1	TRAINING	0
146	N.A.	CCC(O)CO	TRAINING	0
147	N.A.	N#CCCC(Br)(C#N)CBr	TRAINING	1
148	N.A.	ClCC(Br)CBr	TRAINING	0
149	N.A.	BrCC(Br)C1CCC(Br)C(Br)C1	TRAINING	1
150	N.A.	FC(Cl)(Cl)C(F)(Cl)Cl	TRAINING	0
151	N.A.	O=CNNC=O	TRAINING	0
152	N.A.	Cn1[nH]nnc1=S	TRAINING	0
153	N.A.	COc1ccccc1OC	TRAINING	0
154	N.A.	Cc1cccc([N+](=O)[O-])c1C	TRAINING	0
155	N.A.	CCCn1cc[n+](C)c1C	TRAINING	0
156	N.A.	Cc1ccc([N+](=O)[O-])cc1C	TRAINING	1
157	N.A.	Cc1ncc([N+](=O)[O-])n1C	TRAINING	0
158	N.A.	O=[N+]([O-])c1ccccc1[N+](=O)[O-]	TRAINING	1
159	N.A.	c1ccc(OCCOc2ccccc2)cc1	TRAINING	1
160	N.A.	O=C(C(=O)c1ccccc1)c1ccccc1	TRAINING	0
161	N.A.	O=C(Cc1ccccc1)c1ccccc1	TRAINING	0
162	N.A.	c1ccc(NNc2ccccc2)cc1	TRAINING	0
163	N.A.	CCCCCCCCC1CO1	TRAINING	0
164	N.A.	CCCCCCCCCCC1CO1	TRAINING	0
165	N.A.	NCCN	TRAINING	0
166	N.A.	CC(=O)OCCOC(C)=O	TRAINING	0
