ID	CAS	SMILES	Status	LC50 exp [-log(mol/l)]
111	563-12-2	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC	Training	11.75
116	4602-84-0	C\C(C)=C\CC\C(C)=C\CC\C(C)=C\CO	Training	5.57
119	60168-88-9	OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=C(Cl)C=CC=C1	Training	5.16
120	13356-08-6	CC(C)(C[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C1=CC=CC=C1)O[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C1=CC=CC=C1)CC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1	Training	8.79
122	66441-23-4	CCOC(=O)C(C)OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3O2)C=C1	Training	5.63
123	79127-80-3	CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1	Test	6.68
124	39515-41-8	CC1(C)C(C(=O)OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)C1(C)C	Training	10.44
125	68254-10-4	[H]C1=C([H])C(=C([H])C([H])=C1Cl)N1N=C(C(O)=O)C(=O)C([H])=C1C([H])([H])[H]	Training	3.23
126	55-38-9	COP(=S)(OC)OC1=CC(C)=C(SC)C=C1	Training	9.05
127	76-87-9	O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	Training	8.84
131	131341-86-1	FC1(F)OC2=C(O1)C(=CC=C2)C1=CNC=C1C#N	Training	6.12
133	59756-60-4	CN1C=C(C2=CC=CC=C2)C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F	Training	5.39
134	56425-91-3	CC(C)C(O)(C1=CC=C(OC(F)(F)F)C=C1)C1=CN=CN=C1	Training	4.82
137	133-07-3	ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O	Training	8.33
138	944-22-9	CCOP(=S)(CC)SC1=CC=CC=C1	Training	9.51
139	22259-30-9	CNC(=O)OC1=CC(=CC=C1)\N=C/N(C)C	Training	7.44
140	59682-52-9	CCOP(O)(=O)C(N)=O	Training	1.79
143	1071-83-6	OC(=O)CNCP(O)(O)=O	Training	3.13
145	53042-79-8	CCCC\C=C\CC\C=C/CCCCCCOC(C)=O	Training	6.32
146	67485-29-4	CC1(C)CN\C(NC1)=N\N=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F	Test	6.38
147	81405-85-8	COC(=O)C1=C(C=C(C)C=C1)C1=NC(C)(C(C)C)C(=O)N1	Training	3.15
148	81335-37-7	CC(C)C1(C)N=C(NC1=O)C1=NC2=CC=CC=C2C=C1C(O)=O	Training	3.06
151	28159-98-0	CSC1=NC(NC2CC2)=NC(NC(C)(C)C)=N1	Test	5.15
152	25311-71-1	CCOP(=S)(NC(C)C)OC1=C(C=CC=C1)C(=O)OC(C)C	Training	9.33
153	33820-53-0	CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O	Test	6.91
157	29457-72-5	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	4.13
158	121-75-5	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC	Training	10.06
163	950-37-8	COC1=NN(CSP(=S)(OC)OC)C(=O)S1	Training	8.97
165	16752-77-5	CNC(=O)O\N=C(/C)SC	Training	8.46
168	71-55-6	CC(Cl)(Cl)Cl	Training	4.38
169	6317-18-6	N#CSCSC#N	Training	7.5
171	87392-12-9	CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1	Training	4.38
172	21087-64-9	CSC1=NN=C(C(=O)N1N)C(C)(C)C	Training	5.19
174	82633-79-2	CN1SC2=C(CCC2)C1=O	Training	5.66
176	134-62-3	CCN(CC)C(=O)C1=CC(C)=CC=C1	Training	3.52
177	300-76-5	COP(=O)(OC)OC(Br)C(Cl)(Cl)Br	Training	10.65
178	15299-99-7	CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1	Training	4.64
179	132-66-1	OC(=O)C1=C(C=CC=C1)C(=O)NC1=C2C=CC=CC2=CC=C1	Training	3.54
180	7212-44-4	C\C(C)=C/CC\C(C)=C\CCC(C)(O)C=C	Test	5.57
182	1929-82-4	ClC1=CC=CC(=N1)C(Cl)(Cl)Cl	Training	5.58
183	105726-67-8	CNC(=O)CCCCCC(C)(C)C	Training	3.19
185	105827-78-9	[O-][N+](=O)\N=C1/NCCN1CC1=CC=C(Cl)N=C1	Training	3.61
187	26530-20-1	CCCCCCCCN1SC=CC1=O	Training	6.93
188	19044-88-3	CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O	Training	6.02
189	19666-30-9	CC(C)OC1=CC(N2N=C(OC2=O)C(C)(C)C)=C(Cl)C=C1Cl	Training	5.81
191	7747-35-5	CCC12COCN1COC2	Training	3.68
192	301-12-2	CCS(=O)CCSP(=O)(OC)OC	Training	6.85
193	76738-62-0	[H][C@](CC1=CC=C(Cl)C=C1)([C@@H](O)C(C)(C)C)N1C=NC=N1	Test	4.21
197	298-00-0	COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O	Training	11.02
198	87-86-5	OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl	Training	6.9
199	1114-71-2	CCCCN(CC)C(=O)SCCC	Training	4.88
200	40487-42-1	CCC(CC)NC1=C(C(C)=C(C)C=C1[N+]([O-])=O)[N+]([O-])=O	Training	6.84
205	732-11-6	COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O	Training	9.07
209	51-03-6	CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC	Training	6.61
213	41198-08-7	CCCSP(=O)(OCC)OC1=CC=C(Br)C=C1Cl	Training	10.16
214	1610-18-0	COC1=NC(NC(C)C)=NC(NC(C)C)=N1	Training	4.2
215	7287-19-6	CSC1=NC(NC(C)C)=NC(NC(C)C)=N1	Test	4.42
216	1918-16-7	CC(C)N(C(=O)CCl)C1=CC=CC=C1	Training	4.91
217	709-98-8	CCC(=O)NC1=CC(Cl)=C(Cl)C=C1	Training	4.93
224	83-79-4	[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C1=CC=C3O[C@H](CC3=C1O2)C(C)=C	Training	9.43
225	74051-80-2	CCCC(=N/OCC)\C1=C(O)CC(CC(C)SCC)CC1=O	Test	3.79
227	122-34-9	CCNC1=NC(NCC)=NC(Cl)=N1	Training	5.89
228	149-30-4	SC1=NC2=C(S1)C=CC=C2	Test	5.33
230	144-49-0	OC(=O)CF	Test	2.31
233	1983-10-4	CCCC[Sn](F)(CCCC)CCCC	Training	10.79
