Id	CAS 	SMILES	SET	 ave log1/LC50(mmol/L) 
432	000348-61-8	Fc1c(F)cc(Br)cc1	Training	1.393
433	000108-86-1	c(cccc1)(c1)Br	Test	1.562
434	000583-53-9	c(c(ccc1)Br)(c1)Br	Training	1.768
435	013209-15-9	BrC(Br)c(c(ccc1)C(Br)Br)c1	Training	2.983
436	025675-28-9	CC(O)c1cc(C)ccc1	Training	-0.096
437	000103-05-9	OC(CCc(cccc1)c1)(C)C	Training	0.392
438	002362-61-0	OC1CCCCC1c2ccccc2	Training	0.599
439	000150-78-7	O(c(ccc(OC)c1)c1)C	Test	0.070
440	001126-79-0	O(c(cccc1)c1)CCCC	Training	1.418
441	005673-07-4	COc1c(C)c(OC)ccc1	Training	0.873
442	002100-42-7	COc1c(Cl)cc(OC)cc1	Test	0.790
443	000093-15-2	O(c(c(OC)cc(c1)CC=C)c1)C	Training	1.105
444	000122-99-6	O(c(cccc1)c1)CCO	Test	-0.399
445	000770-35-4	O(c(cccc1)c1)CC(O)C	Test	-0.265
446	004169-04-4	O(c(cccc1)c1)C(CO)C	Training	-0.265
447	009002-93-1	CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1	Test	1.018
448	013909-73-4	CC(=O)c1c(OC)c(OC)c(OC)cc1	Training	-0.048
449	000607-81-8	c1ccccc1CC(C(=O)OCC)C(=O)OCC	Training	1.664
450	000122-40-7	O=CC(=Cc(cccc1)c1)CCCCC	Training	2.347
451	006203-18-5	O=CC=Cc(ccc(N(C)C)c1)c1	Test	1.473
452	000122-57-6	O=C(C=Cc(cccc1)c1)C	Training	1.409
453	020766-36-3	c1c(Cl)cccc1C=CC(=O)C	Training	1.780
454	002495-37-6	O=C(OCc(cccc1)c1)C(=C)C	Test	1.577
455	000108-95-2	Oc(cccc1)c1	Test	0.677
456	000106-44-5	Oc(ccc(c1)C)c1	Test	0.923
457	000108-39-4	Oc(cccc1C)c1	Training	0.780
458	000095-48-7	Oc(c(ccc1)C)c1	Test	0.923
459	000095-87-4	Oc(c(ccc1C)C)c1	Training	1.331
460	000123-07-9	Oc(ccc(c1)CC)c1	Training	1.070
461	000105-67-9	Oc(c(cc(c1)C)C)c1	Training	0.850
462	000095-65-8	Oc(ccc(c1C)C)c1	Training	0.920
463	000576-26-1	Oc(c(ccc1)C)c1C	Test	0.830
464	002416-94-6	Oc(c(ccc1C)C)c1C	Training	1.215
465	000645-56-7	Oc(ccc(c1)CCC)c1	Test	1.092
466	000527-60-6	Oc(c(cc(c1)C)C)c1C	Test	1.020
467	000099-71-8	Oc(ccc(c1)C(CC)C)c1	Training	1.762
468	000089-83-8	Oc(c(ccc1C)C(C)C)c1	Test	1.505
469	001638-22-8	Oc(ccc(c1)CCCC)c1	Training	1.470
470	000098-54-4	Oc(ccc(c1)C(C)(C)C)c1	Test	1.461
471	000089-72-5	Oc(c(ccc1)C(CC)C)c1	Training	1.399
472	000088-18-6	Oc(c(ccc1)C(C)(C)C)c1	Training	1.609
473	014938-35-3	Oc(ccc(c1)CCCCC)c1	Training	2.095
474	000088-60-8	Oc(c(ccc1C)C(C)(C)C)c1	Test	1.784
475	002219-82-1	Oc(c(ccc1)C(C)(C)C)c1C	Training	1.582
476	000080-46-6	Oc(ccc(c1)C(CC)(C)C)c1	Test	1.806
477	002409-55-4	Oc(c(cc(c1)C)C(C)(C)C)c1	Test	1.920
478	001879-09-0	Oc(c(cc(c1)C)C(C)(C)C)c1C	Training	1.853
479	001806-26-4	Oc(ccc(c1)CCCCCCCC)c1	Training	3.370
480	000096-76-4	Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1	Test	2.482
481	000140-66-9	Oc(ccc(c1)C(CC(C)(C)C)(C)C)c1	Training	2.758
482	005510-99-6	CCC(C)c1cccc(C(C)CC)c1O	Test	3.138
483	000128-37-0	Oc(c(cc(c1)C)C(C)(C)C)c1C(C)(C)C	Training	2.541
484	000104-40-5	Oc(ccc(c1)CCCCCCCCC)c1	Test	3.199
485	000120-95-6	Oc(c(cc(c1)C(CC)(C)C)C(CC)(C)C)c1	Training	2.908
486	004130-42-1	Oc(c(cc(c1)CC)C(C)(C)C)c1C(C)(C)C	Training	2.599
487	000732-26-3	Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1C(C)(C)C	Test	3.634
488	061788-44-1	Oc1c(cccc1)C=C	Training	1.332
489	001745-81-9	Oc(c(ccc1)CC=C)c1	Training	0.971
490	004286-23-1	Oc(ccc(C(=C)C)c1)c1	Training	1.164
491	000106-48-9	Oc(ccc(c1)Cl)c1	Test	1.373
492	000108-43-0	Oc(cccc1Cl)c1	Test	1.300
493	000095-57-8	Oc(c(ccc1)Cl)c1	Training	1.035
494	006640-27-3	Oc(c(cc(c1)C)Cl)c1	Test	0.600
495	000059-50-7	Oc(ccc(c1C)Cl)c1	Test	1.342
496	000088-04-0	Oc(cc(c(c1C)Cl)C)c1	Test	1.985
497	000591-35-5	Oc1cc(Cl)cc(Cl)c1	Training	1.780
498	000583-78-8	Oc(c(ccc1Cl)Cl)c1	Training	1.580
499	000120-83-2	Oc(c(cc(c1)Cl)Cl)c1	Training	1.594
500	000087-65-0	Oc(c(ccc1)Cl)c1Cl	Training	1.320
501	000933-75-5	Oc(c(ccc1Cl)Cl)c1Cl	Training	1.560
502	000933-78-8	Oc1cc(Cl)cc(Cl)c1Cl	Test	1.920
503	000609-19-8	Oc1cc(Cl)c(Cl)c(Cl)c1	Test	2.080
504	000088-06-2	Oc(c(cc(c1)Cl)Cl)c1Cl	Training	1.937
505	000095-95-4	Oc(c(cc(c1Cl)Cl)Cl)c1	Test	2.300
506	000058-90-2	Oc(c(cc(c1Cl)Cl)Cl)c1Cl	Test	2.486
507	004901-51-3	Oc1cc(Cl)c(Cl)c(Cl)c1Cl	Training	2.636
508	000935-95-5	Oc1c(Cl)c(Cl)cc(Cl)c1Cl	Test	2.260
509	000087-86-5	Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl	Training	3.115
510	000106-41-2	Oc(ccc(c1)Br)c1	Training	1.299
511	000615-58-7	Oc(c(cc(c1)Br)Br)c1	Test	1.845
512	000118-79-6	Oc(c(cc(c1)Br)Br)c1Br	Training	1.914
513	000608-71-9	Oc(c(c(c(c1Br)Br)Br)Br)c1Br	Training	3.720
514	000609-23-4	Oc(c(cc(c1)I)I)c1I	Training	2.590
515	000150-19-6	O(c(cccc1O)c1)C	Test	0.221
516	000150-76-5	O(c(ccc(O)c1)c1)C	Training	0.247
517	025013-16-5	COc1ccc(O)c(c1)C(C)(C)C	Test	1.492
518	002460-49-3	COc1cc(Cl)c(Cl)cc1O	Training	1.638
519	000552-41-0	COc1ccc(C(C)=O)c(O)c1	Training	0.481
520	000099-76-3	O=C(OC)c(ccc(O)c1)c1	Test	0.404
521	000118-61-6	O=C(OCC)c(c(O)ccc1)c1	Training	0.927
522	000090-02-8	O=Cc(c(O)ccc1)c1	Training	1.804
523	000121-33-5	O=Cc(ccc(O)c1OC)c1	Training	0.343
524	000121-32-4	O=Cc(ccc(O)c1OCC)c1	Test	0.279
525	000708-76-9	COc1cc(O)c(C=O)c(OC)c1	Training	1.831
526	000148-53-8	O=Cc(c(O)c(OC)cc1)c1	Training	1.784
527	000635-93-8	O=Cc(c(O)ccc1Cl)c1	Test	2.308
528	001761-61-1	O=Cc(c(O)ccc1Br)c1	Training	2.189
529	000090-59-5	Oc1c(Br)cc(Br)cc1C=O	Test	2.519
530	002973-76-4	O=Cc(cc(OC)c(O)c1Br)c1	Test	0.589
531	042454-06-8	Oc1ccc([N+](=O)[O-])c(C=O)c1	Training	0.601
532	098434-34-5	COc1c([N+](=O)[O-])c(C=O)cc(Br)c1O	Test	0.576
533	000100-02-7	[O-][N+](=O)c(ccc(O)c1)c1	Training	0.891
534	000554-84-7	[O-][N+](=O)c(cccc1O)c1	Training	1.070
535	000088-75-6	[O-][N+](=O)c(c(O)ccc1)c1	Training	0.140
536	000089-64-5	[O-][N+](=O)c(c(O)ccc1Cl)c1	Test	1.198
537	000088-30-2	Oc(ccc1N(=O)=O)cc1C(F)(F)F	Test	1.358
538	000573-56-8	Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]	Test	0.666
539	000051-28-5	[O-][N+](=O)c(ccc(O)c1N(=O)(=O))c1	Training	1.141
540	000534-52-1	[O-][N+](=O)c(cc([N+](=O)[O-])c(O)c1C)c1	Test	2.134
541	000329-71-5	Oc1cc(ccc1[N+](=O)[O-])[N+](=O)[O-]	Training	1.740
542	000088-85-8	[O-][N+](=O)c(cc([N+](=O)[O-])c(O)c1C(CC)C)c1	Training	2.733
543	000108-46-3	Oc(cccc1O)c1	Training	0.140
544	000120-80-9	Oc(c(O)ccc1)c1	Training	1.084
545	002138-22-9	Oc1ccc(Cl)cc1O	Training	1.960
546	003428-24-8	Oc1cc(Cl)c(Cl)cc1O	Training	2.302
547	001198-55-6	Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1O	Training	2.290
548	000095-01-2	O=Cc(c(O)cc(O)c1)c1	Test	1.022
549	002150-47-2	O=C(OC)c(c(O)cc(O)c1)c1	Test	0.603
550	000123-30-8	Oc(ccc(N)c1)c1	Test	2.069
551	000591-27-5	Oc(cccc1N)c1	Test	-0.041
552	000119-34-6	O=N(=O)c(c(O)ccc1N)c1	Training	0.635
553	na	c1cc(NCOC)ccc1O	Test	-0.730
554	017754-90-4	O=Cc(c(O)cc(N(CC)CC)c1)c1	Training	1.559
555	000095-54-5	Nc(c(N)ccc1)c1	Test	1.370
556	000106-50-3	Nc(ccc(N)c1)c1	Training	3.214
557	000095-70-5	Nc(c(cc(N)c1)C)c1	Test	2.808
558	020103-09-7	Nc(c(cc(N)c1Cl)Cl)c1	Test	0.906
559	000101-96-2	N(c(ccc(NC(CC)C)c1)c1)C(CC)C	Training	2.775
560	001477-55-0	NCc(cccc1CN)c1	Training	0.190
561	000062-53-3	Nc(cccc1)c1	Training	0.115
562	000106-49-0	Nc(ccc(c1)C)c1	Training	0.172
563	000108-44-1	Nc(cccc1C)c1	Training	0.470
564	000095-53-4	Nc(c(ccc1)C)c1	Test	-0.015
565	000108-69-0	Nc(cc(cc1C)C)c1	Training	0.552
566	000578-54-1	Nc(c(ccc1)CC)c1	Test	0.210
567	000587-02-0	CCc1cccc(N)c1	Training	0.650
568	000589-16-2	Nc(ccc(c1)CC)c1	Test	0.370
569	000088-05-1	Nc(c(cc(c1)C)C)c1C	Training	0.391
570	000099-88-7	CC(C)c1ccc(N)cc1	Training	0.468
571	000104-13-2	Nc(ccc(c1)CCCC)c1	Training	1.164
572	024544-04-5	Nc(c(ccc1)C(C)C)c1C(C)C	Training	1.080
573	037529-30-9	CCCCCCCCCCc1ccc(N)cc1	Training	3.579
574	016245-79-7	Nc1ccc(CCCCCCCC)cc1	Test	3.231
575	000371-40-4	Fc(ccc(N)c1)c1	Training	0.819
576		Fc1c(C)c(F)c(F)c(F)c1N	Test	0.770
577		Cc1c(F)c(F)c(F)c(F)c1N	Training	0.780
578	002357-47-3	Nc1ccc(F)c(c1)C(F)(F)F	Test	0.773
579	000393-39-5	Nc1ccc(F)cc1C(F)(F)F	Training	0.781
580	000771-60-8	Fc(c(N)c(F)c(F)c1F)c1F	Training	0.691
581	000108-42-9	Nc(cccc1Cl)c1	Training	1.070
582	000095-51-2	Nc(c(ccc1)Cl)c1	Test	1.300
583	000106-47-8	Nc(ccc(c1)Cl)c1	Test	0.921
584	000095-81-8	Cc1ccc(Cl)c(N)c1	Training	1.110
585	000615-65-6	Nc(c(cc(c1)C)Cl)c1	Training	0.598
586	000095-82-9	Nc(c(ccc1Cl)Cl)c1	Test	1.930
587	000095-76-1	Nc(ccc(c1Cl)Cl)c1	Training	1.456
588	000554-00-7	Nc(c(cc(c1)Cl)Cl)c1	Test	1.355
589	000634-67-3	Nc1ccc(Cl)c(Cl)c1Cl	Training	1.941
590	000636-30-6	Nc(c(cc(c1Cl)Cl)Cl)c1	Test	1.920
591	000634-93-5	Nc(c(cc(c1)Cl)Cl)c1Cl	Training	1.650
592	003481-20-7	Nc1c(Cl)c(Cl)cc(Cl)c1Cl	Test	2.931
593	000634-83-3	Nc1cc(Cl)c(Cl)c(Cl)c1Cl	Training	2.810
594	000626-43-7	Nc(cc(cc1Cl)Cl)c1	Test	1.620
595	000106-40-1	Nc(ccc(c1)Br)c1	Training	0.560
596	000090-04-0	O(c(c(N)ccc1)c1)C	Test	-0.211
597	051963-82-7	O(CCN(c(c(OCC)cc(N)c1OCC)c1)C2)C2	Training	1.083
598	039905-57-2	O(c(ccc(N)c1)c1)CCCCCC	Training	1.810
599	000099-03-6	O=C(c(cccc1N)c1)C	Test	-0.451
600	000070-69-9	O=C(c(ccc(N)c1)c1)CC	Training	0.010
601	000886-86-2	Nc1cc(C(=O)OCC)ccc1	Test	0.520
602	000094-09-7	O=C(OCC)c(ccc(N)c1)c1	Training	0.670
603	005372-81-6	O=C(OC)c(ccc(c1N)C(=O)OC)c1	Test	1.380
604	000100-46-9	NCc(cccc1)c1	Training	0.021
605	085068-29-7	FC(F)(F)c1cc(C(F)(F)F)cc(CN)c1	Test	1.344
606	000100-61-8	N(c(cccc1)c1)C	Training	0.150
607	000103-69-5	N(c(cccc1)c1)CC	Training	0.217
608	000102-27-2	N(c(cccc1C)c1)CC	Test	0.438
609	000589-09-3	C=CCNc1ccccc1	Test	0.570
610	000459-59-6	CNc1ccc(F)cc1	Test	0.513
611	014321-27-8	N(Cc(cccc1)c1)CC	Training	0.374
612	000121-69-7	N(c(cccc1)c1)(C)C	Test	0.235
613	000099-97-8	N(c(ccc(c1)C)c1)(C)C	Training	0.428
614	000091-66-7	N(c(cccc1)c1)(CC)CC	Test	0.860
615	000091-88-3	OCCN(c(cccc1C)c1)CC	Test	0.530
616	000120-07-0	OCCN(c(cccc1)c1)CCO	Training	-0.610
617	000100-10-7	O=Cc(ccc(N(C)C)c1)c1	Test	0.512
618	000120-21-8	O=Cc(ccc(N(CC)CC)c1)c1	Test	0.870
619	000103-83-3	N(Cc(cccc1)c1)(C)C	Test	0.554
620	034274-04-9	COCCCNCc1cc(OC)c(OC)c(OC)c1	Training	0.297
621	000100-01-6	[O-][N+](=O)c(ccc(N)c1)c1	Training	0.137
622	000099-09-2	[O-][N+](=O)c(cccc1N)c1	Test	0.215
623	000088-74-4	[O-][N+](=O)c(c(N)ccc1)c1	Test	1.150
624	000121-87-9	[O-][N+](=O)c(ccc(N)c1Cl)c1	Training	0.938
625	000089-63-4	[O-][N+](=O)c(c(N)ccc1Cl)c1	Training	1.007
626	000616-86-4	[O-][N+](=O)c(c(N)ccc1OCC)c1	Training	0.849
627	000096-96-8	[O-][N+](=O)c(c(N)ccc1OC)c1	Training	0.613
628	000100-52-7	O=Cc(cccc1)c1	Test	1.087
629	000529-20-4	Cc1ccccc1C=O	Test	0.358
630	000487-68-3	O=Cc(c(cc(c1)C)C)c1C	Training	1.092
631	000122-03-2	O=Cc(ccc(c1)C(C)C)c1	Training	1.350
632	000446-52-6	Fc1ccccc1C=O	Test	1.962
633	000653-37-2	Fc1c(F)c(F)c(C=O)c(F)c1F	Training	2.251
634	000454-89-7	O=Cc(cccc1C(F)(F)F)c1	Training	2.279
635	000104-88-1	O=Cc(ccc(c1)Cl)c1	Training	1.808
636	000874-42-0	O=Cc(c(cc(c1)Cl)Cl)c1	Test	1.989
637	000387-45-1	O=Cc(c(ccc1)Cl)c1F	Training	1.229
638	000123-11-5	O=Cc(ccc(OC)c1)c1	Training	0.532
639	010031-82-0	O=Cc(ccc(OCC)c1)c1	Test	0.729
640	000613-45-6	COc1ccc(C=O)c(OC)c1	Training	0.919
641	004460-86-0	O=Cc(c(OC)cc(OC)c1OC)c1	Test	0.599
642	061096-84-2	CCCCCCOc1ccc(C=O)cc1OC	Training	1.947
643	000098-86-2	O=C(c(cccc1)c1)C	Test	-0.130
644	002234-16-4	O=C(c(c(cc(c1)Cl)Cl)c1)C	Training	1.205
645	013608-87-2	CC(=O)c1ccc(Cl)c(Cl)c1Cl	Test	2.049
646	000093-91-4	O=C(c(cccc1)c1)CC(=O)C	Test	2.170
647	001204-21-3	COc1ccc(OC)c(c1)C(=O)CBr	Training	3.530
648	001126-46-1	O=C(OC)c(ccc(c1)Cl)c1	Training	1.190
649	002905-69-3	O=C(OC)c(c(ccc1Cl)Cl)c1	Training	1.168
650	000084-66-2	O=C(OCC)c(c(ccc1)C(=O)OCC)c1	Training	0.934
651	000084-69-5	O=C(OCC(C)C)c(c(ccc1)C(=O)OCC(C)C)c1	Test	1.970
652	000084-74-2	O=C(OCCCC)c(c(ccc1)C(=O)OCCCC)c1	Training	2.242
653	000117-81-7	O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1	Training	0.717
654	000131-17-9	O=C(OCC=C)c(c(ccc1)C(=O)OCC=C)c1	Test	2.748
655	003126-90-7	c1c(C(=O)OCCCC)cccc1C(=O)OCCCC	Training	2.527
656	001962-75-0	CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC	Test	2.674
657	000532-32-1	OC(=O)c1ccccc1	Training	-0.526
658	000099-04-7	O=C(O)c(cccc1C)c1	Training	0.220
659	000099-94-5	O=C(O)c(ccc(c1)C)c1	Test	0.328
660	000069-72-7	O=C(O)c(c(O)ccc1)c1	Test	0.549
661	000099-96-7	O=C(O)c(ccc(O)c1)c1	Test	0.172
662	019715-19-6	O=C(O)c(c(O)c(cc1C(C)(C)C)C(C)(C)C)c1	Training	1.967
663	000098-95-3	[O-][N+](=O)c(cccc1)c1	Test	-0.009
664	000099-08-1	[O-][N+](=O)c(cccc1C)c1	Training	0.690
665	000088-72-2	[O-][N+](=O)c(c(ccc1)C)c1	Test	0.590
666	000099-99-0	[O-][N+](=O)c(ccc(c1)C)c1	Training	0.620
667	000099-51-4	[O-][N+](=O)c(ccc(c1C)C)c1	Test	1.210
668	000083-41-0	[O-][N+](=O)c(c(c(cc1)C)C)c1	Training	1.390
669	000100-14-1	[O-][N+](=O)c(ccc(c1)CCl)c1	Training	2.449
670	000350-46-9	[O-][N+](=O)c(ccc(F)c1)c1	Training	0.698
671	000100-00-5	[O-][N+](=O)c(ccc(c1)Cl)c1	Test	1.420
672	000088-73-3	[O-][N+](=O)c(c(ccc1)Cl)c1	Training	0.720
673	000089-59-8	[O-][N+](=O)c(c(ccc1Cl)C)c1	Test	1.440
674	000611-06-3	[O-][N+](=O)c(c(cc(c1)Cl)Cl)c1	Training	1.460
675	000083-42-1	[O-][N+](=O)c(c(c(cc1)Cl)C)c1	Training	1.520
676	000121-73-3	[O-][N+](=O)c(cccc1Cl)c1	Training	0.966
677	000618-62-2	[O-][N+](=O)c(cc(cc1Cl)Cl)c1	Test	1.580
678	000099-54-7	[O-][N+](=O)c(ccc(c1Cl)Cl)c1	Training	1.611
679	000089-61-2	[O-][N+](=O)c(c(ccc1Cl)Cl)c1	Test	1.590
680	003209-22-1	[O-][N+](=O)c(c(c(cc1)Cl)Cl)c1	Test	1.660
681	000082-68-8	[O-][N+](=O)c(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl	Test	2.965
682	000350-30-1	Fc1ccc(cc1Cl)[N+](=O)[O-]	Test	1.943
683	000555-03-3	[O-][N+](=O)c(cccc1OC)c1	Training	0.414
684	000091-23-6	[O-][N+](=O)c(c(OC)ccc1)c1	Training	0.513
685	000552-89-6	O=Cc(c([N+](=O)[O-])ccc1)c1	Test	0.990
686	000555-16-8	O=Cc(ccc([N+](=O)[O-])c1)c1	Test	1.178
687	006361-21-3	O=Cc(c(ccc1[N+](=O)[O-])Cl)c1	Training	1.685
688	005465-65-6	Clc(ccc1C(=O)C)c(c1)[N+](=O)[O-]	Test	1.560
689	000619-50-1	O=C(OC)c(ccc([N+](=O)[O-])c1)c1	Training	0.886
690	005292-45-5	O=C(OC)c(ccc(c1[N+](=O)[O-])C(=O)OC)c1	Training	1.560
691	042087-80-9	COC(=O)c1ccc(Cl)cc1[N+](=O)[O-]	Training	0.896
692	000619-80-7	O=C(N)c(ccc([N+](=O)[O-])c1)c1	Test	0.099
693	000100-25-4	[O-][N+](=O)c(ccc([N+](=O)[O-])c1)c1	Training	2.374
694	000099-65-0	[O-][N+](=O)c(cccc1[N+](=O)[O-])c1	Test	1.146
695	000606-20-2	[O-][N+](=O)c(c(c([N+](=O)[O-])cc1)C)c1	Training	0.729
696	000121-14-2	[O-][N+](=O)c(ccc(c1[N+](=O)[O-])C)c1	Training	0.873
697	006099-79-2	[O-][N+](=O)c1cc([N+](=O)[O-])c(OC)c(C(C)CC)c1	Test	2.259
698	000097-00-7	[O-][N+](=O)c(ccc(c1[N+](=O)[O-])Cl)c1	Training	3.102
699	003698-83-7	[O-][N+](=O)c(c(cc(c1[N+](=O)[O-])Cl)Cl)c1	Test	3.690
700	006284-83-9	[O-][N+](=O)c(c(cc(c1[N+](=O)[O-])Cl)Cl)c1Cl	Training	3.089
701	000097-02-9	[O-][N+](=O)c(ccc(N)c1[N+](=O)[O-])c1	Training	1.072
702	000529-19-1	N#Cc(c(ccc1)C)c1	Test	0.419
703	006575-09-3	Clc(ccc1)c(c1C)C#N	Training	1.002
704	000873-32-5	N#Cc(c(ccc1)Cl)c1	Test	0.570
705	000368-77-4	FC(F)(F)c1cccc(C#N)c1	Training	0.553
706	000447-60-9	FC(F)(F)c1ccccc1C#N	Test	0.609
707	001891-95-8	Clc(cc(c1)C#N)c(O)c1Cl	Training	0.890
708	001689-84-5	Oc1c(Br)cc(C#N)cc1Br	Test	1.382
709	001689-83-4	Oc1c(I)cc(C#N)cc1I	Test	1.739
710	005922-60-1	N#Cc(c(N)ccc1Cl)c1	Training	0.729
711	001129-35-7	COC(=O)c1ccc(C#N)cc1	Test	0.537
712	000619-24-9	N#Cc(cccc1[N+](=O)[O-])c1	Test	0.547
713	000091-15-6	C(#N)c(c(C(#N))ccc1)c1	Training	0.746
714	001953-99-7	Clc(c(Cl)c(Cl)c1C#N)c(Cl)c1C#N	Training	3.346
715	000055-21-0	O=C(N)c(cccc1)c1	Test	-0.739
716	056108-12-4	NC(=O)c1ccc(C(C)(C)C)cc1	Test	0.743
717	000134-62-3	O=C(N(CC)CC)c(cccc1C)c1	Training	0.240
718	002008-58-4	NC(=O)c1c(Cl)cccc1Cl	Training	-0.241
719	002447-79-2	NC(=O)c1ccc(Cl)cc1Cl	Test	0.299
720	022726-00-7	NC(=O)c1cc(Br)ccc1	Training	0.332
721	002439-77-2	COc1ccccc1C(=O)N	Training	0.100
722	000065-45-2	O=C(N)c(c(O)ccc1)c1	Training	0.132
723	000088-68-6	O=C(N)c(c(N)ccc1)c1	Test	-0.462
724	071862-02-7	Cc1c(NC=O)cccc1Cl	Training	0.561
725	000483-63-6	CC=CC(=O)N(CC)c1c(C)cccc1	Test	0.433
726	000621-42-1	O=C(Nc(cccc1O)c1)C	Test	-0.874
727	000103-90-2	O=C(Nc(ccc(O)c1)c1)C	Test	-0.731
728	000614-80-2	O=C(Nc(c(O)ccc1)c1)C	Test	0.835
729	055792-61-5	CCCCCCCCOc1ccccc1NC(C)=O	Training	2.769
730	051218-49-6	CCc1cccc(CC)c1N(C(=O)CCl)CCOCCC	Training	2.114
731	023184-66-9	CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC	Test	3.047
732	015972-60-8	CCc1cccc(CC)c1N(COC)C(=O)CCl	Training	1.731
733	000709-98-8	CCC(=O)Nc1ccc(Cl)c(Cl)c1	Training	1.402
734	002626-83-7	CNC(=O)Oc1ccc(C(C)(C)C)cc1	Training	1.319
735	003766-81-2	O=C(Oc(c(ccc1)C(CC)C)c1)NC	Training	1.325
736	000114-26-1	CNC(=O)Oc1ccccc1OC(C)C	Test	1.376
737	002032-59-9	CNC(=O)Oc1ccc(N(C)C)c(C)c1	Training	2.029
738	001563-66-2	O=C(Oc(c(OC(C1)(C)C)c1cc2)c2)NC	Test	2.419
739	000330-54-1	O=C(N(C)C)Nc(ccc(c1Cl)Cl)c1	Training	1.218
740	000100-63-0	N(N)c(cccc1)c1	Training	3.830
741	005329-12-4	N(N)c(c(cc(c1)Cl)Cl)c1Cl	Training	2.325
742	000108-98-5	Sc(cccc1)c1	Training	4.088
743	000098-59-9	O=S(=O)(c(ccc(c1)C)c1)Cl	Training	0.394
744	027176-87-0	O=S(=O)(c1ccc(cc1)CCCCCCCCCCCC)O	Training	1.861
745	009014-90-8	CCCCCCCCCc1ccc(cc1)OCCOCCOCCOCCOCCOCCOS(=O)(=O)O	Training	1.354
746	000786-19-6	CCOP(=S)(OCC)SCSc1ccc(Cl)cc1	Training	3.155
747	000115-90-2	CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O	Training	0.854
748	026087-47-8	CC(C)OP(=O)(OC(C)C)SCc1ccccc1	Test	1.928
749	085785-20-2	c1ccccc1CSC(=O)N(CC)C(C)C(C)C	Test	2.310
750	028249-77-6	CCN(CC)C(=O)SCc1ccc(Cl)cc1	Test	2.297
751	001080-32-6	O=P(OCC)(OCC)Cc(cccc1)c1	Test	-0.169
752	000110-86-1	n(cccc1)c1	Training	-0.114
753	000109-06-8	n(c(ccc1)C)c1	Training	-0.982
754	000108-89-4	n(ccc(c1)C)c1	Test	-0.638
755	000108-99-6	n(cccc1C)c1	Training	-0.190
756	000100-71-0	n(c(ccc1)CC)c1	Test	-0.589
757	000104-90-5	n(c(ccc1CC)C)c1	Training	0.172
758	018368-63-3	Clc(nc(c1)C)cc1	Training	-0.260
759	002176-62-7	n(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl	Training	2.728
760	010500-57-9	n(ccc1)c(CCC2)c1C2	Test	0.556
761	000100-55-0	n(cccc1CO)c1	Test	-0.931
762	002859-67-8	n(cccc1CCCO)c1	Training	-0.039
763	000500-22-1	O=Cc(cccn1)c1	Training	0.818
764	001122-54-9	O=C(c(ccnc1)c1)C	Training	-0.141
765	000499-83-2	O=C(O)c(nc(cc1)C(=O)O)c1	Training	-0.285
766	004214-79-3	Oc1ccc(Cl)cn1	Training	-0.944
767	006636-78-8	Oc1cccnc1Cl	Training	-0.681
768	016879-02-0	Oc1cccc(Cl)n1	Training	-0.219
769	006602-32-0	Oc1cccnc1Br	Test	-0.431
770	015128-82-2	Oc1cccnc1[N+](=O)[O-]	Training	-0.078
771	000769-28-8	n(c(cc1C)C)c(O)c1C#N	Test	-0.028
772	000100-43-6	n(ccc(c1)C=C)c1	Training	2.022
773	000100-69-6	n(c(ccc1)C=C)c1	Test	1.209
774	000504-29-0	n(c(N)ccc1)c1	Test	0.932
775	000462-08-8	n(cccc1N)c1	Training	1.039
776	000504-24-5	n(ccc(N)c1)c1	Test	1.442
777	001072-97-5	Nc1ccc(Br)cn1	Test	-0.010
778	005683-33-0	n1ccccc1N(C)C	Training	-0.019
779	000100-70-9	C(#N)c(nccc1)c1	Training	-0.842
780	002921-88-2	CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl	Test	2.841
781	005600-21-5	Cc1cc(Cl)nc(N)n1	Training	0.000
782	013481-25-9	c1nc(C#N)c(C#N)nc1	Training	1.813
783	000333-41-5	O(P(OCC)(Oc(nc(nc1C)C(C)C)c1)=S)CC	Training	1.513
784	017584-12-2	Cc1nnc(N)nc1C	Test	-0.885
785	000110-00-9	O1C=CC=C1	Test	0.042
786	000625-86-5	O1C(C)=CC=C1C	Test	0.130
787	004412-91-3	OCc1ccoc1	Test	-0.720
788	000623-15-4	O=C(C=CC(OC=C1)=C1)C	Test	0.812
789	000110-02-1	S1C=CC=C1	Test	0.434
790	000872-31-1	C1=CC(Br)=CS1	Training	1.420
791	000109-97-7	C1=CC=CN1	Training	-0.498
