id	cas	smiles	status	exp
35		O(c2cccc(OCC1OC1)c2)CC3OC3	Training	2.301
36		c1ccc(cc1)N(C)C	Test	1.7924
37		O=P(Oc1cccc(c1)C)(Oc2cccc(c2)C)Oc3cccc(c3)C	Training	2.6021
38		Oc1cc(cc2OC(C)(C)C3CCC(=CC3(c12))C)CCCCC	Test	2.1761
39		O[Si](O)(C1CCCC1)C2CCCC2	Test	2.301
40		O=Cc1ccccc1	Test	2.9031
41		O=C(OCC=C)c1ccccc1(C(=O)OCC=C)	Test	2.301
42		O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3(O)	Test	2.983
43		C(=C(C)C)Cl	Test	2.3979
44		N=C(Nc1ccccc1)Nc2ccccc2	Test	1.7611
45		c1ccc2cc3ccccc3(cc2(c1))	Test	1.4881
46		O=P(OC)(OC)N1CCOCC1	Test	2.301
47		O=C(OCc1ccc(O)c(OC)c1)CCCCCCC(C)C	Test	3
48		O=C2NCNC(=O)C2(c1ccccc1)CC	Training	1.3632
49		O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O)	Test	3.585
50		C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Test	1.5798
51		O=C1Oc2c(OC)c3occc3(cc2(C=C1))	Test	2.301
52		O=C(Nc1ccc(O)cc1)C	Training	1.7891
53		c1cc(ccc1N(C)C)C	Test	1.7959
54		O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Test	1.7611
55		O(c1ccc(cc1)CC=C)C	Test	1.574
56		O=[N+]([O-])c1cc(cc(c1N(CCC)CCCl)[N+](=O)[O-])C(F)(F)F	Test	1.7782
57		O=C(O)c1ccc(cc1)[N+](=O)[O-]	Test	1.6854
58		O=C(Nc1cccc(c1)[N+](=O)[O-])c3cc4ccccc4(c(N=Nc2cc(ccc2(OC))[N+](=O)[O-])c3(O))	Test	2.3632
59		O=C1Oc2ccccc2(C=C1)	Training	1.8751
60		O=C(O)C(N)(C)Cc1ccc(O)c(O)c1	Training	2.6854
61		O=C(OC1C(=C(C(=O)C1)CC#C)C)C2C(C=C(C)C)C2(C)(C)	Training	2.3617
62		n1ccccc1OC(C)COc3ccc(Oc2ccccc2)cc3	Test	2.0711
63		O=C(N=S(=O)(O)c1ncccc1(OCC(F)(F)F))Nc2nc(OC)cc(n2)OC	Training	3.022
64		N#CC(=NOC)C(=O)NC(=O)NCC	Test	2.3502
65		n1c(nc(cc1C)C)Nc2ccccc2	Test	2.7235
66		O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2cccc(OC)c2C	Training	2.5483
67		O=C(NC1CCCCC1)N3C(=O)SC(c2ccc(cc2)Cl)C3C	Training	1.699
68		O=C1NC(=O)C(N1)(C)C	Test	3.0082
69		O=C(O)C(N)CCP(=O)(O)C	Test	2.6232
70		FC(F)(F)c2cc(ccc2(N=C(n1cncc1)COCCC))Cl	Training	1.6117
71		N#Cc1cc(c(OC(=O)CCCCCCC)c(c1)Br)Br	Training	1.7404
72		O=C(OC(C)C)Nc1cccc(c1)Cl	Training	2.4409
73		N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Test	0.8195
74		O=C1OC(=NN1c2cc(OC(C)C)c(cc2Cl)Cl)C(C)(C)C	Test	2
75		O=C1c2ccccc2(NS(=O)(=O)N1C(C)C)	Training	2.4121
76		O=C(OCC#C)C(Oc2ccc(Oc1ncc(cc1(F))Cl)cc2)C	Test	0.9159
77		O=C(NN(C(=O)c1ccccc1)C(C)(C)C)c2ccc(cc2)Cl	Test	1.722
78		O=C(OCC)COc1cc(c(F)cc1Cl)c2nn(c(OC(F)F)c2Cl)C	Training	3.173
79		O=[N+]([O-])c1ccc(O)cc1C(F)(F)F	Training	2.419
80		N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3	Test	1.5899
81		O=C1C(=C(O)CC(C1)C2CCOCC2)C(=NOCC=CCl)CC	Test	2.5832
82		O1CC(OC12(CCC(CC2)C(C)(C)C))CN(CC)CCC	Test	1.7396
83		N(C(=S)S)CCNC(=S)S	Test	1.7853
84		O=S(=O)(NCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	0.3979
85		O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	1.2553
86		Oc1ccccc1c2ccccc2	Training	3.1915
87		n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl	Training	2.3979
88		O=S(=O)(Nc1nc2c(OC)cnc(OC)n2(n1))c3c(OCC(F)F)cccc3C(F)(F)F	Test	2.7125
89		O=C(c1cccc(c1)C)N(CC)CC	Test	2
90		O=C(OC)N(OC)c1ccccc1COc2nn(cc2)c3ccc(cc3)Cl	Training	1.5403
91		O=C1C4=C(C(=O)N1c3cc2c(OCC(=O)N2CC#C)cc3(F))CCCC4	Training	2.2938
92		O=C(c2cccc1nnsc12)SC	Training	2.7126
93		OC(c1ccc(cc1)Cl)(Cn2ncnc2)C(C)C3CC3	Test	1.3304
94		O=[N+]([O-])N=C1N(C)COCN1Cc2cnc(Cl)s2	Test	2.5169
95		O=C1C(=C(C=NN1C(C)(C)C)SCc2ccc(cc2)C(C)(C)C)Cl	Training	1.4101
96		OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Test	2.0792
97		O=C(OC(C(=O)OCC=C)(C)C)c1cc(ccc1Cl)N2C(=O)C=C(N(C2(=O))C)C(F)(F)F	Training	2.386
98		O=C(O)COc1ccc(cc1C)Cl	Test	2.248
99		O=C(OCC#CI)NCCCC	Training	1.3979
100		O(Cc1ccccc1C)C3CC2(OC3(C)(CC2))C(C)C	Training	1.699
101		N#CC(OC(=O)C1C(C(C(Br)(Br)Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3	Test	0.7782
102		O(c1ccccc1)c2cccc(c2)COCC(c3ccc(OCC)cc3)(C)C	Test	2.0792
103		Fc2c(ncnc2(Oc1ccccc1Cl))Oc4ccccc4(C(=NOC)C3=NOCCO3)	Training	3.1511
104		O=C(O)c2cccnc2(C(=NNC(=O)Nc1cc(F)cc(F)c1)C)	Training	3.1801
105		O=C(Nc1ccc(O)c(c1Cl)Cl)C2(C)(CCCCC2)	Test	3.4509
106		N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Test	1.7459
107		O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C	Test	2.5815
108		n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl	Test	1.6232
109		O=C(NC)C(CC)(CCC)CCC	Test	1.4771
